Reaction,Lower_bound,Upper_bound
EX_glc__D_e,0,1000
EX_o2_e,-20,1000
ARAI,0,0
RBK_L1,0,0
RMPA,0,0
LYXI,0,0
RMI,0,0
LACZ,0,0
RMK,0,0
EX_cl_e,-1000,1000
EX_na1_e,-1000,1000
EX_nh4_e,-1000,1000
EX_k_e,-1000,1000
EX_pi_e,-1000,1000
EX_mg2_e,-1000,1000
EX_so4_e,-1000,1000
EX_fe2_e,-1000,1000
EX_ca2_e,-1000,1000
EX_mn2_e,-1000,1000
EX_cobalt2_e,-1000,1000
EX_cu2_e,-1000,1000
EX_zn2_e,-1000,1000
EX_ac_e,0,1000
EX_adn_e,0,1000
EX_ala__D_e,0,1000
EX_fru_e,0,1000
EX_fuc__L_e,0,1000
EX_fum_e,0,1000
EX_gal_e,0,1000
EX_galur_e,0,1000
EX_glcn_e,0,1000
EX_gam_e,0,1000
EX_glc__D_e,0,1000
EX_glcur_e,0,1000
EX_glyc_e,0,1000
EX_lac__D_e,0,1000
EX_ala__L_e,0,1000
EX_mal__L_e,0,1000
EX_malt_e,0,1000
EX_mnl_e,0,1000
EX_man_e,0,1000
EX_acgam_e,0,1000
EX_oaa_e,0,1000
EX_pyr_e,0,1000
EX_rib__D_e,0,1000
EX_glcr_e,0,1000
EX_sbt__D_e,0,1000
EX_succ_e,0,1000
EX_thymd_e,0,1000
EX_tre_e,0,1000
EX_xyl__D_e,0,1000
EX_akg_e,0,1000
