,Coefficient
GARFT,0.004103112282746776
PPCK,0.003876959824322668
NADTRHD,0.002482130805415497
G3PD2,0.001763637295558899
G3PAT160,0.001718340193815056
G3PAT161,0.001718259634466805
IMPD,0.001675652750240051
PRPPS,0.001650773384999086
DHORD2,0.00159749436136565
FADRx2,0.001518199921314707
3OAS140,0.001296744837879773
3OAR140,0.001296664799642119
OHPBAT,0.001268150779564222
E4PD,0.001266791967010402
PERD,0.001263427471430857
PPPGO3,0.001224935064153533
PAI2T,0.001219191538466399
PAI2I,0.001218964128244666
AI2K,0.001218884937839763
NDPK3,0.001164779300569961
4HTHRK,0.001163759546835049
4HTHRA,0.00116355202824946
HCO3E,0.001127866406819067
MDH,0.001059380541602344
PUNP1,0.001027807541781538
ADNK1,0.001026364533581731
NDPK1,0.0009920838865384494
FE3HOXR1,0.0008708121301554306
NDPK2,0.0008512162630572555
ASPO6,0.0007818328658646236
METAT,0.0007461268541566601
5DOAN,0.0007370917214721872
F6PA,0.0007349305268046387
ALKP,0.0007346141364278981
AKGDH,0.0007312462336312716
ICDHyr,0.0007271577733282807
ALAR,0.0007177103276932535
G5SADs,0.0007137578355458348
DHPPDA2,0.0007137558618276892
ASP1DC,0.0007137553556520568
UGMDDS,0.000713752195443362
P5CR,0.0007137521110028348
DBTS,0.0007137474772308505
UAMAGS,0.0007137465545993118
UHGADA,0.0007137409186495599
UAMAS,0.0007137391613977509
UAGAAT,0.0007137328519530416
UAAGDS,0.0007137299004946174
ATPPRT,0.0007137231993354851
U23GAAT,0.0007137187408699056
HISTD,0.0007137119841396669
DHDPS,0.0007136992285663084
G1PACT,0.0007136849536607231
RHCCE,0.0007136837962983738
GF6PTA,0.0007136691792835472
DDPA,0.0007136660298390254
IGPDH,0.0007136519242773168
DTMPK,0.0007136249652644232
PRATPP,0.000713613606686032
PPNDH,0.0007136010325071004
PRMICI,0.0007135920351168343
HSST,0.0007135749840175495
GLUPRT,0.0007135690464099005
SDPTA,0.0007135467941438099
SERAT,0.0007135446540556807
CYSS,0.0007135188703516871
DHDPRy,0.0007135164385730018
NADS1,0.000713491706468742
DAPE,0.0007134838945024129
BPNT,0.0007134631745705087
IPDPS,0.0007134491407054237
DMPPS,0.0007134121571945172
DAPDC,0.0007134025316415307
KDOPP,0.0007133729280877937
OCBT,0.0007133699640124182
KDOPS,0.0007133314357826829
PHETA1,0.0007133025348044933
ASPCT,0.0007132876671107902
PPND,0.0007132660596318633
ASNS2,0.0007132416102924516
DPCOAK,0.0007131932554807416
PRAMPC,0.000713190607327503
TMPK,0.0007131502082131208
OCTDPS,0.0007131425951472032
ACOTA,0.0007131085133802552
ADSS,0.0007130896241092059
PDX5PS,0.000713065526004613
PNTK,0.0007130343380448205
PPBNGS,0.0007130212574642936
HBZOPT,0.0007129767363202887
SULR,0.0007129757063519271
FCLT,0.0007129168194544656
PPNCL2,0.0007128816705724429
ACODA,0.000712854597110354
PRAGSr,0.0007128323230931111
NDPK4,0.000712790060071532
PRFGS,0.0007127817134803376
NNATr,0.0007127298459854703
AIRC2,0.0007126767264705325
MOAT2,0.0007125667467011848
UAGPT3,0.0007125183645764763
ARGSL,0.0007125098934305616
GLU5K,0.0007124518094221668
PAPPT3,0.0007124426740336392
IPPS,0.0007123924967495486
CTPS2,0.0007123647439043464
UAPGR,0.0007122845924097456
MOHMT,0.0007122702062610886
UMPK,0.0007122022396298655
AHCYSNS,0.0007121464924754566
ADCL,0.0007121177129596994
GMPS,0.0007120811504359306
ADCS,0.0007120310250947168
CHRPL,0.0007120145815823308
PMPK,0.0007119468551614361
SDPDS,0.0007119422015486564
ADSK,0.0007118779470939852
CYSTL,0.000711807864536414
OPHBDC,0.0007117591462637602
SHSL1,0.0007117366149693009
SADT2,0.000711664125144405
GTPCII2,0.0007115670940285299
GTPCI,0.0007115158334713906
DXPRIi,0.0007114680855550359
UDCPDP,0.0007114399961513824
PTPATi,0.0007113671379304868
CYTK1,0.0007113630346658143
HPPK2,0.0007112642885200716
GK1,0.0007112055791195311
DNMPPA,0.0007111595769237203
DHFS,0.000711043904603944
NNDPR,0.0007109447983883705
GLUR,0.0007108347513473699
UAGCVT,0.0007107230187951842
METS,0.0007107079963210931
UAGDP,0.0007106096490646429
PGAMT,0.0007104946922036702
PRASCSi,0.0007104476232839529
MECDPS,0.0007103781997952372
DHPS2,0.0007102680547077459
CDPMEK,0.0007102602253112023
QULNS,0.0007101765689421611
DXPS,0.0007101408231272795
KDOCT2,0.0007100200505913956
G1SAT,0.0007098979642563031
AGPR,0.0007097746236346081
ARGSS,0.0007096500891372891
GLUTRR,0.0007095244224182278
DNTPPA,0.0007095089724433952
NADK,0.0007093976627074218
KARA2,0.0007092699214169939
KARA1,0.0007091412392915386
ACGK,0.0007091112646043581
HMBS,0.0007089081730576015
FMNAT,0.0007088832544445196
