,Coefficient
4HTHRK,0.003720221765148575
4HTHRA,0.003720194417280491
FBA,0.003269105038059201
PFK,0.003261420218021051
GARFT,0.002916431023765555
OHPBAT,0.002289384991482387
PERD,0.002289217290952666
E4PD,0.002278047514715446
GHMT2r,0.002274509732171534
MDH,0.002184717725164138
ENO,0.002141249718674145
PGM,0.002133741806878441
GLYCL,0.002073303063864373
MTHFD,0.002012564349720509
MTHFC,0.002012345054434472
PGK,0.001970806342087133
DHORD2,0.001965415943666963
GAPD,0.001942098589739851
PPC,0.001909201461423023
SUCOAS,0.001799041652484434
AKGDH,0.00169779615456676
ICDHyr,0.001586461427349856
IMPD,0.001551693107232353
G3PD2,0.001535411655703372
G3PAT161,0.001503597930701442
G3PAT160,0.001503322601888651
PRPPS,0.001483382963172084
TPI,0.001480732318991199
PAI2T,0.001416237014509554
PAI2I,0.001416185472867495
AI2K,0.001416084556182529
RNTR4c2,0.001394361795910424
NADHPO,0.00138009913320416
OPHHXy,0.00137975745406252
MOX,0.001378815015899993
TRPAS2,0.001359051268594442
TRPS3,0.001334207171076591
FADRx,0.001051927093494225
ASPO3,0.001023485590372495
PAPSR,0.0009513508016351816
POR5,0.0009449008952781414
ADK3,0.0009295801904799881
I2FE2SR,0.0008814690728309463
I4FE4ST,0.0008811447218580815
I2FE2SS2,0.0008810838777878266
I2FE2ST,0.000881018064892801
I2FE2SS,0.0008809473053797439
I4FE4SR,0.0008807161675829021
TRDR,0.0008650230044954355
PUNP1,0.0008431240053850953
ICYSDS,0.0008398945239998615
ADNK1,0.0008332514481836492
RNTR3c2,0.0007741109094320501
3OAR140,0.0007653247637533794
3OAS140,0.0007650418519988445
PPPGO3,0.0007303287099713611
ALAR,0.0006762833368341288
GLNS,0.0006026534239467071
ALATA_L,0.0005911302645600195
THZPSN3,0.0005847718530844439
TYRL,0.000584763843779913
SHK3Dr,0.0005847299092472554
DHORTS,0.0005847057148355055
OMPDC,0.0005846760097944798
DHNPA2r,0.000584659738672683
G5SD,0.0005846408035708276
BTS5,0.000584485640525049
APRAUR,0.0005844408746676557
DB4PS,0.0005843156451796197
RBFK,0.0005841673856422107
RBFSb,0.0005839966987394064
SHCHD2,0.0005838048322966948
MECDPDH5,0.0005837123437716909
A5PISO,0.0005835926117693416
PMDPHT,0.0005834783448793142
PMEACPE,0.0005833695592221062
OPMEACPR,0.0005832434909193047
ILETA,0.0005832422048268694
VALTA,0.000583112861639648
EGMEACPR,0.0005831123315195313
IPPMIb,0.0005829782627918313
OGMEACPD,0.0005829761069087651
ORPT,0.0005828386722854494
RBFSa,0.000582694132047212
AOXSr2,0.0005826886319535775
ACHBS,0.0005825446830495848
EPMEACPR,0.0005825374506256163
DHAD2,0.0005823903712339035
OPMEACPD,0.0005823813613540307
ACLS,0.0005822312415789885
PSCVT,0.0005820673410444489
OPMEACPS,0.0005820546889702332
