,Coefficient
FTHFD,0.003619584502930276
GARFT,0.003083779913159159
GND,0.00285632755033025
OXAMTC,0.002718582560269201
URDGLYCD,0.002697847174666694
PPM,0.002497838987420423
PGM,0.002236964546543452
PYK,0.002223303585238552
GHMT2r,0.002078301075785183
GLYCTO2,0.002058738355029642
PYK6,0.002056832848144245
PYK2,0.002046584046214622
PYK4,0.002032151747875476
PPC,0.002015885729297538
ENO,0.001868408615834706
TKT2,0.001799761289883496
RPE,0.001799492027386387
TKT1,0.001757607556481428
PGK,0.001757436638367622
DHORD2,0.001755061500143099
GAPD,0.001753870194147682
G3PD2,0.001682603737444824
G3PAT161,0.001620323288959381
G3PAT160,0.001620270195385365
3OAR140,0.001587947064055782
3OAS140,0.001587918491324211
TRPAS2,0.001490404701344946
TRPS3,0.00146114779336101
AI2K,0.001397805098181295
PAI2I,0.001396365076608775
PAI2T,0.001394521884098478
PERD,0.001365134873837798
E4PD,0.001358310201623986
PYDXPP,0.00133430083488967
OHPBAT,0.001332394459227539
PPPGO3,0.001266889500014511
4HTHRA,0.00121688112341551
4HTHRK,0.001215348649931006
MTHFD,0.0007658332715816171
MTHFC,0.0007654378296388718
5DOAN,0.0007137625310784249
METAT,0.0006472451235998584
AGPAT161,0.0006397154134645265
PSSA160,0.0006397134704205186
AGPAT160,0.0006395990173205202
PSD161,0.0006392978395539844
MALCOAMT,0.0006392322491711497
PSD160,0.0006392136626298105
PSSA161,0.0006391219061999377
AMPMS2,0.0006390180121408922
OGMEACPS,0.0006389399222029786
OGMEACPR,0.0006388275124870384
OPMEACPS,0.0006387075908588201
OPMEACPD,0.0006384456458230566
EPMEACPR,0.0006383037589590594
MCTP1App,0.0006382748923289785
AOXSr2,0.0006381546328626229
OGMEACPD,0.000637834911176515
EGMEACPR,0.0006376642956271052
OPMEACPR,0.0006374867395749121
PMEACPE,0.0006373022345678176
AICART,0.0006370451694499185
DASYN161,0.0006368426020316694
MECDPDH5,0.0006367276159213733
DASYN160,0.0006366335184765085
DHQS,0.0006364177872955848
UPP3MT,0.0006361954863398319
HISTP,0.0006359664697166799
PANTS,0.0006357312723569595
PRAIS,0.0006354897531177004
SHCHF,0.0006352419996298578
BTS5,0.0006344886995303063
ALAALAr,0.0006344621652795108
ACGS,0.0006339128526457922
DHNPA2r,0.0006334038968553708
ALAR,0.0006333571394065061
GLNS,0.0006333408842076386
AMAOTr,0.0006330466686484155
DPR,0.0006327470869180306
DUTPDP,0.0006324422396765323
MTHFR2,0.0006321322824972064
IG3PS,0.0006318173110121422
OMCDC,0.0006311748514107713
TYRL,0.0006310311956119708
THZPSN3,0.0006307008667556769
SHKK,0.0006301741405077597
TYRTA,0.0006298317924956798
PRAIi,0.0006294852213058775
DHFR,0.0006291346201616266
SHK3Dr,0.0006290518729186889
THRD_L,0.0006287800817840366
DHORTS,0.000628697264818029
THDPS,0.0006284217343558088
OMPDC,0.0006283388846827204
HSTPT,0.0006280597074386329
G5SD,0.0006279768621135001
MEPCT,0.0006276941318943299
HMBS,0.0006273251399639445
APRAUR,0.0006272427039038219
ACGK,0.0006265774416472522
DB4PS,0.0006265032391574195
ALATA_L,0.0006261339701448081
RBFK,0.0006257441304802167
DNTPPA,0.0006250528819612907
RBFSb,0.0006245994176413656
SHCHD2,0.0006236297695597784
A5PISO,0.0006232337285573513
PMDPHT,0.0006228358909616961
QULNS,0.0006221932418634231
ILETA,0.0006220420042938069
VALTA,0.0006216395737814436
IPPMIb,0.0006212358474102289
DHPS2,0.000621006484638954
ORPT,0.0006208307118901045
RBFSa,0.0006204249827194852
ACHBS,0.0006200184721543179
METS,0.0006197844307229565
DHAD2,0.000619611327203136
ACLS,0.0006192036949992794
PSCVT,0.0006187957228750251
ANS,0.0006183875582843674
DHFS,0.000618149625061687
ANPRT,0.00061797934874826
CHORM,0.0006175712418020157
CHORS,0.000617163384941902
GK1,0.000616929321572438
IGPS,0.0006167559255718491
LEUTAi,0.0006163490109502683
CYTK1,0.0006162968359714879
DMATT,0.0006159427881288095
GRTT,0.0006155374039317107
UDCPDP,0.0006154834531971979
UPP3S,0.0006151330048616917
UPPDC1,0.0006147297370430966
GTPCI,0.0006146777752794878
MOAT,0.0006139261563084166
UDCPDPS,0.0006135271639972114
USHD,0.0006131298832673087
SHSL1,0.0006127054823451321
IMPC,0.0006123529219684002
CYSTL,0.0006123111994975745
LPADSS,0.0006119500343663856
ADSK,0.0006119190645838401
GLUTRS,0.0006115611247139146
PMPK,0.000611529284164167
TDSK,0.0006111746371026908
CHRPL,0.0006111418708877086
GMPS,0.0006107573066810464
TMPPP,0.0006104352989881609
AHCYSNS,0.0006103751733098672
MOHMT,0.0006099958581700164
IPPS,0.0006092463834475445
DHQTi,0.0006089728594966888
GLU5K,0.0006088764638627358
IPMD,0.0006086061103701815
ARGSL,0.0006085099349442765
TMDS,0.000607534013055993
MOAT2,0.0006074544827951092
PPCDC,0.000607181931976118
DHAD1,0.0006065008175918311
IPPMIa,0.0006061610077672849
NNATr,0.0006060926575801718
PRFGS,0.0006057569264408203
FMNAT,0.0006055030521484158
PRAGSr,0.0006054257138202117
PPNCL2,0.0006050991402344401
KARA1,0.0006048719998789125
SULR,0.0006046885695938636
KARA2,0.00060455500527399
PPBNGS,0.0006043741345368933
NADK,0.0006042429238816196
PDX5PS,0.0006040647191273052
GLUTRR,0.0006039352582291618
ACOTA,0.0006037604352761102
ARGSS,0.0006036332301948973
TMPK,0.0006034613931016061
AGPR,0.0006033367266928141
PRAMPC,0.00060316770077783
G1SAT,0.0006030456171518635
KDOCT2,0.0006027600067765286
PPND,0.0006025993796075733
DXPS,0.0006024799988745086
PHETA1,0.0006023224311287976
CDPMEK,0.0006022056943596515
MECDPS,0.0006019371926608922
OCBT,0.0006017954515694728
PGAMT,0.0006016745907289864
DAPDC,0.0006015358700861201
UAGDP,0.0006014179834589772
UAGCVT,0.0006011674636080129
BPNT,0.0006010383057031315
GLUR,0.0006009231217276818
NADS1,0.0006007970109350291
NNDPR,0.0006006850463422641
CYSS,0.0006005620314512777
SERAT,0.0006003334497412718
DNMPPA,0.0006002279259165221
GLUPRT,0.0006001113492863677
HPPK2,0.0006000091573952524
PRMICI,0.0005998958104427841
PTPATi,0.0005997969853577527
PRATPP,0.0005996869111163392
DXPRIi,0.0005995914870580895
IGPDH,0.0005994863316502182
GTPCII2,0.0005993927363702579
GF6PTA,0.0005992909340055054
SADT2,0.0005992008051655708
G1PACT,0.0005991021215447827
OPHBDC,0.0005990157630305455
DHDPS,0.000598920514542895
HISTD,0.0005987458996989571
ATPPRT,0.0005985783401220425
SDPDS,0.0005984992348592345
UAGAAT,0.0005984178963811228
ADCS,0.0005983422294672648
UHGADA,0.0005982646264646525
ADCL,0.0005981924195237661
DBTS,0.0005981185932075446
UMPK,0.0005980498592156161
UGMDDS,0.0005979798270524568
UAPGR,0.0005979146080957594
ASP1DC,0.000597848400439511
CTPS2,0.0005977867747905563
G5SADs,0.0005977243534964477
PAPPT3,0.0005976662806394097
DHPPDA2,0.0005976077309728257
UAGPT3,0.0005975532304549723
P5CR,0.0005974985742131929
UAMAGS,0.0005973969256650471
ACODA,0.0005973542616776869
UAMAS,0.0005973028197862286
FCLT,0.0005972637785839853
UAAGDS,0.0005972162905539301
HBZOPT,0.0005971809328506833
U23GAAT,0.0005971373692045036
PNTK,0.0005971057063884383
OCTDPS,0.0005970381271759649
RHCCE,0.0005970034168523613
DPCOAK,0.0005969782190034603
DDPA,0.0005969474322233733
ASNS2,0.0005969260041588296
ASPCT,0.0005968815011207349
DTMPK,0.0005968627564515522
KDOPS,0.000596844726174511
PPNDH,0.0005968297138129079
KDOPP,0.0005968156926631673
HSST,0.0005968044184522184
DMPPS,0.0005967944110158403
SDPTA,0.0005967869176153915
IPDPS,0.0005967808893310001
DHDPRy,0.0005967771418359093
DAPE,0.0005967751321801605
TRDR,0.0005109423416451669
CPPPGO,0.000481691670009695
ICYSDS,0.0004687860381512463
FESR,0.0004679534711045012
FESD1s,0.0004646810201281078
ADA,0.0004611803094716129
PAPSR,0.0004478996094435964
RNTR2c2,0.0004306186806217869
RNTR3c2,0.0004302076747172444
RNTR4c2,0.0004299834741715104
I4FE4SR,0.0004226586309899051
I2FE2SS,0.0004220074306775308
I2FE2ST,0.0004217883369661452
I2FE2SS2,0.0004213174519861163
I4FE4ST,0.0004210811851247388
I2FE2SR,0.0004177029535694736
IMPD,0.0003949731664687792
OPHHX3,0.000373167414933972
PDX5PO2,0.0003711742671101778
PGI,0.0003251760810100772
PGL,0.0003240903106253502
G6PDH2r,0.0003225773382410288
PPA,0.0002997481416168017
NADPHXD,7.650685111753458e-05
