,Coefficient
GARFT,0.003374596010990532
4HTHRK,0.003245351540781385
4HTHRA,0.003243796875065658
DHORD2,0.00286929712235967
AKGDH,0.002573478775846542
SUCOAS,0.002549335093509113
PDH,0.002415382818664992
OHPBAT,0.002081526470594981
E4PD,0.002051971485136929
PERD,0.002046451098875457
G3PD2,0.001727626161199604
G3PAT161,0.001625479880040489
G3PAT160,0.001625463430200433
IMPD,0.001618186281442018
PAI2T,0.001564488393739339
PAI2I,0.001562631226451336
AI2K,0.001561729990077834
PRPPS,0.001556623636589869
PAPSR,0.001330094128047377
TRDR,0.00129396876505925
FUM,0.001217259030691052
SUCDi,0.001186093735168076
PPPGO3,0.001131437303522045
RNTR4c2,0.001006042373612747
RNTR3c2,0.0009368945055792086
ASPO6,0.0008645299765156605
ME2,0.000822608639189033
3OAS140,0.0007664043307614101
3OAR140,0.0007663932277822431
NDPK3,0.0007232836148507119
I2FE2SR,0.0006763901210992054
I4FE4ST,0.0006734053574711619
I2FE2SS2,0.000673141897917815
I2FE2ST,0.0006726078019860687
I2FE2SS,0.0006723557992408105
I4FE4SR,0.0006716137970152926
ICYSDS,0.0006714525134089904
METAT,0.0006697442665833894
PUNP1,0.0006634804041788052
ALAR,0.0006632368609761647
ACODA,0.0006562887080873172
FCLT,0.0006562878432176071
HBZOPT,0.0006562806854922624
PNTK,0.0006562672433432662
ADSS,0.0006562475250823619
OCTDPS,0.0006562215407497178
UAGPT3,0.0006561981098780743
DPCOAK,0.0006561893048676858
PAPPT3,0.0006561598629506499
ASNS2,0.0006561508313867974
CTPS2,0.0006561153273846469
ASPCT,0.0006561061365362042
UAPGR,0.000656064511911851
KDOPS,0.0006560552390654186
UMPK,0.00065600742721378
KDOPP,0.0006559981592671612
ADCL,0.0006559440866981118
DMPPS,0.0006559349156735787
ADCS,0.0006558745034386473
IPDPS,0.0006558655429874602
SDPDS,0.0006557986939954324
DAPE,0.0006557900562059092
DHDPRy,0.0006557084864601239
OPHBDC,0.0006556318250700013
SDPTA,0.0006556208630763994
SADT2,0.0006555376721524583
HSST,0.0006555272171468798
GTPCII2,0.000655437378211409
PPNDH,0.0006554275815197062
DXPRIi,0.0006553309696669133
DTMPK,0.0006553219907561382
PTPATi,0.0006552184756847366
HPPK2,0.0006550999261235199
DDPA,0.0006549790267057862
DNMPPA,0.0006549753525546214
RHCCE,0.0006548502188674061
U23GAAT,0.0006544615469742291
UAAGDS,0.000654310022652743
NNDPR,0.0006541912648558439
UAMAS,0.000654152916990449
GLUR,0.0006540314153638509
UAMAGS,0.0006539902808741943
UAGCVT,0.0006538659132306521
P5CR,0.0006538221667336772
UAGDP,0.0006536947340466743
DHPPDA2,0.0006536486285204983
PGAMT,0.0006535178957838536
G5SADs,0.0006534697216734771
MECDPS,0.0006533355091342209
CDPMEK,0.0006531475986382723
ASP1DC,0.0006530991069790818
DXPS,0.0006529542184896792
UGMDDS,0.0006529045759934108
DBTS,0.0006527049135073521
KDOCT2,0.0006525282957376134
UHGADA,0.0006525001770736358
G1SAT,0.0006523188774391872
UAGAAT,0.000652290435614008
AGPR,0.0006521042322273344
ATPPRT,0.0006520757527600859
ARGSS,0.0006518844234649285
HISTD,0.0006518561951202915
DHDPS,0.0006516318306050245
G1PACT,0.0006514027284011134
GF6PTA,0.0006511682003752346
IGPDH,0.0006509298333445482
GLUTRR,0.000650887799894013
NADK,0.0006506432437250806
PRATPP,0.0006504449418162373
KARA2,0.0006503939829286134
PRMICI,0.00065019332053667
KARA1,0.0006501400684327569
GLUPRT,0.000649937400697291
SERAT,0.0006496772597350275
FMNAT,0.0006496259714545431
GLNS,0.0006495221938687167
CYSS,0.0006494129761113014
NADS1,0.0006491446292195836
BPNT,0.0006488723002094819
IPPMIa,0.0006488286759397931
DHAD1,0.0006485484779133978
DAPDC,0.0006483205127531358
PPCDC,0.0006482636475176967
OCBT,0.0006480368051734956
TMDS,0.0006479753418120636
PHETA1,0.0006474681079924807
ADSL2r,0.0006473883586026357
PPND,0.0006471737768509578
AIRC3,0.0006467918756245555
PRAMPC,0.0006465771392323706
IPMD,0.0006464848092911481
TMPK,0.0006462728237061044
DHQTi,0.0006461742788138566
ACOTA,0.0006459653776491377
TMPPP,0.0006458597144694255
PDX5PS,0.0006456548766639639
TDSK,0.0006455418736477428
PPBNGS,0.0006453414403772321
GLUTRS,0.0006452215276216228
SULR,0.0006450251464524386
LPADSS,0.0006448981062742993
PPNCL2,0.0006443890803902336
PRAGSr,0.0006440647990598107
IMPC,0.0006438925403169791
PRFGS,0.0006437380315232827
USHD,0.0006434189322018306
NNATr,0.0006434088726756109
AIRC2,0.0006430774183989753
UDCPDPS,0.0006427196047134822
MOAT2,0.0006424078182696162
MOAT,0.0006423760041709651
ARGSL,0.0006417558846811671
GLU5K,0.0006414143223333948
UPPDC1,0.000641340224430441
IPPS,0.0006410710389948402
UPP3S,0.0006409886597082241
GRTT,0.0006406353305561428
MOHMT,0.0006403797033201966
DMATT,0.0006402803476769708
AHCYSNS,0.0006400318486807818
LEUTAi,0.0006399238213849636
GMPS,0.0006396826697022621
IGPS,0.0006395658615761605
CHRPL,0.0006393321683131857
CHORS,0.0006392065799835757
PMPK,0.0006389806394078039
CHORM,0.000638846088307871
ANPRT,0.0006384844986207066
ANS,0.000638121923355733
ADSK,0.0006379921186091335
PSCVT,0.000637758475238323
ACLS,0.000637394267260981
DHAD2,0.0006370294126401437
CYSTL,0.0006369961499311848
ACHBS,0.0006366640247764617
SHSL1,0.0006366390298854171
RBFSa,0.0006362982172166963
ORPT,0.0006359321036021931
IPPMIb,0.0006355657976518527
GTPCI,0.0006352092575913805
VALTA,0.0006351994130979745
UDCPDP,0.0006348513074868847
ILETA,0.0006348330560692305
ALATA_L,0.0006348037344749967
CYTK1,0.0006344935000703363
PMDPHT,0.0006341068143138283
GK1,0.0006337786322575781
A5PISO,0.0006337413782916504
ADNK1,0.0006335732601684429
SHCHD2,0.0006333764293564673
RBFSb,0.0006326484445132315
DHFS,0.0006321076373830334
RBFK,0.0006319235960653833
DB4PS,0.0006312033123379971
METS,0.0006306998687850607
APRAUR,0.0006304919376736452
G5SD,0.0006297795457914976
OMPDC,0.0006294273475522028
PRASCSi,0.0006293471446084626
DHORTS,0.0006290769666971805
SHK3Dr,0.0006287285106232319
DHPS2,0.0006286621530289527
QULNS,0.0006283226507627188
THZPSN3,0.0006260865644910518
TYRL,0.0006257595953206383
DNTPPA,0.0006254353797591599
ACGK,0.0006241888594818221
DHNPA2r,0.0006239262526696705
HMBS,0.0006235842323181616
MEPCT,0.0006232868475797013
HSTPT,0.0006229928629023815
BTS5,0.00062272670653192
THDPS,0.0006227023607564529
THRD_L,0.0006224154243874165
DHFR,0.0006221320683184481
PRAIi,0.0006218525092464923
TYRTA,0.000621338675098586
SHKK,0.000621070575232625
OMCDC,0.000620290778997061
MECDPDH5,0.0006199298929058628
IG3PS,0.0006197944611951934
MTHFR2,0.0006193232565754692
PMEACPE,0.0006192233746357995
OPMEACPR,0.0006189905672325454
DUTPDP,0.0006188591516887747
EGMEACPR,0.0006187626895182414
DPR,0.0006186340935427383
OGMEACPD,0.0006185398099927989
AMAOTr,0.0006184137609378786
AOXSr2,0.0006181092938289983
EPMEACPR,0.0006179017832935901
OPMEACPD,0.0006176995174763271
ACGS,0.0006176123981943516
OPMEACPS,0.0006173106625138553
ALAALAr,0.0006172256935401554
OGMEACPR,0.0006171244511654422
OGMEACPS,0.0006169436977941144
SHCHF,0.0006165175036255073
MALCOAMT,0.0006164337892287861
PRAIS,0.000616195932092091
PANTS,0.000615924712062075
HISTP,0.0006156755583023093
UPP3MT,0.0006155435644665943
DHQS,0.0006154172292019894
DASYN160,0.0006152966157974755
DASYN161,0.0006151817618556713
ADSL1r,0.0006150727049923426
AICART,0.0006149694801991992
MCTP1App,0.0006145412279286425
AGPAT161,0.00061438237858545
PSSA160,0.0006143231595737557
AGPAT160,0.0006142100990694087
AMPMS2,0.0006142036678238838
PSSA161,0.0006141831305984477
PSD160,0.0006141687531535388
PSD161,0.0006141605450065759
5DOAN,0.0006081910125425314
TRPS3,0.0006051225387897981
TRPAS2,0.0005798186313054963
CPPPGO,0.0005383232093265623
FADRx,0.0005376842889802637
MDH,0.0005322394124585231
PPA,0.0005271595763739353
CBMKr,0.0005200530506053455
FESD1s,0.0005166578763155888
FESR,0.0005137443182445231
PDX5PO2,0.0005009742645800823
NDPK2,0.0004924561715779704
NDPK4,0.0004491036683706717
NDPK1,0.000445071060125811
OPHHX3,0.0004084041270699202
AACPS3,0.0002188547857617457
RNTR2c2,0.000217111023711589
ECOAH3,0.0002170155646916486
ECOAH2,0.0002159274186951963
ECOAH1,0.0002156718894511885
ACACT2r,0.0002027765872893357
ACACT3r,0.0002021029445635943
HACD1,0.000197923604271526
HACD2,0.0001972475440429757
FACOAE160,0.000191561489705781
ACOAD1fr,0.0001879027377850129
HACD3,0.0001861770729920096
ACACT1r,0.0001824217340135303
AACPS7,0.0001806998875130988
ACOAD2f,0.0001797154830048648
ACOAD3f,0.0001795873271660594
ACOAD7f,0.0001792664486927807
FACOAE120,0.0001789488879053755
HCO3E,0.000163803034938351
RNTR1c2,0.0001459289316803614
HACD5,9.50421437951719e-05
HACD4,9.4727148027764e-05
ECOAH4,8.502476489734523e-05
ACACT4r,7.790098389398111e-05
ECOAH5,7.304871585962899e-05
ACACT5r,7.030582481978855e-05
GPDDA5,-0.0003239114792487626
SPODMpp,-0.0003240065416300379
AACPS5,-0.000324165384020914
LPLIPAL2G180,-0.0003241901438374891
2AGPGAT180,-0.0003241913720190688
FACOAE180,-0.0003241943310300455
PGSA180,-0.0003241943416657612
AGPAT181,-0.0003241948614135573
LPLIPAL2G120,-0.0003241968812736918
G3PAT181,-0.000324197795920657
PGPP180,-0.0003242006407316112
GLXCL,-0.0003260720724994971
TRSARr,-0.0003262568656462228
GLYCK,-0.0003263905682001649
CITL,-0.0003274042737675558
4PCPpp,-0.0003305503105294212
DXYLTD,-0.0005750304683664319
2DDARAA,-0.0005750331407204402
G6PDH2r,-0.0006004921921989793
GND,-0.0006005211825115845
PGI,-0.0006005357896233432
PGL,-0.0006005658697611828
