,Coefficient
PDH,0.004144806210523654
PPCK,0.00397169732508407
DHORD2,0.002999200599449158
GARFT,0.002906243681435734
MALS,0.002426223816070843
4HTHRK,0.002075002314350549
4HTHRA,0.002074287308362129
DAAD,0.001958986865631418
MDH,0.001936922411414153
OHPBAT,0.001889370204746845
E4PD,0.00188315602319219
PERD,0.001873324146248447
PPPGO3,0.001860344508329411
G3PD2,0.001702989269865743
IMPD,0.001600042515898154
PRPPS,0.0015489693801659
G3PAT160,0.001512984761106586
G3PAT161,0.001512791123943696
RPE,0.001400217860037391
ICL,0.00136679681440011
MDH3,0.001355496306277542
PAI2T,0.001342501283374256
PAI2I,0.001341691534439817
AI2K,0.001341367053938754
FBA,0.001334385752747812
FBP,0.001331891198392994
NDPK3,0.001204075334626659
PDX5PO2,0.001165700819981697
TKT2,0.001160726954891518
BETALDHx,0.001079307598839465
TRDR,0.0009245902066218469
PAPSR,0.0008128408092609533
CPPPGO,0.0007218629490108968
AGM4PCPpp,0.000669268470301113
NDPK1,0.0006516938039105291
TKT1,0.0006441942666294947
TALA,0.0006430235280795069
U23GAAT,0.0006323262939982993
UAAGDS,0.0006323164230776853
UAMAS,0.0006323008635504725
UAMAGS,0.0006322797423126313
DDPA,0.0006322786798732955
P5CR,0.0006322531824381669
DHPPDA2,0.0006322213039299667
G5SADs,0.0006321842250937967
DTMPK,0.0006321766876054243
ASP1DC,0.0006321420651851413
PPNDH,0.0006321299647386102
UGMDDS,0.0006320949426239701
GLNS,0.0006320831240295156
HSST,0.0006320751034825946
SDPTA,0.0006320150243582062
UHGADA,0.0006319858545625202
DHDPRy,0.0006319464544644395
RHCCE,0.0006319446761136838
UAGAAT,0.0006319245989043143
DAPE,0.0006318702306723518
ATPPRT,0.0006318588889974735
HISTD,0.000631788853887272
IPDPS,0.0006317861447895149
DHDPS,0.0006317146208718791
DMPPS,0.0006316939693936216
G1PACT,0.0006316363143567756
KDOPP,0.0006315934672606967
GF6PTA,0.0006315540550918141
KDOPS,0.0006314843658136075
IGPDH,0.0006314679599470442
ASPCT,0.0006313663791386027
PRATPP,0.0006312875205803773
ASNS2,0.0006312391958725518
PRMICI,0.000631190652608204
DPCOAK,0.0006311024825905657
GLUPRT,0.0006310900214122184
SERAT,0.0006309857093700177
OCTDPS,0.0006309558877133292
CYSS,0.000630878902774236
ADSS,0.0006307985198734267
NADS1,0.0006307702554270227
BPNT,0.0006306560125588711
PNTK,0.0006306316056297546
HBZOPT,0.0006304532101414809
DAPDC,0.0006304243047995134
OCBT,0.000630302798612923
FCLT,0.000630263556218288
ACODA,0.0006300624068211378
PHETA1,0.0006300577441354865
PPND,0.0006299283169434237
NDPK4,0.000629849618375348
PRAMPC,0.0006296651938828057
TMPK,0.0006295281498472682
ACOTA,0.000629387996028006
PDX5PS,0.0006292459873909283
UAGPT3,0.0006291703479344015
PPBNGS,0.0006291015359785784
SULR,0.0006289533254139481
PAPPT3,0.0006289135150558386
PPNCL2,0.0006286543545684763
CTPS2,0.0006286468070221017
PRAGSr,0.0006284995953223472
UAPGR,0.0006283711503049493
PRFGS,0.0006283426296867365
NNATr,0.0006281834194562171
UMPK,0.0006280875951495325
AIRC2,0.0006280208626492223
ADCL,0.0006277972376082961
MOAT2,0.0006275179479560654
ADCS,0.0006275011255683135
ARGSL,0.000627344385559988
SDPDS,0.0006271995988363938
GLU5K,0.0006271682747029349
IPPS,0.0006269892484458516
MOHMT,0.0006266222876051447
OPHBDC,0.0006265940845676036
SADT2,0.0006262804103824303
GMPS,0.000626057398265689
GTPCII2,0.0006259656795017337
AHCYSNS,0.0006258974747484409
CHRPL,0.0006258589837206352
PMPK,0.0006256586177304392
DXPRIi,0.0006256458979308399
PTPATi,0.0006253221814329418
ADSK,0.0006252665395587112
HPPK2,0.0006249944177527479
CYSTL,0.0006246680298167187
DNMPPA,0.000624662582614483
SHSL1,0.0006244496990957579
GTPCI,0.0006237760600317529
UDCPDP,0.0006233120648759592
NNDPR,0.0006232855001626228
CYTK1,0.0006230755978961141
GLUR,0.0006229348013404738
GK1,0.00062260448142907
UAGCVT,0.0006225807183352778
UAGDP,0.0006222231697311753
PGAMT,0.0006215134498484675
DHFS,0.0006214137097747305
MECDPS,0.0006211462960072507
CDPMEK,0.0006207760417612124
DXPS,0.0006204030904252442
METS,0.000620370039806851
KDOCT2,0.0006196440995790122
PRASCSi,0.000619319362436198
G1SAT,0.0006192638764965635
AGPR,0.0006188815079850878
DHPS2,0.0006187712865603056
ARGSS,0.0006184971702723109
QULNS,0.0006184936423345462
GLUTRR,0.0006173232069409131
NADK,0.0006169329814487933
PUNP1,0.0006169187280389395
KARA2,0.0006165405049089796
DNTPPA,0.0006162549904662122
KARA1,0.0006161483099572674
FMNAT,0.0006153692884387705
GLTPD,0.0006151511564222778
TGBPA,0.0006151495497598859
PFK_2,0.0006151114953190335
ACGK,0.0006148245418821018
IPPMIa,0.0006145934940375681
HMBS,0.0006142326740788818
DHAD1,0.0006141989838732186
MEPCT,0.0006139355391028392
PPCDC,0.000613804585059092
VPAMTr,0.0006134165328848331
TMDS,0.0006134103385753044
HSTPT,0.0006127768976314816
THDPS,0.0006124769757759835
FESD1s,0.000612254409938665
ADSL2r,0.0006122203084008894
THRD_L,0.0006121767717913879
DHFR,0.0006118761706226743
PRAIi,0.0006115753890738662
FESR,0.0006112608310618311
AIRC3,0.0006110523920190713
TYRTA,0.0006109944092400057
SHKK,0.0006106933754231071
IPMD,0.0006106640982174595
ADNK1,0.0006102878920626125
DHQTi,0.0006102768448846762
OMCDC,0.0006097905013331856
IG3PS,0.0006091931567737363
TMPPP,0.0006091274547469878
TDSK,0.000608747190463293
MTHFR2,0.0006086107720078873
GLUTRS,0.0006083691379986586
DUTPDP,0.0006080381207233281
LPADSS,0.0006079933756855325
DPR,0.0006077400926039057
IMPC,0.0006068787017361974
USHD,0.0006064983460845354
ACGS,0.0006062837179960208
UDCPDPS,0.0006061362711344171
MOAT,0.0006057773001773962
ALAALAr,0.0006057011537053943
UPPDC1,0.0006050691381206083
UPP3S,0.0006047202465228356
SHCHF,0.000604559257028864
GRTT,0.0006043749640844318
PRAIS,0.0006042756275604859
DMATT,0.0006040334130249507
PANTS,0.000603735331986571
LEUTAi,0.0006036957142034096
HISTP,0.0006034573179998819
IGPS,0.0006033522288682758
UPP3MT,0.0006031784864323033
CHORS,0.0006030226313100275
DHQS,0.0006029047945541239
CHORM,0.0006026876155293935
DASYN160,0.0006026332678006801
ANPRT,0.0006023665865633399
DASYN161,0.0006023639942271419
ADSL1r,0.0006020964547169596
ANS,0.0006020499854144055
AICART,0.0006018321791451343
PSCVT,0.0006017380754255084
ACLS,0.0006014306499080732
DHAD2,0.0006011279640381858
ACHBS,0.0006008301155105812
RBFSa,0.0006005371986433465
ORPT,0.0006002493041850412
IPPMIb,0.000599966519476076
MCTP1App,0.0005998232979243514
ILETA,0.0005996889534909238
PMDPHT,0.0005991578221161316
A5PISO,0.0005988962962656544
SHCHD2,0.000598640266540323
AMPMS2,0.0005982816151032636
RBFSb,0.0005981399380031006
PSSA161,0.0005980669536618359
RBFK,0.0005979010315195252
PSD160,0.0005978561454303566
DB4PS,0.0005976680009014532
PSD161,0.0005976492511987579
APRAUR,0.0005970232499463884
AGPAT160,0.0005968655460025541
G5SD,0.0005966085882415661
OMPDC,0.0005964111053493313
DHORTS,0.0005962197444648595
SHK3Dr,0.0005960370485585833
PSSA160,0.000595954327734397
AGPAT161,0.0005957895778472908
THZPSN3,0.0005952253655284091
TYRL,0.0005950772730244147
DHNPA2r,0.0005943359989081684
MECDPDH5,0.000593490776043152
ICYSDS,0.0005736586628927901
I4FE4ST,0.0005590304398368333
I2FE2SS2,0.0005589691806499906
I2FE2SS,0.0005588160795304572
I4FE4SR,0.0005587791294692962
TRPS3,0.0005586561518604398
ASPO6,0.0005582451566430759
I2FE2ST,0.0005532237420039563
DBTS,0.0005524922808356356
METAT,0.0005437715936616907
AMAOTr,0.0005278947403660291
TRPAS2,0.0005265763520482395
SPODM,0.0005255329408359594
CBMKr,0.0005206117625881865
PPA,0.0005182654440913673
OPHHX3,0.0005149652656159922
MALCOAMT,0.000514406580444059
BTS5,0.0005143258667874909
OGMEACPS,0.0005141974617634882
OGMEACPR,0.0005141391748623471
OPMEACPS,0.0005140869061906689
OPMEACPD,0.0005140011830707192
EPMEACPR,0.0005139673984470101
AOXSr2,0.0005139398660191682
OGMEACPD,0.0005139036791811993
PMEACPE,0.0005138967975911241
EGMEACPR,0.0005138950679249579
OPMEACPR,0.0005138927974305203
GAPD,0.0004931156648139795
I2FE2SR,0.0004810411725110545
PGK,0.0004747706087969906
RNTR1c2,0.0004625530209611084
AACPS3,0.000448726949456466
ACACT2r,0.0004419491594918821
ACACT3r,0.0004415525879513031
HACD1,0.0004388753253279706
HACD2,0.0004383981157671878
ECOAH3,0.000436555376401992
ECOAH2,0.0004346527555110847
ECOAH1,0.000434255114050897
FACOAE160,0.0004341995248692609
TPI,0.0004299006574020116
HACD3,0.0004278909062926132
ACACT1r,0.0004232234925090387
AACPS7,0.0004206856069660402
FACOAE120,0.0004154491888959755
ACOAD7f,0.0004121274566971186
ACOAD3f,0.0004117418868208233
ACOAD2f,0.0004116285940493136
ACOAD1fr,0.0004109293413375689
ACKr,0.000380654347075439
PTAr,0.0003804921846926179
AACPS9,0.0003793501566356418
FACOAE80,0.0003793297249134407
QMO2,0.0003642729259095243
3OAS140,0.0003512849002432588
3OAR140,0.0003510859417010948
ME2,0.0002888429516749311
PUNP2,0.0002399447515860269
PAPA120pp,0.0002391237193789112
PAPA120,0.0002389453583985723
GLUDy,0.0002200364550080841
5DOAN,0.0001663920430348009
RPI,0.00015587701173574
FECRMexs,0.0001478196280011078
ACACT4r,9.447426826331325e-05
HACD5,9.393735947574879e-05
HACD4,9.324861832179455e-05
ECOAH5,9.12817496983153e-05
ACACT5r,8.922508350521774e-05
ECOAH4,7.739579455714463e-05
RNDR4,6.819245635614681e-05
PFL,-0.0002640383268663855
GCALDD,-0.0002884466906255104
GND,-0.0003273555625119825
G6PDH2r,-0.0003273577359056898
TMK,-0.0003273695175374904
PGL,-0.000327514086687619
PGI,-0.0003275336441694599
2MAHMP,-0.0003276790442818608
URDGLYCD,-0.0003461591719467914
OXAMTC,-0.0003466565240587248
GTPHs,-0.0003604404732067186
NTPP11,-0.0003604974113430714
TAGURr,-0.0003844953699527783
ALTRH,-0.0003846588119673539
TRE6PP,-0.0004728825868377059
TREH,-0.0004729742422012249
TRE6PH,-0.0004729751328047479
R5PP,-0.0005531725183465716
DHORDfum,-0.000658614869866287
NADHXD,-0.0006941584828149821
AM4PCP,-0.0007345752445825244
PPC,-0.0009099631047833564
LPLIPAL2E161,-0.0009508140339529639
2AGPEAT161,-0.0009508251159223396
NADHXE,-0.0009571438316198858
NADHHR,-0.0009571561354991128
GLBRAN2,-0.001276074516564005
GALCTLO,-0.001309033686097422
NTPP5,-0.001427060347864541
2AGPEAT180,-0.001812584339966946
ACPPAT161,-0.001867185059274407
APG3PAT160,-0.001867191543033229
ACPPAT160,-0.001867196197028904
APG3PAT161,-0.001867197993186031
PPPGO,-0.001962425033526837
NTD4,-0.002083080060941047
MLTG2,-0.002113193189064099
ME1,-0.002193629964806523
AM4PA,-0.002223821320114932
DHORD5,-0.002575738003791684
TYRPpp,-0.002589325766906711
FTHFD,-0.002618315162810783
GLYCL,-0.002661981602171253
PUNP5,-0.002872502311932039
HXAND,-0.002872578043814997
NTD11,-0.00287259580281399
XPPT,-0.002872662070856686
HPYRRy,-0.002976285876000056
GLXCL,-0.002976422136632103
HPYRI,-0.002976554752419338
GLYCK,-0.002976567037444387
NDP7,-0.002996627028759706
PPS,-0.003187597406469245
APH180,-0.003446381704535061
APG3PAT180,-0.003446405543510032
ALCD19,-0.003848206595045692
GLYK,-0.003848509278979763
GAPP,-0.003848537437912985
FEOXAMexs,-0.003880807017765435
CMPN,-0.004354904927642191
FADRx2,-0.004853394793851021
PPM,-0.005066328821802908
RNDR3b,-0.00527307455656086
R1PK,-0.006167589465752414
R15BPK,-0.006167589977662116
AGPAT180,-0.006308115402503758
FTHFLi,-0.006819381183402747
GLYAT,-0.007928455390955491
THRD,-0.007928677662793074
