,Coefficient
ICHORS_copy2,0.005304107583805443
ICHORT,0.00446163799008351
DHBD,0.004461637811066076
RNTR3c2,0.004186935305249215
PPCK,0.003527614787382809
GARFT,0.003328274117408141
PDH,0.003271707421002612
PGPP160,0.003174007184846994
GTPDPK,0.003173774850156371
NDPK3,0.002900208555235037
FEENTERexs,0.002620375578372635
DHORD2,0.002463036745098394
4HTHRA,0.002100741770359864
4HTHRK,0.002099367074018522
KAS14,0.002073660378615017
MALS,0.002041772516777412
PPPGO3,0.00182059517163508
E4PD,0.00168422624594572
PERD,0.001672860483106061
OHPBAT,0.001639014331505642
AI2K,0.001619833228453589
PAI2I,0.001618920876526402
PAI2T,0.001617227025039129
G3PAT160,0.001564142405455056
G3PAT161,0.001563748884667164
IMPD,0.001548831533443947
PRPPS,0.001518907468027583
RPE,0.001412477832774506
APH181,0.001343343220516015
PTAr,0.001269844296904783
ACKr,0.001269807193734245
TKT2,0.001195525945971463
DAAD,0.001174489471808035
EAR180y,0.001156093002248437
ALAR,0.001124862983167154
GPDDA3,0.0009962531912061
MDH,0.000988082585711615
ICL,0.0009107176190759215
NTPP1,0.0008874782480814534
CPPPGO,0.0008591867020449631
VPAMTr,0.0008486145492753194
NDPK2,0.0008157227037805307
CBMKr,0.0008035660418205718
ADNK1,0.0007838253155613918
TRPS3,0.0007793750973517125
TRPAS2,0.0007704243967641618
PUNP1,0.0007412250565134099
GLUDy,0.0007220669766458602
NDPK1,0.0007011886209278929
MLTP2,0.0006880365887617203
3OAS140,0.0006515887760214387
3OAR140,0.0006511978722642173
TYROXDApp,0.0006468751151199768
QULNS,0.0006336168569799695
DHPS2,0.0006336164982505102
PRASCSi,0.000633591805922529
METS,0.000633452153035128
DNTPPA,0.0006333091621604392
DHFS,0.0006332040766857469
ACGK,0.0006328884707782516
GK1,0.0006327232175835529
HMBS,0.0006326699637320962
MEPCT,0.0006325503683540122
CYTK1,0.0006324846132271663
UDCPDP,0.0006323541541446851
HSTPT,0.0006321658678690639
GTPCI,0.0006320721962074703
THDPS,0.0006320199101605837
THRD_L,0.0006318673230637994
DHFR,0.0006317074055031712
SHSL1,0.0006315922779577227
PRAIi,0.0006315416904578599
CYSTL,0.0006314188184692573
TYRTA,0.0006311988041515896
SHKK,0.0006310143721820371
ADSK,0.00063085694829602
OMCDC,0.0006304232738618498
PMPK,0.0006302378517325208
CHRPL,0.000630017742904215
IG3PS,0.0006300093747808902
GMPS,0.0006297887956779519
MTHFR2,0.0006295689945931279
AHCYSNS,0.0006291727578476835
DUTPDP,0.0006291103159247817
