,Coefficient
PYK6,0.004615628917388103
4HTHRA,0.003608158555767024
4HTHRK,0.00360649783487038
GARFT,0.003422618664202475
FBA,0.002894763759079657
GLYCL,0.002767936421848415
GHMT2r,0.002591281762182639
PERD,0.00250632727704593
PGM,0.002499078004680633
E4PD,0.002497116577722541
ENO,0.00246963610910558
OHPBAT,0.002468861367055689
MTHFD,0.00236588418118443
MTHFC,0.002365384570758148
PGK,0.002281388987323578
GAPD,0.002270847928324141
G3PD2,0.001627825369892437
PRPPS,0.001540784771855996
IMPD,0.00151841644811511
TPI,0.001467375924593813
AI2K,0.001428975762041367
PAI2I,0.001427994191292555
PAI2T,0.001426333072547928
G3PAT161,0.001413323196050872
G3PAT160,0.001413293288001202
FRUK,0.001411706060439983
TRPAS2,0.001150348595249612
TRPS3,0.00111567676185691
DHORD2,0.001008963990819844
POR5,0.0009227044497962757
ADNK1,0.0008944679698273341
PUNP1,0.0008642077977895018
AHGDx,0.0008279442437166279
OPHHXy,0.0008268312801203709
SHGO,0.0008266641209835485
NADHPO,0.0008261066678821009
MOX,0.0008142940445571056
PPC,0.0007903880932944242
FADRx,0.0007159564665589962
PFK_3,0.0006951080441867056
FBA3,0.0006807367763476864
TRDR,0.0006705018751512288
PAPSR,0.0006665210294992914
RNTR3c2,0.0006446262098897822
5DOAN,0.0006395051342546741
GLNS,0.0006200953522929654
PSSA160,0.0006046804289950677
AGPAT161,0.0006046533614476125
AGPAT160,0.0006046100297949308
PSD161,0.0006044742951154755
PSD160,0.0006044197127941184
PSSA161,0.000604356845536709
AMPMS2,0.0006042856854852648
MCTP1App,0.0006036131104868837
MALCOAMT,0.0006028870621071686
AICART,0.0006024870522910774
OGMEACPS,0.0006023847815309489
ADSL1r,0.0006022952742947957
OGMEACPR,0.0006022035075695463
OPMEACPS,0.0006020148326979054
DASYN161,0.0006019205026886127
DASYN160,0.0006017052049560305
DHQS,0.0006014819740663046
OPMEACPD,0.0006013896609328766
UPP3MT,0.0006012508608184933
EPMEACPR,0.0006011758669505908
HISTP,0.0006010119336684371
AOXSr2,0.0006009557314511397
PANTS,0.0006005451524809391
OGMEACPD,0.000600497418409312
EGMEACPR,0.0006002581778237285
PRAIS,0.000600047494504707
OPMEACPR,0.0006000135827763202
SHCHF,0.0005997710881848499
PMEACPE,0.0005997631077391316
MECDPDH5,0.0005989979397799133
ALAALAr,0.0005985999826264757
ACGS,0.0005979675482189758
AMAOTr,0.0005966560954019244
DPR,0.0005963011393949116
BTS5,0.0005962533713010875
DUTPDP,0.0005959412810585699
MTHFR2,0.0005952022839433867
DHNPA2r,0.000594953807244079
IG3PS,0.0005948234370060359
OMCDC,0.0005940492770225443
TYRL,0.0005933182155552553
THZPSN3,0.0005929635662485234
SHKK,0.000592843081203429
TYRTA,0.0005924298942130915
PRAIi,0.0005916243285492245
SHK3Dr,0.0005912057603576157
DHFR,0.0005911958041057171
DHORTS,0.0005908317974492957
THRD_L,0.0005907623012317184
OMPDC,0.0005904549070551365
THDPS,0.0005903239554037423
G5SD,0.0005900752129692187
HSTPT,0.0005898809045701675
MEPCT,0.0005889841996349043
APRAUR,0.0005889512447552547
METAT,0.000588913825912425
HMBS,0.0005885279021077874
DB4PS,0.0005881790918291412
ACGK,0.0005876030629611692
RBFK,0.0005873905357613508
RBFSb,0.0005865940124264984
ALATA_L,0.0005859805675041181
SHCHD2,0.0005857912665733681
A5PISO,0.0005853877969424367
DNTPPA,0.0005852299487261375
PMDPHT,0.0005849830835562026
ILETA,0.000584178143983943
VALTA,0.0005837701252027596
IPPMIb,0.0005833613866469633
ORPT,0.0005829519600502923
RBFSa,0.0005825419537976061
ACHBS,0.0005821314755183951
DHAD2,0.0005814080966711933
ACLS,0.0005809959212058291
QULNS,0.0005808540656484359
PSCVT,0.0005805837007553588
ANS,0.0005801715407722191
ANPRT,0.0005797595468146421
DHPS2,0.0005793548279741818
CHORM,0.0005793475667670839
CHORS,0.0005789362260489085
IGPS,0.0005785253717140921
PRASCSi,0.0005783823978048106
LEUTAi,0.0005781151125665914
DMATT,0.00057733998936992
GRTT,0.0005769318322361883
UPP3S,0.0005765247192032048
METS,0.0005763924275294682
UPPDC1,0.000576118757430112
RNTR4c2,0.0005756174046360141
MOAT,0.0005750670854460819
UDCPDPS,0.0005746657704322503
DHFS,0.0005739585640885434
USHD,0.000573851040883774
IMPC,0.0005727521581709047
LPADSS,0.0005715782893725465
GK1,0.000571533711789314
GLUTRS,0.0005711967280019537
CYTK1,0.000571029217616303
TDSK,0.0005708177511437421
UDCPDP,0.0005705262884368164
TMPPP,0.0005704414259131351
ALAR,0.000570200903012831
GTPCI,0.0005700254042454094
DHQTi,0.0005697054555816185
IPMD,0.000569337363534491
AIRC3,0.0005689721076183525
ADSL2r,0.0005682556946818202
SHSL1,0.0005676371784615636
TMDS,0.0005675360079915926
PPCDC,0.000567185020564708
CYSTL,0.0005671508199703645
DHAD1,0.0005668369327121603
IPPMIa,0.0005664917342297912
FMNAT,0.0005661506501654708
ADSK,0.0005657898528448177
KARA1,0.0005651522642910824
KARA2,0.0005648212479475007
NADK,0.0005644929882897185
PMPK,0.0005644684623628613
GLUTRR,0.0005641673255275686
CHRPL,0.0005637481673475801
GMPS,0.0005631201073520527
ARGSS,0.0005628344513768257
AHCYSNS,0.0005626817860372015
AGPR,0.00056252319129967
MOHMT,0.0005622501597626905
G1SAT,0.0005622146720663348
KDOCT2,0.0005619089033037472
IPPS,0.0005614077644835498
DXPS,0.0005612856754934533
GLU5K,0.0005609976322671699
