,Coefficient
4HTHRA,0.004643204704324394
4HTHRK,0.004641711249087578
GARFT,0.002991552795067777
E4PD,0.002904574469622901
PERD,0.002897632813352464
OHPBAT,0.002856398598719957
PYK,0.002753032551793584
PGM,0.002705972258580435
ENO,0.002667217842076777
GAPD,0.002173135982112284
PGK,0.002142770836724774
PTAr,0.002098783397343154
ACKr,0.002098015622056788
TPI,0.001996277886633411
PYK6,0.001804597335436448
PYK2,0.001793128914351512
PYK4,0.001777367539965075
GND,0.001756093001317012
PPC,0.001599380271293053
G3PD2,0.00156511605817011
PPPGO3,0.001559477063497679
G3PAT160,0.001529316638933344
G3PAT161,0.001529017276882519
RPI,0.001497609118927984
IMPD,0.001475713709376802
TALA,0.001443389450254272
TKT1,0.00144304141550447
GHMT2r,0.001381452686857679
LCADi,0.001305637470023776
TRPAS2,0.001236210434879115
TRPS3,0.001224471516931633
AI2K,0.001215373961670068
PAI2I,0.001213848381324554
PAI2T,0.001212339840564117
TRDR,0.001192508149537349
PAPSR,0.001132509323085469
FCLPA,0.001099375617801181
FCLK,0.001099000240665935
FCI,0.001098630456266382
ADNK1,0.001093405560077349
RPE,0.001089018562280718
GLYCLTDx,0.001074935615321556
PUNP1,0.001047800905027981
L_LACD2,0.001009665293922105
DHORD2,0.0009732957818224294
ASPO3,0.0009279534761636656
I4FE4SR,0.0006698084493544479
I2FE2SS,0.0006689225028955169
I2FE2ST,0.0006686390293407174
I2FE2SS2,0.0006683563654595185
I4FE4ST,0.0006680741584623262
I2FE2SR,0.0006644679568116762
2DGULRGy,0.0006524748159581895
ICYSDS,0.000651959159444187
PRPPS,0.0006068704345189278
MEPCT,0.0005266666177965238
HMBS,0.0005266654771432823
HSTPT,0.0005266467621129399
ACGK,0.0005266413544163354
THDPS,0.0005266266226080895
THRD_L,0.0005265995094856369
DHFR,0.0005265635837124455
PRAIi,0.0005265223373624243
TYRTA,0.0005264221500160072
DNTPPA,0.0005263675691537004
SHKK,0.0005263614840086766
OMCDC,0.0005261400882432835
IG3PS,0.0005259718561914928
MTHFR2,0.0005258725711743796
DUTPDP,0.0005256552307342754
DPR,0.0005255371709884448
AMAOTr,0.0005254133503341002
QULNS,0.0005253696156607901
DHPS2,0.0005252296912389425
PRASCSi,0.0005250823151294206
ACGS,0.0005248621239351453
ALAALAr,0.0005245500336650696
METS,0.0005242370766577143
SHCHF,0.0005238710142400154
PRAIS,0.0005236476401520232
PANTS,0.0005232643599751744
DHFS,0.0005230211251022921
HISTP,0.0005228634629383701
UPP3MT,0.0005226529069361876
DHQS,0.0005224375800369831
DASYN160,0.0005222175299529942
DASYN161,0.0005219928423862478
ADSL1r,0.0005215411683438408
GK1,0.0005215409649097374
AICART,0.0005213037374934485
CYTK1,0.000521253707809646
UDCPDP,0.0005209719624345373
GTPCI,0.0005203964484528979
GLNS,0.0005195578724954848
MCTP1App,0.0005192971974552747
SHSL1,0.0005185184699417648
CYSTL,0.0005181769618728499
AMPMS2,0.0005173802433774716
ADSK,0.0005171298615106691
PSSA161,0.0005170875480219878
