,Coefficient
GARFT,0.003829535690206127
QMO3,0.002058465186023245
DHORD2,0.001982106309089735
RPE,0.001887517665046254
G3PD2,0.001719058722018341
PDH,0.001683871696850749
IMPD,0.001671524524695356
PRPPS,0.001543204004644713
PPPGO3,0.001541806383594064
G3PAT161,0.001498263684148861
G3PAT160,0.001497796231664946
TKT2,0.001417896621464989
AKGDH,0.001125377621142273
PAI2T,0.001100210795777312
PAI2I,0.001099735948187114
AI2K,0.001099386931622688
SUCOAS,0.001062263037675623
TRDR,0.001016826264154286
PAPSR,0.0009845042829535724
PUNP1,0.00096869364014134
OHPBAT,0.0009557758511700728
PERD,0.0009454244965755571
ADNK1,0.0009435556264119622
FUM,0.0009329202647055524
E4PD,0.0009277888637651944
ADK1,0.0008601764654755997
3OAR140,0.0008512403258248895
PDX5PO2,0.0008508915104149133
3OAS140,0.0008507582604698798
ICDHyr,0.000811193070362665
4HTHRK,0.0007487522196657672
4HTHRA,0.0007484122904455852
TALA,0.0007116715925475792
TKT1,0.0007106610109581584
G5SD,0.0006914081292956754
OMPDC,0.0006914041458262615
DHORTS,0.0006913924111974164
APRAUR,0.000691376318888014
SHK3Dr,0.0006913728989828109
DB4PS,0.0006912897971635477
RBFK,0.0006911878330453191
THZPSN3,0.0006910948332694141
RBFSb,0.0006910550741991605
TYRL,0.0006910213701885726
SHCHD2,0.0006908930571084238
A5PISO,0.0006907092930378493
PMDPHT,0.0006906029802240891
DHNPA2r,0.0006904528145090096
ILETA,0.0006903814502133454
VALTA,0.0006902540477253879
IPPMIb,0.0006901197129675851
GLNS,0.0006899799120682312
ORPT,0.0006899785091288433
RBFSa,0.0006898305017619927
ACHBS,0.0006896757587606779
DHAD2,0.0006895143504375804
ACLS,0.0006893463494061138
PSCVT,0.0006891718305376089
ANS,0.0006889908708020136
ANPRT,0.0006888035491098708
CHORM,0.0006886099460757717
CHORS,0.0006884101438126883
IGPS,0.0006882042257026693
5DOAN,0.0006881586300170544
LEUTAi,0.0006879922762415053
MECDPDH5,0.0006879211883197668
DMATT,0.0006877743808700957
GRTT,0.0006875506258489649
UPP3S,0.000687321098171606
UPPDC1,0.0006870858855281647
MOAT,0.0006865985891305892
UDCPDPS,0.000686097551271144
USHD,0.0006855505995734039
IMPC,0.0006851599815858469
LPADSS,0.000684292080526818
ALATA_L,0.000684212680440454
GLUTRS,0.000683997529580117
TDSK,0.0006836983514067544
TMPPP,0.0006833946292479548
DHQTi,0.0006824578712092696
IPMD,0.0006821367500267789
AIRC3,0.0006818110613398558
ADSL2r,0.0006808115205472451
TMDS,0.0006797776092958924
PPCDC,0.000679424812726454
DHAD1,0.0006790682390676597
IPPMIa,0.0006787079362422436
FMNAT,0.0006776140123707873
KARA1,0.0006768605633689613
KARA2,0.0006764792524094527
NADK,0.0006760905167275512
GLUTRR,0.0006757026393825979
AGPAT161,0.0006756849985572136
PSSA160,0.0006752283799489322
ARGSS,0.0006740783630963498
AGPR,0.0006736743757985009
G1SAT,0.0006732676622374451
AGPAT160,0.000672913473992914
KDOCT2,0.0006728582889134108
DXPS,0.0006720188238424412
CDPMEK,0.0006715972063431185
MECDPS,0.0006711776013103405
PSD161,0.000671039903285654
PGAMT,0.0006707557301811085
PSD160,0.000670564825330711
UAGDP,0.0006703315196455718
PSSA161,0.0006700876901792162
UAGCVT,0.0006699053727454272
AMPMS2,0.0006696086035172024
GLUR,0.0006694772268073447
NNDPR,0.0006690471828722877
DNMPPA,0.0006668314447193175
METAT,0.000666531395284293
HPPK2,0.0006663914244381097
MCTP1App,0.0006663282581993584
PTPATi,0.0006659503869275408
DXPRIi,0.0006655084357922821
GTPCII2,0.0006650656684044444
SADT2,0.0006646207969806066
OPHBDC,0.0006641780753299459
SDPDS,0.0006632931461105584
AICART,0.0006629309841781117
ADCS,0.0006628477719258259
ADSL1r,0.00066243908639368
ADCL,0.000662402179409859
UMPK,0.0006619564789370531
UAPGR,0.0006615107925987888
DASYN161,0.0006614948545215564
CTPS2,0.0006610652325074277
DASYN160,0.0006610042724805643
PAPPT3,0.000660619917014304
DHQS,0.0006605144938384166
UAGPT3,0.000660174965615087
UPP3MT,0.0006600256643756168
HISTP,0.0006595121235939264
PANTS,0.0006585748839400302
PRAIS,0.000657640269314815
ACODA,0.0006575593042206046
FCLT,0.000657120346212971
SHCHF,0.0006566873269479735
HBZOPT,0.0006566826748859627
PNTK,0.0006562463993720238
ADSS,0.0006558110575561165
OCTDPS,0.0006553784748757537
DPCOAK,0.0006549470410183074
ALAALAr,0.0006548114401426174
ASNS2,0.0006545174385608731
ASPCT,0.0006540897740862577
ACGS,0.0006538795546418202
KDOPS,0.000653664156393335
KDOPP,0.00065324069399531
DMPPS,0.0006528194953457736
IPDPS,0.0006524006694081315
DAPE,0.0006519843244064712
DPR,0.0006516336028581529
DHDPRy,0.0006515705690414012
DUTPDP,0.0006511874119555999
SDPTA,0.0006511595116040042
HSST,0.0006507501461330329
PPNDH,0.0006503459222543606
MTHFR2,0.0006503046550206025
DTMPK,0.0006499436052410488
NDPK2,0.0006498791015982072
IG3PS,0.000649479720589784
DDPA,0.0006487751434436174
OMCDC,0.0006486428467188032
RHCCE,0.0006480030890979395
SHKK,0.0006474032931547961
U23GAAT,0.0006472276298405654
TYRTA,0.000646999474129689
UAAGDS,0.0006468525810845846
PRAIi,0.0006462363593515598
TRPAS2,0.0006461824914644241
UAMAS,0.0006461000065502116
DHFR,0.0006458468862276643
UAMAGS,0.0006457367059692329
THRD_L,0.0006454625694133905
P5CR,0.0006453777057826772
THDPS,0.0006450835085891641
DHPPDA2,0.0006450230933300236
HSTPT,0.0006447098004183724
G5SADs,0.0006446729541493043
ASP1DC,0.0006440003528696774
MEPCT,0.0006439751353860431
UGMDDS,0.0006436639302660618
HMBS,0.0006436179363789478
UHGADA,0.0006430055420087027
ACGK,0.0006429208070126209
UAGAAT,0.0006426838223228438
ATPPRT,0.0006423671861556416
HISTD,0.0006420557275521813
DHDPS,0.0006417495412989871
G1PACT,0.0006414487222014552
GF6PTA,0.0006411527462625693
DNTPPA,0.0006409633087033113
IGPDH,0.0006408629682155999
PRATPP,0.0006403055421951277
PRMICI,0.0006400328538274496
GLUPRT,0.0006397656896754969
SERAT,0.0006395037107130377
CYSS,0.0006392489910071465
NADS1,0.0006390018060677309
BPNT,0.0006387580758095888
QULNS,0.0006385335912519404
DAPDC,0.0006382990949419441
DHPS2,0.0006382910484028123
OCBT,0.0006380757606357625
PRASCSi,0.0006378289454080929
PHETA1,0.0006376544682087446
PPND,0.0006374506398704171
PRAMPC,0.0006370577038403858
TMPK,0.0006368741909857673
METS,0.0006368287459871364
ACOTA,0.0006366975812734483
PDX5PS,0.0006365279345361772
PPBNGS,0.0006363653089461533
SULR,0.0006362083754408482
DHFS,0.000636136877422455
PPNCL2,0.0006359220631075922
PRAGSr,0.000635787591153302
PRFGS,0.0006356607856733158
NNATr,0.0006355416947690138
GK1,0.0006355139071096986
AIRC2,0.0006354292162195932
CYTK1,0.0006352875240191881
MOAT2,0.0006351378234728117
UDCPDP,0.0006350905675563613
ARGSL,0.0006350556863471919
GLU5K,0.0006349811304339508
GTPCI,0.0006349246052931141
IPPS,0.0006349141906573454
MOHMT,0.0006348032877027143
GMPS,0.0006346873930619843
SHSL1,0.0006346797883258939
CHRPL,0.0006346666795310319
PMPK,0.0006346537168979669
CYSTL,0.0006346399593799339
ADSK,0.0006346123552142652
AHCYSNS,0.0006343332144050683
ASPO6,0.0006308592200763237
ME1,0.0006217201312768749
RNTR3c2,0.0006214316733647644
TRPS3,0.0006146608504976387
BTS5,0.0006039685501231808
PMEACPE,0.000601239163977089
OPMEACPR,0.0006009809392542168
EGMEACPR,0.0006007153799547496
OGMEACPD,0.0006004424961103442
AOXSr2,0.0005998747922773836
EPMEACPR,0.0005995799192597323
OPMEACPD,0.0005992776759432029
OPMEACPS,0.0005983592031408274
OGMEACPR,0.0005980266876179057
OGMEACPS,0.0005976865188260021
MALCOAMT,0.0005966197376853224
OPHHX3,0.0005942934780386075
RNTR2c2,0.0005942427895532376
ALAR,0.0005913648498230372
PPA,0.0005859275715027646
CPPPGO,0.0005806465707540892
AMAOTr,0.0005661194008753301
DBTS,0.0005573695388196844
BETALDHy,0.0005306126402100124
CBMKr,0.0004965811491036567
PGK,0.0004804111829833976
NDPK3,0.0004724685570798954
NDPK4,0.0004716506005575937
NDPK1,0.0004637916775840311
OAADC,0.0004570362129211597
NADHPO,0.0004566123969825051
OPHHXy,0.0004552154318379389
MOX,0.000454781810220488
RNTR4c2,0.0004370448048673911
RNTR1c2,0.0004332867306628827
GAPD,0.0004326647126095114
ICYSDS,0.000414627497739668
FESD1s,0.000411259610538241
FESR,0.0004099530408550726
I4FE4ST,0.0003505401712527458
I2FE2SS2,0.000350388878100698
I2FE2SS,0.0003498833723409986
I4FE4SR,0.0003493166012282141
I2FE2ST,0.0003439787937555702
TPI,0.0003263821360049706
I2FE2SR,0.0002664037642716912
MDH,0.000240814984323334
ACOAD1fr,0.0002395290638368732
ACOAD2f,0.0002281123133115408
ACOAD3f,0.0002277041441690385
ACOAD7f,0.0002264362037418367
ECOAH1,0.0002243624309216629
ECOAH2,0.0002239466006417864
ECOAH3,0.0002219151085478861
FACOAE120,0.0002182091300845481
AACPS7,0.0002077449544021787
ACACT1r,0.0002031174916427797
AACPS3,0.0001973439028326747
HACD3,0.0001963721481508851
FACOAE160,0.0001893645451379885
HACD2,0.0001857354099156403
HACD1,0.0001854882087056843
ACACT3r,0.0001844919894416441
ACACT2r,0.0001844882354350874
ECOAH4,0.0001770009823635958
ACOAD4f,0.0001715615596091243
ACOAD5f,0.0001699023247541136
SPODM,0.0001696095014394979
HACD4,0.0001611712507722161
ECOAH6,0.0001602917297814844
HACD5,0.0001602888633690256
ACOAD6f,0.0001540347873316845
HACD6,0.0001499018339977615
HACD7,0.0001419134595911189
ECOAH7,0.0001338188875526597
HCO3E,0.0001336165958104445
ACACT5r,0.0001305350202546789
ECOAH5,0.0001289251256142174
ACACT4r,0.0001275607885728693
ACACT6r,0.0001140155812455766
ACACT7r,0.0001096681442575946
FMNRx,8.43034564901336e-05
CTECOAI7,8.153155052576707e-05
LALDO2x,-0.0004050181279681777
EAR161x,-0.0004051261862473779
PPDOy,-0.000405303893180057
GPDDA2pp,-0.0004053196344879552
ARGDC,-0.0005586350189242473
ACPPAT160,-0.0007245479994255241
ACPPAT161,-0.0007245731808761965
APG3PAT160,-0.0007245749083888649
APG3PAT161,-0.0007245765723816586
LPLIPAL2A181,-0.001026936433846418
LPLIPAL1A181pp,-0.001027041587439179
PLIPA2A181pp,-0.001027118986160626
PLIPA1A181pp,-0.00102724874868432
ICL,-0.002276325453058376
XPPT,-0.002797214089351458
PUNP5,-0.002797316340617499
NTD11,-0.002797530509446624
HXAND,-0.002797572100112684
ACALD,-0.003272123922847716
THRA,-0.003272193438245363
GAPP,-0.003853478477327987
GLYK,-0.003853489596482048
ALCD19,-0.003853783766928702
THRD,-0.004306098027149626
GLYAT,-0.004306379590666844
PPM,-0.005065325931479564
R1PK,-0.006162071683919594
R15BPK,-0.006162074666916336
FTHFLi,-0.007018046908464149
DHORDfum,-0.007239689967643693
GART,-0.008104556344674834
