,Coefficient
FEOXAMR2,0.00911505029926787
FMNRx2,0.006522031956956734
PYK3,0.005513389404560066
DADA,0.004388343635812607
ADK3,0.00395132332526415
GARFT,0.003712082695516438
OMMBLHXy,0.003675316475004955
OMMBLHX3,0.003674357033267666
GLYCL,0.003180303456752308
AGMT,0.003100472900443661
PMANM,0.00299876198450911
MN6PP,0.002997664470963622
GDPMNH,0.002997648903279989
GDPMNP,0.002997373573035861
GHMT2r,0.002914344354416652
FRD3,0.002705763025415071
MTHFC,0.002556494051811818
MTHFD,0.002556164799784268
CAT,0.002551902783888897
PLIPA2G120pp,0.002351538721512004
LPLIPAL1G120pp,0.002351475976048739
DHORD2,0.002313179400135184
LPLIPAL1A120pp,0.002124035267008294
PLIPA2A120pp,0.002124029857247461
2DGULRGx,0.00208220232075826
ENO,0.002057712563030814
PGM,0.002019304284603196
PGI,0.001994231302105483
2DGULRy,0.001952448510398943
DHAPT,0.001883866143564052
F6PA,0.001883430341607952
PGK,0.001875493241314247
GAPD,0.001863542594078119
PPC,0.001852301719435484
XTSNH,0.00173859339110682
G3PD2,0.001699425117603825
POR5,0.001650268681452751
G3PAT161,0.001602923042427826
G3PAT160,0.001602885700221745
PRPPS,0.001575884650932709
IMPD,0.001530999412289461
PUNP1,0.001522174679655188
ADNK1,0.001481304776520889
OHPBAT,0.001398722005112409
PYK4,0.001367369100747307
PYK2,0.001366418865769523
PYK6,0.001364466262450872
E4PD,0.001358367216885754
PERD,0.001353633238890235
FACOAE140,0.00133461193627955
FA140ACPHi,0.001334507543665153
LPLIPAL2A120,0.001334491861244557
PLIPA1A120pp,0.001334487097737702
G3PAT140,0.001334475466152716
TRPS3,0.00129792474578795
MLTP3,0.001281941255398006
TRPAS2,0.001271601656868656
RNTR4c2,0.001269061555283995
PLIPA1E181pp,0.001263308660374847
SBTPD,0.001255432307415981
4HTHRK,0.001169594087171709
4HTHRA,0.001167530169976003
PAI2T,0.001164817087797906
PAI2I,0.001162737760409278
AI2K,0.001160619862990078
FEOXAMexs,0.001147055699665412
GLYCLTDx,0.00112260618198735
TPI,0.001063922748419527
DTARTD,0.0009622518198575351
RNTR3c2,0.0009298554477080871
MANPGH,0.0008242415550282959
FLVR,0.0007397350126182232
ASPO3,0.0006838094012782753
3OAR140,0.0006802488531612199
3OAS140,0.0006802300187355827
DAPAL,0.0006624259597522403
METAT,0.0006360384843358098
OPHBDC,0.0006246300406287191
SADT2,0.0006246242094469682
GTPCII2,0.0006246111119495008
SDPDS,0.0006246053722686627
DXPRIi,0.0006245906165341363
ADCS,0.0006245830564446532
PTPATi,0.0006245626280143732
ADCL,0.000624553816913999
HPPK2,0.0006245270723915039
DNMPPA,0.0006244839520810529
UMPK,0.0006244689048737286
UAPGR,0.0006244202959626051
CTPS2,0.0006243647917182604
PAPPT3,0.0006243025312569415
UAGPT3,0.0006242332676178391
ACODA,0.0006239780863854427
NNDPR,0.0006239180023715653
FCLT,0.0006238830262214461
HBZOPT,0.000623781223278817
GLUR,0.0006237219938060713
PNTK,0.0006236727153620339
UAGCVT,0.000623608734862106
ADSS,0.0006235575394630835
UAGDP,0.0006234884368435569
OCTDPS,0.0006234357336338858
PGAMT,0.0006233612409448534
DPCOAK,0.0006233073470314724
MECDPS,0.000623226821614443
ASNS2,0.000623172415121172
CDPMEK,0.000623085317572595
ASPCT,0.0006230309864745584
DXPS,0.0006229367049292785
KDOPS,0.0006228831078546613
KDOPP,0.0006227288280698759
DMPPS,0.0006225682024440678
KDOCT2,0.0006224265638187044
IPDPS,0.0006224012552759724
G1SAT,0.0006222498042421923
DAPE,0.0006222280852963536
AGPR,0.0006220657987910988
DHDPRy,0.0006220487267579802
ARGSS,0.0006218746101412793
SDPTA,0.0006218632417010914
HSST,0.0006216716915799019
PPNDH,0.0006214741399318154
DTMPK,0.0006212706523381854
GLUTRR,0.0006209839575888249
DDPA,0.0006208566103734177
NADK,0.0006207595484030864
KARA2,0.0006205282757852422
RHCCE,0.0006204156978579946
KARA1,0.0006202908996242838
U23GAAT,0.0006197349054943485
FMNAT,0.0006195626090256647
UAAGDS,0.0006194871118758799
IPPMIa,0.0006193018774171692
DHAD1,0.0006190337289924152
UAMAS,0.0006190072606635372
PPCDC,0.000618759531477041
UAMAGS,0.0006187436687407877
TMDS,0.0006184793626928982
P5CR,0.0006184748011980574
DHPPDA2,0.0006182007454986558
G5SADs,0.0006179216197717218
ADSL2r,0.0006178983616974142
ASP1DC,0.0006176375833877487
UGMDDS,0.000617348796649363
AIRC3,0.0006173051976882259
DBTS,0.0006170554631463585
IPMD,0.0006169968729761553
UHGADA,0.0006167576012462814
DHQTi,0.0006166829872895337
UAGAAT,0.0006164554690963457
ATPPRT,0.0006161491377797897
TMPPP,0.0006160564107122658
HISTD,0.0006158387080708955
DHDPS,0.0006155242718098915
TDSK,0.0006154191295523447
G1PACT,0.0006152059158717282
GLUTRS,0.0006150794400129293
GF6PTA,0.0006148830018370968
LPADSS,0.0006147345024551939
IGPDH,0.0006145570448724068
PRATPP,0.0006139001483936075
IMPC,0.0006136561042118836
PRMICI,0.0006135635331530193
GLUPRT,0.0006132235292145503
USHD,0.000612942527724374
SERAT,0.0006128802325818941
CYSS,0.0006125337407821574
NADS1,0.0006121841511375644
UDCPDPS,0.0006121759841055422
BPNT,0.000611831567925258
MOAT,0.0006117934216341097
DAPDC,0.0006111236392720162
UPPDC1,0.0006110169567702337
OCBT,0.0006107627333832139
UPP3S,0.000610622710005093
GRTT,0.000610224600496962
PHETA1,0.0006100444204117648
DMATT,0.0006098227443153476
PPND,0.0006096761400953202
LEUTAi,0.0006090575719976492
PRAMPC,0.0006089349624056753
TMPK,0.0006085600405907275
IGPS,0.0006082674949669027
ACOTA,0.0006081828705660218
CHORS,0.0006078500359211973
PDX5PS,0.0006078040893164475
CHORM,0.000607429529812486
PPBNGS,0.0006074235339197314
SULR,0.0006070413121132508
ANPRT,0.0006070061035359698
ANS,0.0006065787610154519
CBMKr,0.0006063373941826657
