,Coefficient
4HTHRK,0.003768499238680306
4HTHRA,0.003766800865229187
GARFT,0.00338101903278156
FADRx2,0.003190719025768543
ENO,0.002886227694350516
PGM,0.002858042679161707
OHPBAT,0.002640266268898358
E4PD,0.002611080617501127
PERD,0.002602844367908058
FESD1s,0.00256967730353951
FESR,0.002565775602009924
ADA,0.002524603384658099
ASPO6,0.002484514415278857
PYK6,0.002358933115745896
PYK2,0.00234390104706717
PPC,0.002331239723613289
PYK4,0.002320928021502593
PYK3,0.001942591587523632
GAPD,0.001894016066493958
PGK,0.001891497815586268
SPODM,0.001862646700683692
5DOAN,0.00177523047118532
DHORD2,0.001686779467152847
TKT2,0.001670661733749842
G3PD2,0.001578730758958087
RPE,0.001551799468598383
AKGDH,0.001549333234342214
SUCOAS,0.001514338048290111
G3PAT160,0.001495375783778613
G3PAT161,0.001495331611932665
PRPPS,0.001434105735066321
IMPD,0.001404008506009043
PUNP1,0.001390147167863255
ADNK1,0.001360068276846976
ICDHyr,0.001353473651447061
PAI2T,0.001282443979266608
PAI2I,0.001280425279401891
AI2K,0.001278821080230223
PPPGO3,0.001219677121340584
I2FE2SR,0.001112392786630624
I4FE4ST,0.001108325739665664
I2FE2SS2,0.001108062503517519
I2FE2ST,0.001107541982899392
I2FE2SS,0.001107294977761975
I4FE4SR,0.001106569364866525
TRPS3,0.001056134714404192
TRPAS2,0.001024337241405677
ICYSDS,0.001010671613183946
RNTR4c2,0.0009485777557342564
METAT,0.0008738715628862026
POR5,0.0006345783235084853
FUM,0.0005751367741670167
CS,0.0005513038178491631
ACONTb,0.0005372706695729287
ACONTa,0.0005367947442672205
TAGURr,0.0005316552082325249
KDOPS,0.0005296227192389743
ASPCT,0.0005296197313225275
KDOPP,0.0005296183807985043
ASNS2,0.0005296094052256957
DMPPS,0.0005296067396339106
DPCOAK,0.0005295917318136835
IPDPS,0.0005295877832710436
OCTDPS,0.0005295667515252358
DAPE,0.0005295615589867317
ADSS,0.0005295343581556593
DHDPRy,0.0005295280779617066
PNTK,0.0005294946036150676
SDPTA,0.0005294873631929396
HBZOPT,0.000529447485331748
HSST,0.0005294394399250365
FCLT,0.0005293929913419841
PPNDH,0.0005293843356117628
ACODA,0.0005293310688722705
DTMPK,0.0005293220799817679
UAGPT3,0.000529192357792709
DDPA,0.0005291826251482249
PAPPT3,0.000529108543929573
RHCCE,0.0005290993440362193
CTPS2,0.0005290174064908741
UAPGR,0.0005289189601218866
UMPK,0.0005288132215949395
U23GAAT,0.000528733538223195
ADCL,0.0005287002098507828
DDGLK,0.0005286980377120088
UAAGDS,0.0005286163359178669
ADCS,0.0005285799459520436
UAMAS,0.0005284923337327314
UAMAGS,0.0005283615828396499
SDPDS,0.000528319579004382
P5CR,0.0005282241364821082
DHPPDA2,0.0005280800499899142
OPHBDC,0.0005280358996785139
ALTRH,0.0005279511728900502
G5SADs,0.0005279293806198588
SADT2,0.0005278803325577187
GTPCII2,0.0005277176811455886
ASP1DC,0.0005276058384110587
DXPRIi,0.0005275479808437191
UGMDDS,0.0005274356195584371
PTPATi,0.000527371266252566
DBTS,0.0005272588154645219
HPPK2,0.0005271875793697688
UHGADA,0.0005270762435720106
DNMPPA,0.000526996959904341
UAGAAT,0.000526887221734782
ATPPRT,0.0005266920703334788
HISTD,0.0005264908611531666
NNDPR,0.0005263907853597756
DHDPS,0.000526283667528675
GLUR,0.0005261731820583366
G1PACT,0.0005260705642805875
UAGCVT,0.0005259488817261833
GF6PTA,0.0005258505735377955
UAGDP,0.0005257179372559261
IGPDH,0.0005256258730123723
PGAMT,0.0005252392010020509
PRATPP,0.0005251645682060724
MECDPS,0.0005249889222503204
PRMICI,0.0005249231897882498
GLUPRT,0.0005246763765049529
CDPMEK,0.000524472182681862
SERAT,0.0005244242115660136
DXPS,0.0005242031019643855
CYSS,0.000524166779047384
NADS1,0.000523904164970667
BPNT,0.0005236364517927753
KDOCT2,0.0005236184141439746
G1SAT,0.0005233309053372495
DAPDC,0.0005230899754654453
AGPR,0.0005230373915817846
OCBT,0.0005228075956772248
ARGSS,0.0005227379475544188
PHETA1,0.000522239462573794
PPND,0.0005219432198895278
GLUTRR,0.0005217491811185717
NADK,0.0005214268829505976
PRAMPC,0.0005213393020775346
KARA2,0.000521099084366909
TMPK,0.0005210297966978679
KARA1,0.000520765874348531
ACOTA,0.0005207160733278519
PDX5PS,0.0005203982174764363
FMNAT,0.0005200947054110032
PPBNGS,0.0005200763327683543
SULR,0.0005197504959777246
IPPMIa,0.0005194021461047858
PPNCL2,0.0005190927369907555
DHAD1,0.00051904305931543
PRAGSr,0.0005187556465998266
PPCDC,0.0005186791589886428
EDA,0.0005184958444407743
PRFGS,0.0005184149692727086
TMDS,0.000518310555931178
NNATr,0.0005180707962281803
AIRC2,0.0005177232149491413
ADSL2r,0.000517563274938315
AIRC3,0.000516803743117086
IPMD,0.0005164134169451272
MOAT2,0.0005163116394597502
DHQTi,0.000516019139111503
ARGSL,0.0005159487733493376
3OAS140,0.0005157353735661495
3OAR140,0.0005156568783651211
GLU5K,0.00051558322947288
IPPS,0.0005152149194991181
MOHMT,0.0005144703689854606
TMPPP,0.0005144321497887641
TDSK,0.000514021291744851
AHCYSNS,0.0005137449574520254
GLUTRS,0.0005136073296131314
GMPS,0.0005133642224855603
LPADSS,0.0005131904528778644
CHRPL,0.0005129810412880623
PMPK,0.0005125959685743648
IMPC,0.0005123522060376814
ADSK,0.0005118635806356996
USHD,0.0005113480983589339
CYSTL,0.0005111236860518922
UDCPDPS,0.0005109182233886433
SHSL1,0.000510729215012989
MOAT,0.0005104865190773783
UPPDC1,0.000509618328122216
UPP3S,0.0005091821953440909
GTPCI,0.0005088750359803677
GRTT,0.0005087449413957127
DMATT,0.0005083067400301963
UDCPDP,0.0005080970803325881
CYTK1,0.0005076946259628681
LEUTAi,0.000507589162847908
IGPS,0.0005071503662308164
GK1,0.0005068916733877185
CHORS,0.0005067112900398818
CHORM,0.0005062720564330912
ANPRT,0.0005058328318299269
ANS,0.0005053937800836282
DHFS,0.0005053585643095335
PSCVT,0.0005049550623655639
ACLS,0.0005045168370220335
DHAD2,0.0005040792593973654
METS,0.000503733963409273
ACHBS,0.000503642481826137
RBFSa,0.000503206653604012
ORPT,0.0005027719209474769
PRASCSi,0.0005025426374016136
IPPMIb,0.0005023384271282152
SUCDi,0.0005019933326399758
VALTA,0.0005019063124512555
DHPS2,0.0005017384200626433
ILETA,0.0005014754310918637
QULNS,0.0005013355595376909
PMDPHT,0.0005010464929701946
A5PISO,0.0005006193385005564
SHCHD2,0.0005001940974838385
RBFSb,0.0004993498637712683
RBFK,0.0004985146034525063
DNTPPA,0.0004981979287933639
GLNS,0.0004981669936690378
ALATA_L,0.0004979421929806112
DB4PS,0.0004976900788020894
APRAUR,0.0004968861485570185
ACGK,0.0004966449525610372
HMBS,0.0004958834680723179
MEPCT,0.000495506583929236
G5SD,0.0004953130344506181
OMPDC,0.0004949229367566576
HSTPT,0.0004947645090746209
DHORTS,0.0004945363947818479
THDPS,0.0004943961325356469
SHK3Dr,0.0004941535186491826
THRD_L,0.0004940307596114787
DHFR,0.0004936685024468965
PRAIi,0.0004933094726222721
TYRTA,0.000492644297550918
THZPSN3,0.0004923528847725926
SHKK,0.0004922953961595736
TYRL,0.0004919932124259335
OMCDC,0.0004912710225252821
IG3PS,0.0004906111288951699
MTHFR2,0.0004902854725261058
DUTPDP,0.000489647088960819
DHNPA2r,0.0004893653282402015
DPR,0.0004893345624342391
AMAOTr,0.0004890263601306205
ACGS,0.0004878826627929889
BTS5,0.000487840365635952
ALAALAr,0.0004873199550865546
GUI2,0.000486664938172269
SHCHF,0.0004862623926136043
PRAIS,0.0004857629137494369
PANTS,0.0004853263681265264
MECDPDH5,0.0004851116996005734
HISTP,0.0004850968114492052
UPP3MT,0.0004848116911568127
DHQS,0.0004845952665551437
PMEACPE,0.0004844620300476175
DASYN160,0.0004843849279824415
OPMEACPR,0.0004842517898584889
DASYN161,0.0004841807446846692
EGMEACPR,0.0004840481499274098
ADSL1r,0.0004839827841724291
OGMEACPD,0.0004838511413179259
AICART,0.0004837911122012174
AOXSr2,0.0004834774417329533
QMO3,0.0004834212433029923
EPMEACPR,0.0004833007900117495
OPMEACPD,0.0004831310174548094
OPMEACPS,0.000482812230372403
MCTP1App,0.0004827697191948486
OGMEACPR,0.0004826632722970363
OGMEACPS,0.0004825213852771817
MALCOAMT,0.0004821382469156774
AMPMS2,0.0004819403018899753
PSSA161,0.0004818406262105303
PSD160,0.0004817479885944228
PSD161,0.0004816624217958298
AGPAT160,0.0004812921288673234
AGPAT161,0.0004811195269449325
PSSA160,0.0004811066339217012
ALAR,0.0004808818233822958
TRDR,0.0004564313573056399
CBMKr,0.0004497832861153661
PAPSR,0.0004379463176784595
PPA,0.000407086535231596
RNTR3c2,0.000211600522594153
RNTR2c2,0.0002111330308057425
