,Coefficient
4HTHRA,0.00321509729831195
4HTHRK,0.003214884202981791
GARFT,0.002964971280518269
FBA3,0.002764276855896076
PFK_3,0.002720220790939745
GHMT2r,0.00256209274232365
MLTG4,0.002470442152263631
GLYCL,0.002462796897161824
E4PD,0.00238441859262298
PERD,0.00236792910967542
OHPBAT,0.002367308357298622
PFK,0.002356303860686384
FBA,0.002343764200784877
PGM,0.002311834972040349
MTHFC,0.002303433672366522
MTHFD,0.00230305869703696
ENO,0.002299504411631693
GAPD,0.002101526593073705
PGK,0.002055715568451513
POX,0.00182273765505591
G3PD2,0.00165731072226237
G3PAT160,0.001513483710877651
G3PAT161,0.001513090837482532
RPI,0.001411139056983778
IMPD,0.001395760368690407
IDOND2,0.001375790592837957
AI2K,0.001286145577337184
PAI2I,0.001285874083778695
PAI2T,0.001285627727889136
GND,0.001259171233532242
TPI,0.001236245436492769
ADNK1,0.001031717072615293
PUNP1,0.001016060589004154
CBMKr,0.000997712852749589
TRPS3,0.000980459544113583
PPC,0.0009756232437724448
TRPAS2,0.0009403390638117897
DHORD2,0.0008737370566174725
PRPPS,0.0008297551216659484
AMPTASECG,0.0007828289980169793
ALCD2x,0.0007429897726046441
G6PDA,0.0007394382376525557
TRDR,0.0006802612307427923
PAPSR,0.0006349750833132091
METAT,0.0006233207548569826
ACACT2r,0.0006122097577038407
ACACT3r,0.000611841178716183
HACD1,0.0006086834681234615
AACPS3,0.0006081160750972962
HACD2,0.0006078218901845982
5DOAN,0.0006031702474755986
FACOAE160,0.0006015941435090058
HACD3,0.0005948595262067693
ACACT1r,0.0005880693305085204
AACPS7,0.0005839652113570684
PDX5PS,0.0005838329686316085
ACOTA,0.0005838290719035822
PPBNGS,0.0005838275217964562
TMPK,0.0005838156607911346
SULR,0.0005838127978101697
PRAMPC,0.0005837928719354695
PPNCL2,0.0005837549817844541
PPND,0.0005837134709355457
PRAGSr,0.0005837129665077902
PHETA1,0.0005836620100728426
PRFGS,0.0005836619733122076
NNATr,0.0005836020830153653
OCBT,0.0005835352391442948
AIRC2,0.000583533384816071
DAPDC,0.0005834551034933352
BPNT,0.000583269210517623
MOAT2,0.0005831992470002332
NADS1,0.0005831600455885131
ARGSL,0.0005830904022664164
CYSS,0.0005830411428506612
GLU5K,0.0005829732579978175
SERAT,0.0005829125032152079
IPPS,0.0005828479094475832
GLUPRT,0.0005827741403694818
PRMICI,0.0005826260728149936
MOHMT,0.0005825729818957526
PRATPP,0.0005824683257705086
AHCYSNS,0.0005824236254814684
GMPS,0.0005822664139645632
IGPDH,0.0005821261867806817
CHRPL,0.0005821013921043514
G1PACT,0.0005819386098520929
PMPK,0.0005817994149075146
DHDPS,0.0005817426315674308
HISTD,0.0005815371964377529
ATPPRT,0.000581322367869725
ADSK,0.0005812964733690387
UAGAAT,0.0005810982153049539
ECOAH3,0.0005809943772215865
UHGADA,0.0005808648139275822
CYSTL,0.0005807302606367614
DBTS,0.0005806222341750877
SHSL1,0.0005805031362494446
UGMDDS,0.0005803705936718291
ASP1DC,0.0005801099525520736
G5SADs,0.0005798404943055766
DHPPDA2,0.00057956216594295
GTPCI,0.0005793080020139366
P5CR,0.0005792751503711388
UDCPDP,0.0005790412769533682
UAMAGS,0.000578979557264727
UAMAS,0.0005786755001687104
CYTK1,0.0005784963535395072
ECOAH2,0.0005783341327671691
GK1,0.0005781946058978367
UAAGDS,0.0005780202002939346
ECOAH1,0.0005777823160541509
U23GAAT,0.0005776917580323597
RHCCE,0.0005766385875336207
DHFS,0.0005764789507518528
DDPA,0.0005762786427866141
DTMPK,0.0005755464398400737
PPNDH,0.0005751655275515452
METS,0.0005751322938872607
HSST,0.0005747775882711913
SDPTA,0.0005743827674091203
PRASCSi,0.0005741132966631347
DHDPRy,0.0005739812124762877
FACOAE120,0.0005736132873490407
DAPE,0.0005735730729970843
DHPS2,0.000573416491370586
IPDPS,0.0005731585006015752
DMPPS,0.0005727376462424385
KDOPP,0.0005723106708461046
QULNS,0.000572293956150866
KDOPS,0.0005718777254445733
ASPCT,0.0005714389699373246
ASNS2,0.0005709945638061904
DPCOAK,0.0005705446678342076
OCTDPS,0.0005700894439022246
ADSS,0.0005696290546806427
DNTPPA,0.000569171681351302
PNTK,0.0005691636637551123
HBZOPT,0.0005686934356837936
FCLT,0.0005682185351070478
ACGK,0.0005679121290401155
ACODA,0.0005677391274865348
ACOAD7f,0.000567365984569924
HMBS,0.0005670567435909277
MEPCT,0.0005666244968401474
ACOAD3f,0.0005663771065096058
UAGPT3,0.0005662835913187394
HSTPT,0.0005661885848651152
ACOAD2f,0.0005660678390140761
PAPPT3,0.0005657879957485895
THDPS,0.0005657509932139207
THRD_L,0.0005653108423403649
CTPS2,0.0005652887094816946
DHFR,0.0005648492401578978
UAPGR,0.0005647858975661854
PRAIi,0.0005644042389533545
UMPK,0.0005642797250747542
ADCL,0.0005637703579160639
TYRTA,0.0005635488201943693
ADCS,0.000563257957745345
SHKK,0.0005630976812708588
SDPDS,0.0005627426881501116
OMCDC,0.0005612847141431245
OPHBDC,0.0005612177904185272
SADT2,0.0005606929556125326
IG3PS,0.0005603779630755844
GTPCII2,0.000560166043710767
MTHFR2,0.0005599160749145725
DXPRIi,0.0005596372107528373
DUTPDP,0.0005594226781606699
PTPATi,0.0005591066115322136
DPR,0.0005589576822530121
HPPK2,0.0005585743990383441
AMAOTr,0.0005584925980229764
ACOAD1fr,0.0005583371813076302
DNMPPA,0.000558040723957803
ACGS,0.0005566693189862678
ALAALAr,0.0005557346479562129
NNDPR,0.0005547780375067664
SHCHF,0.0005538830912731709
GLUR,0.0005537358151833851
PRAIS,0.0005534165793310748
UAGCVT,0.0005531960411468244
UAGDP,0.0005526563214459396
PANTS,0.0005525272921830884
PGAMT,0.0005521173212308593
HISTP,0.0005516416842812183
MECDPS,0.0005515782379647788
UPP3MT,0.0005511789900897389
CDPMEK,0.0005510397594778287
DHQS,0.000550717305160322
DXPS,0.0005505020894261241
DASYN160,0.0005502567410239441
DASYN161,0.000549797398310588
KDOCT2,0.0005494103069082489
ADSL1r,0.0005489262019091595
G1SAT,0.0005488764555589797
AICART,0.0005484711635066576
AGPR,0.0005483443474073576
ARGSS,0.0005478142479249379
GLUTRR,0.0005455759159755168
NADK,0.0005450606162800599
MCTP1App,0.0005445808684181485
KARA2,0.0005445491378025598
KARA1,0.0005440417892613868
FMNAT,0.0005430501782036809
IPPMIa,0.0005425574138901445
DHAD1,0.0005420692332237906
AMPMS2,0.0005417071841579954
PPCDC,0.0005415865872532113
PSSA161,0.0005412911248908778
TMDS,0.0005411097136848434
PSD160,0.0005408783430986985
PSD161,0.0005404689465763899
ADSL2r,0.0005394307956316048
AIRC3,0.0005385429663356112
AGPAT160,0.0005384903223942152
IPMD,0.0005381082420418395
DHQTi,0.0005376804543192112
PSSA160,0.000537342053725965
AGPAT161,0.0005369235451662341
TMPPP,0.0005368526582146966
TDSK,0.0005364458445822354
GLUTRS,0.0005360462241600906
LPADSS,0.0005356538475844532
IMPC,0.000534501097577952
USHD,0.0005334607523623942
UDCPDPS,0.0005327618874930157
MOAT,0.0005324357435396104
MALCOAMT,0.0005319171233726181
UPPDC1,0.0005318050875642552
UPP3S,0.000531502744518935
GRTT,0.0005312084758046631
OGMEACPS,0.000531084752140787
DMATT,0.0005309223562257792
OGMEACPR,0.0005308201708661835
OPMEACPS,0.0005305622034291974
LEUTAi,0.0005304017101703841
IGPS,0.000530139299876956
CHORS,0.0005298853111971288
OPMEACPD,0.0005298676530372627
CHORM,0.0005296398070619827
EPMEACPR,0.000529636752209482
AOXSr2,0.0005294131986626866
ANPRT,0.0005294028682911288
ANS,0.0005291745171427614
OGMEACPD,0.0005289880272693081
PSCVT,0.0005289546252391375
EGMEACPR,0.0005287863197577535
ACLS,0.0005287436315044075
OPMEACPR,0.0005285920633070167
DHAD2,0.0005285413819486533
PMEACPE,0.0005284050786630928
ACHBS,0.0005282300683659938
MECDPDH5,0.0005280540996798139
RBFSa,0.0005280515542200407
ORPT,0.0005278819209997386
IPPMIb,0.0005277211976787691
VALTA,0.0005275694094554832
ILETA,0.0005274265985218497
BTS5,0.0005273426341617851
PMDPHT,0.0005271784667995741
A5PISO,0.000527062580451781
SHCHD2,0.0005269556975147053
DHNPA2r,0.0005269299050305569
RBFSb,0.0005267689526051246
RBFK,0.0005266181914428163
TYRL,0.0005266181385815498
THZPSN3,0.0005265581069195927
DB4PS,0.0005265041562018142
APRAUR,0.0005264283988674934
SHK3Dr,0.0005263826554396053
G5SD,0.0005263814925598358
DHORTS,0.0005263734437029755
OMPDC,0.0005263730459602523
ALATA_L,0.000525642477763493
ALAR,0.0005085012480885813
ACACT4r,0.0004855469525852282
ECOAH5,0.0004814288485538158
ACACT5r,0.0004791214081059952
PPA,0.0004788601843775836
TKT1,0.0004773249775419411
HACD5,0.0004618184280820786
HACD4,0.0004607241107763024
ACACT7r,0.0004488967709902314
RNTR3c2,0.0004423068191742805
RNTR4c2,0.0004421717535147643
ACOAD5f,0.0004409475216902549
ECOAH4,0.0004403281656495273
ACOAD4f,0.0004396697474090584
ACACT6r,0.0004388851589702975
HACD7,0.0004250340121470615
ECOAH7,0.0004196316994042874
HACD6,0.0004137906006205608
ACOAD6f,0.0004020318071187911
ECOAH6,0.0004008555574454518
CPPPGO,0.0003975901118049862
GLNS,0.0003615527276711515
POR5,0.0003077996280736837
AACPS4,0.0002925117145625091
RNTR1c2,0.0002676973009701656
FACOAE161,0.0002638504009356468
MOX,0.0002562615610921033
OPHHXy,0.0002561580990574016
NADHPO,0.0002555859554640353
CLPNH180pp,0.0002555357837464315
CLPNS180pp,0.0002548868265394347
23PDE7pp,0.0002539055704026871
R5PPpp,0.0002536278729458496
CTECOAI7,0.0002450400970533058
RNTR2c2,0.0002082859727905006
FADRx,0.0001187921723331123
OPHHX3,9.957766642009725e-05
PYK3,8.12351689219462e-05
CBLAT,-0.0003975845756978801
PPA2,-0.0003976275810781904
AACPS5,-0.0003977237118616457
CDAPPA140,-0.0003979480305334217
PPGPPDP,-0.0005718149513191709
GTPDPDP,-0.0005718946314393353
GDPTPDP,-0.0005724298152812383
PAPA120pp,-0.0007288517852969485
PAPA120,-0.0007290050779275983
ALR2,-0.001014496166199346
PAPA181pp,-0.001036143187847263
UACGALPpp,-0.001113698051844463
HXAND,-0.001113857393340606
NTD11,-0.001113891480915919
PUNP5,-0.001114012532101657
XPPT,-0.001114131801349721
NTD6pp,-0.001153882004651737
PAPA140pp,-0.001308670208410392
PAPA140,-0.001308917890561951
GLYCDx,-0.001366495951850658
DHORDfum,-0.001496394861504488
PUNP2,-0.001646147313003537
NADPHQR4,-0.002017853312184604
ICL,-0.002191862672826612
MALS,-0.002194909042107818
ACPPAT161,-0.002499966121893106
APG3PAT160,-0.00249997743223589
APG3PAT161,-0.002499988564422784
ACPPAT160,-0.002500012054528375
MDH3,-0.002522211004562404
PPS,-0.002597343045215752
PAPA181,-0.00263213179096477
EDA,-0.002675200147014897
EDD,-0.002675317512056512
ADPRDP,-0.002730500632746466
NADN,-0.002730604152635293
3NTD4pp,-0.002834081322018774
GCALDD,-0.002853015984464505
GLYCTO2,-0.002853211491840495
TALA,-0.003185546620802131
ALCD19,-0.003851354776071246
GLYK,-0.003851726080984972
GAPP,-0.003851740064073416
GART,-0.00397025238709754
GLUSy,-0.004334502509406793
PPM,-0.004614273923143902
FTHFLi,-0.004950914131343951
R1PK,-0.005563349929277595
R15BPK,-0.005563356183024851
GLYAT,-0.005838997796989641
THRD,-0.005839236604117603
