,Coefficient
4HTHRK,0.003766248506201154
4HTHRA,0.003766044311070172
GARFT,0.003528946642156607
PGI,0.002818269259815785
E4PD,0.002633718578796307
OHPBAT,0.002633613770679421
PERD,0.002627928982742713
GHMT2r,0.002571726737678535
GLYCL,0.00251341406047163
MTHFC,0.002275012773162409
MTHFD,0.002274852172184031
ENO,0.002021041319541203
PGM,0.002019893349082905
GAPD,0.002005933108338479
FBA,0.002004805739837225
PFK,0.0020038331538006
PGK,0.001992942221768252
DHORD2,0.001919259622439184
PPC,0.001710349278062284
G3PD2,0.001589067144994477
G3PAT160,0.001572093975094431
G3PAT161,0.001571984874866072
ADK1,0.001563358483232366
IMPD,0.001554803385528902
PAI2T,0.001525893643449399
PAI2I,0.001525700953671236
AI2K,0.001525621990653302
TPI,0.001436281849988322
TRPS3,0.001305667978067922
TRPAS2,0.001289814254662643
I2FE2SR,0.001255918680458749
I4FE4ST,0.001255698397802834
I2FE2SS2,0.001255690496679421
I4FE4SR,0.001255686999686435
I2FE2ST,0.001255685471872317
I2FE2SS,0.001255683335406959
PAPSR,0.001246456750963081
PUNP1,0.001168185188759794
ADNK1,0.001167507817547315
ICYSDS,0.001147988722850591
TRDR,0.001118026812611496
RNTR2c2,0.001007089479199509
RNTR4c2,0.001007077525425302
PRPPS,0.0009506802474880551
CAT,0.0008970382831835903
3OAS140,0.0008932170753155865
3OAR140,0.0008930984262949812
FADRx,0.0007829403883865393
POR5,0.0007794105823814013
ACKr,0.0007673208304985001
PTAr,0.0007670547981855318
5DOAN,0.0007636805037718861
SUCOAS,0.0007083348567089542
AKGDH,0.0006885614668973323
ICDHyr,0.0006674209275192004
METAT,0.0006551922104610765
NTD4,0.0006247496635085176
GLNS,0.0005851830792431269
ALAR,0.000583623665636522
BPNT,0.0005798202643226816
NADS1,0.0005798199479689257
CYSS,0.0005798163265502152
DAPDC,0.0005798105318505042
SERAT,0.0005798093990052138
OCBT,0.0005798010110514479
GLUPRT,0.0005797991649912525
PRMICI,0.0005797856253014781
PHETA1,0.000579771496881228
PRATPP,0.0005797687817554843
PPND,0.0005797522656741254
IGPDH,0.0005797254987432663
PRAMPC,0.0005797059414471823
GF6PTA,0.0005796988061981255
TMPK,0.0005796769337009615
G1PACT,0.0005796684325195719
ACOTA,0.0005796446932424844
DHDPS,0.0005796351575599913
PDX5PS,0.0005796092338298777
HISTD,0.0005795986114115607
PPBNGS,0.0005795705701951983
ATPPRT,0.0005795588036741197
SULR,0.0005795287184819982
UAGAAT,0.0005795157452307088
UHGADA,0.0005794694482431311
PPNCL2,0.0005794363374570914
DBTS,0.0005794199246738536
PRAGSr,0.0005793850723808309
UGMDDS,0.000579367193197806
