,Coefficient
4HTHRK,0.004103884186384303
4HTHRA,0.004103256932684462
ENO,0.003154184152529301
PGM,0.003147976116451038
GARFT,0.003008500751548513
GAPD,0.002808581589775487
PGK,0.002791039848858069
TPI,0.00275372454463475
OHPBAT,0.002698157546988005
E4PD,0.002693655299548887
PERD,0.002684764125910535
GLYCL,0.002501767378213332
GHMT2r,0.002389372349482354
MTHFC,0.002185730184389903
MTHFD,0.00218546265426009
FADRx2,0.002078343620715208
PYK6,0.001740670254731586
PYK2,0.001734471624055263
PYK4,0.001724858081869016
G3PD2,0.001610616157307629
G3PAT160,0.001519594100524848
G3PAT161,0.001519430142139298
IMPD,0.001437994455387202
PRPPS,0.00142348996750019
GND,0.001361200048618493
TRPS3,0.001340898827105941
PAI2T,0.001338013787235418
PAI2I,0.001337402695513357
AI2K,0.00133690741118032
TKT1,0.001325327743903443
TRPAS2,0.001314719164267636
DHORD2,0.001307347310468825
RPE,0.00130037816332373
RPI,0.001252624519047105
ASPO3,0.001216937558089646
TKT2,0.00117996258435296
PPPGO3,0.001026625986480444
TRDR,0.0009206840209971759
PAPSR,0.0008947656033858882
GNK,0.00081220188865437
PUNP1,0.0006981394855558687
ADNK1,0.0006922376488708317
DHAPT,0.0006704297208782151
I2FE2SR,0.0006307461938682529
I4FE4ST,0.0006296393882521865
I2FE2SS2,0.0006295832132566595
I2FE2ST,0.0006295319730549886
I2FE2SS,0.0006294856730977932
I4FE4SR,0.0006293640086687697
ICYSDS,0.0006173969529133047
3OAS140,0.0005485425589877595
3OAR140,0.0005483684408575152
IGPDH,0.0005378406719294992
GF6PTA,0.000537837164045684
PRATPP,0.0005378325199326507
G1PACT,0.0005378277637261726
PRMICI,0.000537820319927686
DHDPS,0.000537813623550794
GLUPRT,0.0005378028767405454
HISTD,0.0005377941665644609
SERAT,0.000537780208133964
ATPPRT,0.0005377693859919296
CYSS,0.000537752333347865
UAGAAT,0.0005377392767133874
NADS1,0.0005377192754598937
UHGADA,0.0005377038352901771
BPNT,0.0005376810495049343
DBTS,0.0005376630681786821
UGMDDS,0.000537616950753637
DAPDC,0.0005375895110800996
ASP1DC,0.0005375655093096563
OCBT,0.000537536037982008
G5SADs,0.0005375087391405902
DHPPDA2,0.0005374466489457379
PHETA1,0.0005374139746235962
P5CR,0.0005373791808389298
PPND,0.0005373456069150895
UAMAGS,0.0005373064608162175
UAMAS,0.0005372284438116644
PRAMPC,0.000537197498706203
UAAGDS,0.0005371451422380055
TMPK,0.0005371142913551778
U23GAAT,0.0005370565704012722
ACOTA,0.0005370262653719713
PDX5PS,0.000536933351374541
PPBNGS,0.0005368356414244085
RHCCE,0.0005367463683057895
SULR,0.0005367331737068641
DDPA,0.0005366371467242876
PPNCL2,0.0005365143371628235
DTMPK,0.0005364047802806736
PRAGSr,0.0005363979146912472
PPNDH,0.0005362803312096955
PRFGS,0.0005362768997461743
NNATr,0.0005361513387604894
HSST,0.0005361507967640876
AIRC2,0.0005360212695838172
SDPTA,0.0005360162081606037
DHDPRy,0.0005358765984602743
DAPE,0.0005357320026966436
IPDPS,0.000535582457577507
MOAT2,0.0005354487287128923
DMPPS,0.000535428004662846
ARGSL,0.0005352973423059693
KDOPP,0.0005352686780653433
GLU5K,0.0005351418061205429
KDOPS,0.0005351045266899996
IPPS,0.0005349821111220495
ASPCT,0.0005349355931576271
ASNS2,0.0005347619240002043
MOHMT,0.0005346504541794423
DPCOAK,0.0005345835674877903
AHCYSNS,0.0005344785630899921
OCTDPS,0.0005344005743450824
GMPS,0.0005343027628924262
ADSS,0.0005342129963848353
CHRPL,0.0005341230930623906
PNTK,0.0005340208876630548
PMPK,0.0005339395686853796
HBZOPT,0.0005338243043663131
FCLT,0.0005336233041799705
ADSK,0.0005335824289731331
