,Coefficient
4HTHRA,0.004181356968293994
4HTHRK,0.004179933339881784
FADRx2,0.004021482139583881
PGM,0.003719066856021493
ENO,0.003689720786434661
GARFT,0.002754054930554415
PERD,0.002530531482118621
E4PD,0.002528222453936248
OHPBAT,0.002496032928014621
FESR,0.002381167306842391
FESD1s,0.002377534293097559
PYK6,0.002316237363100976
PYK2,0.002294599996451244
PYK4,0.002264271857574305
SUCOAS,0.002153797243171374
GAPD,0.002147318061804852
PGK,0.002139778035119834
PPC,0.002112318850803272
AKGDH,0.002100529998617773
ASPO6,0.001942089938118846
SPODM,0.001773949402002083
ICDHyr,0.001727523254095797
QMO2,0.001697685401170723
G3PAT160,0.001536878813055194
G3PAT161,0.001536771419058881
PPPGO3,0.001512144405354478
IMPD,0.001479749471866567
PRPPS,0.001406752865460571
G3PD2,0.001395581869702742
POR5,0.001331132697579251
AI2K,0.001265068783802306
PAI2I,0.001263643938336779
PAI2T,0.001261922987989114
TRPAS2,0.001229096585802712
TRPS3,0.001209994118717273
TKT2,0.001175117775114206
RNTR3c2,0.001108944546638464
RNTR4c2,0.001108682021472484
EDA,0.000934145818659984
MNNH,0.0009291423408112652
GUI1,0.0009287533423336919
DDGLK,0.000928514627669247
MANAO,0.0009271134850348398
ADNK1,0.0008628756962169803
ACONTb,0.0008510449497208152
ACONTa,0.0008498959252728794
PDH,0.0008445919611990199
SUCDi,0.0008383156078633861
CS,0.0008330102228995479
PUNP1,0.0008306209548116032
FUM,0.0008179850716864424
I4FE4SR,0.0007860361402501551
I2FE2SS,0.0007852653753538821
I2FE2ST,0.0007850081489339824
I2FE2SS2,0.0007844755311905352
I4FE4ST,0.0007842131226545289
I2FE2SR,0.0007805259053791085
NTP10,0.0007663974213719152
ADK4,0.0007655512569015664
ICYSDS,0.0007504324006939431
RPE,0.0007414248035694488
DHORD2,0.0006920729017346961
OPHHXy,0.000671270279724614
CBMKr,0.0006319827022134799
AICART,0.0005225459382383962
ADSL1r,0.0005225385629660528
DASYN161,0.0005225252244961784
DASYN160,0.0005225059060399781
MCTP1App,0.0005224915499043141
DHQS,0.0005224805927287527
UPP3MT,0.0005224492715936641
HISTP,0.0005224092946631764
PANTS,0.0005223661996865914
PRAIS,0.0005222821494376493
AMPMS2,0.0005221678458657623
SHCHF,0.0005221480161308692
PSSA161,0.0005221016329665061
PSD160,0.0005220298787590018
PSD161,0.0005219526252645202
ALAALAr,0.000521819678953867
ACGS,0.0005216199121132096
AGPAT160,0.0005212796453384096
AMAOTr,0.0005211700796007798
DPR,0.0005210378142857119
DUTPDP,0.0005208995947495058
MTHFR2,0.0005206055521477041
PSSA160,0.0005205794413166216
AGPAT161,0.000520431638718679
IG3PS,0.0005203079882436764
OMCDC,0.000519967379194208
SHKK,0.000519416330355857
TYRTA,0.000519221508309307
PRAIi,0.000518839749258564
DHFR,0.0005186289970101857
THRD_L,0.0005184129090240491
THDPS,0.0005181915435733228
HSTPT,0.0005179649611730166
MEPCT,0.0005174974482830456
MALCOAMT,0.0005174419532846799
HMBS,0.0005172555520307654
OGMEACPS,0.0005167787732057586
ACGK,0.0005167570608593754
OGMEACPR,0.0005165506732275785
OPMEACPS,0.0005163191695528806
OPMEACPD,0.0005158461728935738
DNTPPA,0.0005157030134750025
EPMEACPR,0.0005156048849934154
AOXSr2,0.0005153604849456928
OGMEACPD,0.000514862648390672
EGMEACPR,0.0005146093682605789
OPMEACPR,0.0005143532748447576
PMEACPE,0.0005140945513981596
QULNS,0.0005134059864672311
MECDPDH5,0.0005133229623930872
DHPS2,0.0005130984072628287
PRASCSi,0.0005124747331697949
METS,0.000511228376898426
BTS5,0.0005104458749456283
DHFS,0.0005098721607524282
DHNPA2r,0.0005090095613745697
GK1,0.0005078686306526616
CYTK1,0.0005071658114275756
UDCPDP,0.0005068090668519136
TYRL,0.0005067244217519144
THZPSN3,0.000506421703554169
GTPCI,0.0005061011989348685
SHK3Dr,0.0005049468859116286
SHSL1,0.0005047723445443412
DHORTS,0.0005046419376518528
CYSTL,0.0005044079973302722
OMPDC,0.000504336846885091
G5SD,0.0005040316865577493
ADSK,0.0005033678449238939
APRAUR,0.0005028317080334263
PMPK,0.0005026644034535211
CHRPL,0.0005022990331048024
DB4PS,0.0005022304752909663
GMPS,0.0005019336660061602
RBFK,0.0005016241009269455
AHCYSNS,0.0005015686950987115
RBFSb,0.0005010196849302343
MOHMT,0.0005008726630539421
SHCHD2,0.0005004182122844153
IPPS,0.0005001468862499094
A5PISO,0.0005001186839510144
PMDPHT,0.0004998200505778633
GLU5K,0.0004997853155817489
ARGSL,0.0004994248007328513
ILETA,0.0004992283811944338
MOAT2,0.0004990654503525857
ALATA_L,0.000498940654344339
VALTA,0.0004989324450294913
IPPMIb,0.0004986379080995014
ORPT,0.0004983445957938009
RBFSa,0.0004980525727602669
AIRC2,0.0004979934125815281
ACHBS,0.0004977619029802373
NNATr,0.0004976402243662779
DHAD2,0.0004974726500880664
PRFGS,0.0004972888827918535
ACLS,0.0004971848769851764
PRAGSr,0.0004969395171713469
PSCVT,0.0004968986459884517
ANS,0.0004966138619019677
PPNCL2,0.0004965922555066405
ANPRT,0.0004963315539051209
CHORM,0.0004960503186056973
SULR,0.0004959088070780847
CHORS,0.0004957665426992377
PPBNGS,0.0004955685819347156
IGPS,0.000495488881341416
PDX5PS,0.0004952309692882452
LEUTAi,0.0004952087724841799
ACOTA,0.0004948960937239221
DMATT,0.000494755270564389
TMPK,0.0004945640791326305
GRTT,0.0004944844905509782
PRAMPC,0.0004942350479588247
UPP3S,0.0004942158231768275
UPPDC1,0.0004939493216316629
PPND,0.0004935874425780875
MOAT,0.0004934230307335063
PHETA1,0.000493268147396555
UDCPDPS,0.0004931633484868283
USHD,0.0004929060362414742
OCBT,0.0004926507436578544
IMPC,0.0004924190665158237
DAPDC,0.0004923420731877549
BPNT,0.0004917403533256848
LPADSS,0.0004916663414180878
NADS1,0.0004914433195196307
GLUTRS,0.0004914244226927884
TDSK,0.0004911852147517854
CYSS,0.000491150406400319
TMPPP,0.0004909486845608913
SERAT,0.0004908617174904206
GLUPRT,0.0004905773548255044
PRMICI,0.0004902974179945843
DHQTi,0.0004900464089707845
PRATPP,0.0004900220041242914
IPMD,0.0004898240148660382
AIRC3,0.0004896046333412047
IGPDH,0.0004894909259362274
GF6PTA,0.0004892295363992544
ADSL2r,0.0004891814786018113
G1PACT,0.0004889720798782726
TMDS,0.0004887662235370517
DHDPS,0.0004887205484750033
PPCDC,0.0004885625657432309
HISTD,0.0004884740653014371
DHAD1,0.0004883626946343889
ATPPRT,0.0004882327079793883
IPPMIa,0.0004881655823662307
UAGAAT,0.0004879965509971467
FMNAT,0.0004877905843264223
UHGADA,0.0004877656656766807
DBTS,0.0004875400721781364
KARA1,0.0004874290506042232
UGMDDS,0.0004873199789946194
KARA2,0.0004872490190253021
ASP1DC,0.0004871053038329027
NADK,0.0004870724879133422
GLUTRR,0.0004868995144618668
G5SADs,0.0004866899571745348
DHPPDA2,0.0004864920066458191
ARGSS,0.000486372442743793
P5CR,0.0004862997364069624
AGPR,0.0004862144417651155
UAMAGS,0.0004861131196825683
G1SAT,0.0004860601975060232
UAMAS,0.0004859323454473798
KDOCT2,0.0004859097523313117
UAAGDS,0.0004857573773598058
