,Coefficient
DHAPT,0.006469770048210599
4HTHRK,0.003787878653465491
4HTHRA,0.003786719228414125
GARFT,0.003623578358716769
PGK,0.003311362433887577
GAPD,0.003279702428746874
ENO,0.003146457221733996
PGM,0.003116132615940281
TPI,0.003083097186364111
GHMT2r,0.00262685169344913
OHPBAT,0.002550271407037084
PERD,0.002522060519521246
PSERT,0.002520091491882397
PGCD,0.002519486375722141
PSP_L,0.002516389750536395
E4PD,0.002514124124099144
MTHFC,0.002265870455362101
MTHFD,0.002265819367748315
GLYCL,0.002205371575439539
GLYCDx,0.00201374286644923
ADK1,0.001815130526119609
PPC,0.001740454762469156
ACKr,0.001666881139147175
PTAr,0.001666799814910861
RNTR3c2,0.001632836886561819
TRPAS2,0.001539603056173844
TRPS3,0.00153579009710009
IMPD,0.001525744083633188
G3PAT161,0.001513726338374061
G3PAT160,0.001513365946682255
PRPPS,0.001422075398360853
PAI2T,0.001320941937976299
PAI2I,0.001319439638773038
AI2K,0.001318478239396947
PAPSR,0.001317776916547511
TRDR,0.001245597884786177
3OAR140,0.001201519358720652
3OAS140,0.001201198181301029
DHORD2,0.001185480144901529
ICDHyr,0.001035534431126968
FADRx,0.001029505635455962
SUCOAS,0.001000314063898292
HCO3E,0.0009733954911035875
PUNP1,0.000895028983703369
ADNK1,0.000860600380195884
AKGDH,0.0007551691068947817
TKT2,0.0006912396530566343
CPPPGO,0.000607527864488222
CBMKr,0.0005536421530132586
USHD,0.0005359711683444311
LPADSS,0.0005359561527895976
GLUTRS,0.0005359502114787108
IMPC,0.0005359476793278439
UDCPDPS,0.0005359394669686013
TDSK,0.000535937498616729
TMPPP,0.0005359189458792833
MOAT,0.0005359007282897288
DHQTi,0.0005358558920839766
IPMD,0.000535816489158383
UPPDC1,0.0005358031385334513
AIRC3,0.0005357704086774128
UPP3S,0.0005356797009875548
ADSL2r,0.0005356526660818644
GRTT,0.0005356071426074549
DMATT,0.000535527808883021
TMDS,0.0005355143731951475
PPCDC,0.0005354354267806022
LEUTAi,0.0005353610565833598
DHAD1,0.0005353499902075957
IPPMIa,0.0005352581031424265
IGPS,0.0005352555396012689
FMNAT,0.0005351598925215881
CHORS,0.0005351504743872147
CHORM,0.000535030584837976
KARA1,0.0005349390147428836
ANPRT,0.0005349120541115433
KARA2,0.0005348219634673021
ANS,0.0005347869138671005
NADK,0.0005346986927806467
PSCVT,0.0005346551969798896
GLUTRR,0.0005345692412044058
ACLS,0.0005345169386324111
ARGSS,0.0005344336749076393
DHAD2,0.0005343721763515105
AGPR,0.0005342920449212035
ACHBS,0.0005342208267240664
G1SAT,0.0005341444085547451
RBFSa,0.0005340631794001086
KDOCT2,0.0005339908250583076
ORPT,0.0005338991545803283
DXPS,0.0005338313496155945
IPPMIb,0.0005337287989980121
CDPMEK,0.000533666056182847
VALTA,0.0005335521617332948
MECDPS,0.0005334950059750161
ILETA,0.0005333678650156863
PGAMT,0.000533318271817419
UAGDP,0.0005331334130146742
PMDPHT,0.0005329792793359908
UAGCVT,0.0005329453975405396
A5PISO,0.0005327781815374834
GLUR,0.0005327519035092172
SHCHD2,0.0005325710842425948
NNDPR,0.000532368269224661
RBFSb,0.0005321391448670516
DNMPPA,0.0005317465549440408
RBFK,0.0005316838706108871
HPPK2,0.0005315226279035922
PTPATi,0.0005312937641337365
DB4PS,0.0005312054904946431
DXPRIi,0.0005310600417228437
GTPCII2,0.0005308215712998514
APRAUR,0.0005307118704612317
SADT2,0.0005305784213520305
OPHBDC,0.0005303306842638569
G5SD,0.0005299502374270157
OMPDC,0.0005296771368885516
SDPDS,0.0005295786338091975
DHORTS,0.0005293990181460431
ADCS,0.0005293139196952758
SHK3Dr,0.0005291159730745503
ADCL,0.0005290451048651813
UMPK,0.0005285684824427431
UAPGR,0.0005282887644419907
CTPS2,0.000528005340384982
PAPPT3,0.0005277183192342424
THZPSN3,0.000527682332455312
UAGPT3,0.0005274278114855328
TYRL,0.0005273725508848938
ACODA,0.0005265149645750049
ALATA_L,0.0005262632266993084
FCLT,0.0005262109388223433
HBZOPT,0.0005259040040351506
DHNPA2r,0.0005258222055983211
PNTK,0.0005255942915020641
ADSS,0.0005252818980680155
OCTDPS,0.0005249669402173693
BTS5,0.0005248348399947859
DPCOAK,0.0005246495553765362
ASNS2,0.0005243298361998318
ASPCT,0.0005240079052495576
KDOPS,0.0005236838756046204
KDOPP,0.0005233578593657197
MECDPDH5,0.0005231495221487393
DMPPS,0.0005230299058452925
IPDPS,0.0005227003078271659
DAPE,0.0005223689883823473
PMEACPE,0.0005220760719122968
DHDPRy,0.0005220361138180123
OPMEACPR,0.0005217114920255695
SDPTA,0.0005217017868836492
HSST,0.0005213661080704908
EGMEACPR,0.0005213446394001005
PPNDH,0.0005210291755248818
OGMEACPD,0.0005209757742155441
DTMPK,0.0005206910460546511
AOXSr2,0.0005202323909059431
DDPA,0.0005200212474268531
EPMEACPR,0.0005198582960089706
RHCCE,0.0005196801702402061
OPMEACPD,0.0005194828596217591
U23GAAT,0.0005193337118130101
UAAGDS,0.0005189910831310155
OPMEACPS,0.0005187280329588233
UAMAS,0.0005186478223776254
OGMEACPR,0.0005183490614353108
UAMAGS,0.0005183040109686324
OGMEACPS,0.0005179692295382758
P5CR,0.0005179597289932863
DHPPDA2,0.0005176149472598482
G5SADs,0.00051726996063751
MALCOAMT,0.0005168262532297106
ASP1DC,0.0005163265518033774
UGMDDS,0.0005159814378689087
DBTS,0.0005156363708153497
UHGADA,0.0005152914439782889
UAGAAT,0.0005149467222367716
ATPPRT,0.0005146022914427282
HISTD,0.0005142582339497181
DHDPS,0.000513914633723091
G1PACT,0.0005135715764847487
GF6PTA,0.0005132268916098378
AGPAT161,0.0005130406808910885
IGPDH,0.000512885204899217
PSSA160,0.0005126647723830429
PRATPP,0.0005122113119556173
PRMICI,0.0005118723181039397
GLUPRT,0.0005115344219983452
SERAT,0.0005111977233439241
AGPAT160,0.0005109265366178667
CYSS,0.0005108623237460686
NADS1,0.0005105283280195624
BPNT,0.000510195837174939
DAPDC,0.0005095388395259854
OCBT,0.0005092115060188953
PSD161,0.0005091405693283901
PSD160,0.0005087887926217178
PHETA1,0.0005085772815325389
PSSA161,0.0005084399906851338
PPND,0.0005082559774903596
AMPMS2,0.0005080942962137184
PRAMPC,0.0005076178420109664
TMPK,0.0005073036401328324
ACOTA,0.0005069918988415517
PDX5PS,0.0005066830378075274
PPBNGS,0.0005063770167120529
MCTP1App,0.0005061495796151193
SULR,0.0005060739479722216
PPNCL2,0.000505481019397679
PRAGSr,0.0005051874306666444
PRFGS,0.0005048972381358977
NNATr,0.0005046105517007326
AICART,0.0005043109767781816
AIRC2,0.0005040539058612226
ADSL1r,0.000504015762571612
DASYN161,0.0005034424840262593
MOAT2,0.0005032405791456829
DASYN160,0.0005031615534545801
ARGSL,0.0005029778139151695
DHQS,0.0005028856165541751
GLU5K,0.0005027184379432394
UPP3MT,0.0005026147650213245
IPPS,0.000502463391350332
GLUDy,0.0005024362057259175
HISTP,0.0005023490701469946
PANTS,0.0005020871916458827
MOHMT,0.0005019666735495697
PRAIS,0.0005018321125046922
AHCYSNS,0.0005014971031174815
SHCHF,0.0005013810235913299
GMPS,0.0005012649732171575
CHRPL,0.0005010375349918831
PMPK,0.0005008153240112966
ALAALAr,0.0005004701477123796
ADSK,0.0005003908518280431
CYSTL,0.0005001838827679635
