,Coefficient
GARFT,0.003951204182511738
4HTHRK,0.003438235396578757
4HTHRA,0.003437602064629574
SUCOAS,0.002679284767171941
AKGDH,0.002567356200945924
POR5,0.002324138284977357
ICDHyr,0.00199355708503006
OHPBAT,0.001980653042642577
PERD,0.001960729990867513
E4PD,0.001944116719342291
RPE,0.001904847208597316
TKT2,0.001798916899487797
ADK1,0.001738798700555351
G3PD2,0.001670928593208737
IMPD,0.001631301457776471
G3PAT161,0.001628039173435111
G3PAT160,0.001627527912169809
PAI2T,0.00137723123317209
PAI2I,0.001376393938115937
AI2K,0.001375852467259131
F6PA,0.001087796350735733
ALKP,0.001082052245656368
NADPPPS,0.0009901077290888174
PUNP1,0.0009892503438228503
HXPRT,0.0009566101890305255
ADNK1,0.0009560035781582973
I4FE4ST,0.0009332268428717127
I2FE2SS2,0.0009330171707330722
I2FE2SS,0.0009323333616579186
I4FE4SR,0.0009315918107738376
I2FE2ST,0.0009261916825463334
ICYSDS,0.0008897978030551879
I2FE2SR,0.0008455794579479577
3OAR140,0.0008296385488438798
3OAS140,0.0008291413524735657
TRDR,0.0008210197903133513
PPPGO3,0.0007824133114352068
CBMKr,0.000740016594951947
MOX,0.0007354981854035677
NADHPO,0.0007334382786745903
OPHHXy,0.0007318445144025617
LPLIPAL2G181,0.0007162400491778066
TRPAS2,0.0007064124448979396
TRPS3,0.0006776762498235393
PAPSR,0.0006573255066188032
FESD1s,0.0006558459816461565
FESR,0.0006538932934624901
CPPPGO,0.0006427725092012788
RBFK,0.0006396992523342752
RBFSb,0.0006396967457109786
DB4PS,0.0006396685120246327
SHCHD2,0.0006396621927602141
APRAUR,0.0006396045285698799
A5PISO,0.0006395964780390918
PMDPHT,0.0006395512856769877
G5SD,0.0006394516133198111
ILETA,0.0006394495251842201
VALTA,0.0006393820672034612
OMPDC,0.0006393764379997635
IPPMIb,0.0006393054097912074
DHORTS,0.0006392931653792233
DHORD2,0.0006392680201541301
ORPT,0.000639221043307308
SHK3Dr,0.0006392018051456384
RBFSa,0.0006391289259889402
ACHBS,0.0006390290985685597
DHAD2,0.0006389216040851573
ACLS,0.0006388064875818201
PSCVT,0.000638683796200145
THZPSN3,0.0006386494476968967
ANS,0.000638553579114898
TYRL,0.00063851083683874
ANPRT,0.0006384158874921581
CHORM,0.000638270774462284
CHORS,0.0006381182950327865
IGPS,0.0006379585061480096
LEUTAi,0.0006377914665546385
DHNPA2r,0.0006375769861416132
ALATA_L,0.0006374938949991797
DMATT,0.0006374444069487186
GRTT,0.0006372560857820738
UPP3S,0.0006370607638782404
UPPDC1,0.0006368585088172829
MOAT,0.0006364334791132282
UDCPDPS,0.0006362108473965327
USHD,0.0006357457564735146
IMPC,0.0006355020406759971
LPADSS,0.0006346127327381593
GLUTRS,0.0006343394769993974
MECDPDH5,0.000634114171210905
TDSK,0.0006340601790631485
TMPPP,0.0006337749902673452
DHQTi,0.0006328837747123833
IPMD,0.000632575670317387
AIRC3,0.0006322616800846947
ADSL2r,0.0006316159723263085
GAL1PPpp,0.0006315458627334464
TMDS,0.0006309508617801965
PPCDC,0.0006306114321359397
DHAD1,0.000630267109667998
IPPMIa,0.0006299179949333007
FMNAT,0.0006291780911842226
KARA1,0.0006284465613913067
KARA2,0.0006280753109818454
NADK,0.000627695275294784
GLUTRR,0.000627315560734719
ARGSS,0.0006257691380609853
AGPR,0.000625369737788929
G1SAT,0.0006249668344789809
KDOCT2,0.0006245605251022665
DXPS,0.0006237423011771792
CDPMEK,0.0006233260123072921
MECDPS,0.0006229066923393215
PGAMT,0.0006224844352615833
UAGDP,0.0006220593339013397
UAGCVT,0.0006216314807994562
GLUR,0.0006212009678443301
NNDPR,0.0006207675172906309
AGPAT161,0.0006202374620487148
PSSA160,0.0006197398306158235
DNMPPA,0.000618578837776263
HPPK2,0.0006181312218828187
PTPATi,0.0006176816641248508
DXPRIi,0.0006172302560526704
AGPAT160,0.000616805402936046
GTPCII2,0.0006167770901258835
SADT2,0.0006163208128055839
OPHBDC,0.000615865854393681
SDPDS,0.0006149852652967423
ADCS,0.0006145249300349269
ADCL,0.0006140633948668563
PSD161,0.0006132720571971512
UMPK,0.0006131449909172181
PSD160,0.0006127499802949654
UAPGR,0.0006126803718069616
PSSA161,0.0006122273492806512
CTPS2,0.0006122149389118033
PAPPT3,0.0006117485858400869
AMPMS2,0.0006117043904149244
UAGPT3,0.0006112818264743083
NDPK4,0.0006085657608266765
MCTP1App,0.0006081629392139645
ACODA,0.0006080970680306389
FCLT,0.0006076285871781567
HBZOPT,0.0006071604314270462
PNTK,0.0006066927122000733
ADSS,0.000606224945955734
OCTDPS,0.0006057590404664481
AICART,0.0006056176418519997
ALAR,0.0006054563702656576
DPCOAK,0.0006052933185332834
ADSL1r,0.0006051075884969686
ASNS2,0.0006048284937674132
ASPCT,0.0006043646835032075
DASYN161,0.000604108903654823
KDOPS,0.000603902005481988
DASYN160,0.0006036058281681285
KDOPP,0.0006034405780955072
DHQS,0.0006031052712977245
DMPPS,0.0006029805196716919
UPP3MT,0.000602607401081249
IPDPS,0.0006025219514609313
HISTP,0.0006021123031480391
DAPE,0.0006020649914648089
DHDPRy,0.0006016097604504498
SDPTA,0.0006011563788620765
PANTS,0.0006011457824552749
HSST,0.0006007038050312542
PPNDH,0.0006002556466723559
PRAIS,0.0006001898470419565
DTMPK,0.0005998085377482924
SHCHF,0.0005992795888459377
DDPA,0.0005984930708740234
RHCCE,0.0005976565255664638
ALAALAr,0.0005974226503360003
U23GAAT,0.000596769002970805
ACGS,0.0005965094626612116
UAAGDS,0.0005963432422618758
UAMAS,0.000595506451464197
UAMAGS,0.0005950904192216789
P5CR,0.0005946780208459213
DPR,0.0005943152983084426
DHPPDA2,0.0005942693732705757
DUTPDP,0.0005938870586188184
G5SADs,0.0005938645925933268
MTHFR2,0.0005930424959671091
ASP1DC,0.0005930423366629253
UGMDDS,0.0005926498004975335
IG3PS,0.0005922815338609771
UHGADA,0.0005918775542939286
UAGAAT,0.0005914983445084212
OMCDC,0.000591497705797087
ATPPRT,0.000591123796429903
