,Coefficient
GARFT,0.00407036583034156
DHORD2,0.003297474754578174
PDH,0.001949820535308659
PPPGO3,0.001934144714129798
RPE,0.001776044665213754
G3PD2,0.001745383555612319
IMPD,0.00163162307671257
G3PAT160,0.00162530446978609
G3PAT161,0.001625146666184548
TRDR,0.001616945937405231
OHPBAT,0.001579632674871776
PRPPS,0.00156132626163825
E4PD,0.001555644467086015
PERD,0.001542020377238124
TKT2,0.001497098018929538
ACKr,0.001495343372880552
PTAr,0.001495157042467665
PAPSR,0.001456928834145559
ME1,0.001231619494274149
AKGDH,0.001223215066398632
PAI2T,0.001209666073114741
PAI2I,0.001207751417447941
AI2K,0.001206874930664987
4HTHRK,0.001089871132920522
4HTHRA,0.001088234859437671
PDX5PO2,0.001063768791989793
SUCOAS,0.001026965978033259
ICDHyr,0.0009212653589867775
PUNP1,0.0007749358077573916
ADNK1,0.0007500410164653735
TRPS3,0.0007433309335046906
I4FE4ST,0.0007189967006605144
I2FE2SS2,0.0007187597759768747
I2FE2SS,0.000718071472064694
I4FE4SR,0.0007174480661268335
I2FE2ST,0.0007123197567592497
ADK1,0.0007102329078989048
ICYSDS,0.0007090844800007135
TRPAS2,0.0006993050285911768
METAT,0.0006877334744433139
U23GAAT,0.0006751467297379286
DDPA,0.0006751433169675535
UAAGDS,0.0006751171234106437
UAMAS,0.0006750790369574466
DTMPK,0.0006750528901234776
UAMAGS,0.0006750324879567711
PPNDH,0.0006750067360801994
P5CR,0.0006749774963650984
HSST,0.0006749509754407505
DHPPDA2,0.0006749140845068972
SDPTA,0.0006748888873400751
G5SADs,0.0006748422770438208
DHDPRy,0.0006748172131052241
RHCCE,0.0006747810610398803
DAPE,0.0006747370567478061
ASP1DC,0.0006746780852935804
IPDPS,0.0006746484347183022
UGMDDS,0.0006745814643954125
DMPPS,0.0006745513658107023
KDOPP,0.0006744458719590954
UHGADA,0.0006743633888021604
KDOPS,0.0006743319766046925
UAGAAT,0.0006742420499818765
ASPCT,0.0006742097063510063
ATPPRT,0.0006741125508254677
ASNS2,0.0006740790901416454
HISTD,0.0006739749341595114
DPCOAK,0.0006739401593463001
DHDPS,0.0006738292449957981
OCTDPS,0.0006737929480508362
G1PACT,0.0006736755305231645
ADSS,0.0006736369319319845
GF6PTA,0.0006735125398744785
PNTK,0.0006734738315639314
IGPDH,0.000673342897399217
HBZOPT,0.0006733020068056253
FCLT,0.0006731220618214292
PRATPP,0.0006729848577915334
ACODA,0.0006729340431960788
PRMICI,0.0006727919298985555
NDPK4,0.0006727379994681704
GLUPRT,0.0006725909287185986
SERAT,0.0006723816836420714
CYSS,0.0006721658466448178
NADS1,0.0006719438582763856
BPNT,0.0006717117178352721
UAGPT3,0.0006716551415063254
PAPPT3,0.000671412428247171
DAPDC,0.0006712311180859183
CTPS2,0.0006711620947528014
OCBT,0.0006709785081852813
UAPGR,0.000670904209006155
UMPK,0.0006706388412045871
PHETA1,0.0006704629974679043
ADCL,0.0006703660638431009
PPND,0.0006701894017621227
ADCS,0.0006700859520588916
SDPDS,0.0006697985830404212
PRAMPC,0.000669626187304803
TMPK,0.0006693320291039089
OPHBDC,0.0006692099648116601
ACOTA,0.0006690312043731038
SADT2,0.0006689001753618064
PDX5PS,0.000668723800209307
GTPCII2,0.0006685861692810014
PPBNGS,0.0006684099065500645
DXPRIi,0.0006682639672988458
