,Coefficient
GARFT,0.004516738291255471
F6PA,0.003628858372908996
DHAPT,0.003627597750306552
4HTHRK,0.002995221498983998
4HTHRA,0.00299409733304836
PYK3,0.002866964064287324
GHMT2r,0.002741444913552262
MTHFC,0.002348135051207944
MTHFD,0.00234778918215586
ENO,0.002137578343433193
PGM,0.002120332385547261
OHPBAT,0.001991837700036163
E4PD,0.001973770731228668
PERD,0.001964475889547935
GAPD,0.001877960065542317
PGK,0.001864730879465253
TPI,0.001823457101852522
G3PD2,0.001670938450760759
G3PAT160,0.001568571171878662
G3PAT161,0.001568389904532764
IMPD,0.00156583240099478
PAI2T,0.001561879345451979
PAI2I,0.001560785454681949
AI2K,0.001559843413061867
DHORD2,0.001530605263377995
PRPPS,0.001499022746388353
PYK6,0.001350131467926647
PYK2,0.001326494743273203
PGMT,0.001307712125244404
PYK4,0.001291809178373667
TRDR,0.001175674639262337
TRPS3,0.001155761129587959
TRPAS2,0.001115664212315851
PAPSR,0.001098550612442691
ADK3,0.001092501335459464
PUNP1,0.0009133182308694704
ADNK1,0.0008944843900294265
5DOAN,0.0007936348110530914
METAT,0.0006792630770029529
FADRx,0.0006350969148604319
RNTR4c2,0.0006332698863177455
DTMPK,0.0005991435369244414
PPNDH,0.0005991400844127678
DDPA,0.0005991324908138777
HSST,0.0005991294084404778
SDPTA,0.0005991114382017029
RHCCE,0.0005990923780573036
DHDPRy,0.0005990861046278052
DAPE,0.0005990533402852811
IPDPS,0.0005990130791827307
DMPPS,0.0005989652586600686
U23GAAT,0.0005989277030930573
KDOPP,0.000598909809046961
UAAGDS,0.0005988734445580584
KDOPS,0.0005988466730399581
UAMAS,0.0005988127230889024
ASPCT,0.0005987757856741646
UAMAGS,0.0005987456278974764
ASNS2,0.0005986970835746388
P5CR,0.0005986722491140337
DPCOAK,0.000598610502467896
DHPPDA2,0.0005985926774234231
OCTDPS,0.0005985159770152019
G5SADs,0.0005985070029618914
ASP1DC,0.000598415315916641
ADSS,0.0005984134386976526
UGMDDS,0.0005983177047263612
PNTK,0.0005983028187060775
DBTS,0.0005982142535763223
HBZOPT,0.0005981840445338675
UHGADA,0.0005981050551512564
FCLT,0.0005980570417289169
UAGAAT,0.0005979901832105903
ACODA,0.0005979217340432984
ATPPRT,0.00059786971933605
HISTD,0.000597743739172957
DHDPS,0.0005976123150425401
G1PACT,0.0005974755159692447
GF6PTA,0.0005973334078134211
UAGPT3,0.0005973130418714005
IGPDH,0.0005971860534965
PAPPT3,0.0005971366238149765
CTPS2,0.0005969515059636924
PRATPP,0.0005968796762186486
UAPGR,0.000596757654748749
PRMICI,0.0005967170394202225
UMPK,0.0005965550572599827
GLUPRT,0.0005965493840923515
SERAT,0.0005963767634582846
CYSS,0.0005961992298225482
ADCL,0.0005961359893480237
NADS1,0.000596016833022524
ADCS,0.0005959081518300428
BPNT,0.0005958296298654817
SDPDS,0.0005956717954900687
DAPDC,0.00059544366132984
OCBT,0.0005952424380867644
GLNS,0.0005950451997478488
OPHBDC,0.0005949228612641292
PHETA1,0.0005948332859525067
SADT2,0.0005946545636200991
PPND,0.0005946186388980894
GTPCII2,0.0005943787119279425
PRAMPC,0.0005941800841694532
DXPRIi,0.0005940955544740824
TMPK,0.0005939522399469408
PTPATi,0.0005938053390282968
ACOTA,0.0005937201126545317
HPPK2,0.0005935083041986483
PDX5PS,0.0005934837600634185
PPBNGS,0.0005932432424797345
DNMPPA,0.0005932046698290483
SULR,0.0005929986199858561
PPNCL2,0.0005924998312167215
PRAGSr,0.0005922433291950068
PRFGS,0.0005919829814838423
NNATr,0.0005917188549628949
AIRC2,0.0005914510253374332
NNDPR,0.0005912516066410182
GLUR,0.0005909069782343246
MOAT2,0.0005906248178147117
UAGCVT,0.0005905565634172022
ARGSL,0.00059034299489319
UAGDP,0.0005902003985535075
GLU5K,0.0005900578347350946
PGAMT,0.0005898386119860114
IPPS,0.0005897694146327164
MECDPS,0.000589471091136666
MOHMT,0.0005891831085691706
CDPMEK,0.000589097989028082
AHCYSNS,0.0005888847027996608
DXPS,0.0005887193907158624
GMPS,0.0005885840236855839
CHRPL,0.0005879808300652558
KDOCT2,0.0005879438751138702
PMPK,0.0005876717417963513
G1SAT,0.0005875498326001723
AGPR,0.000587150750513176
ADSK,0.0005867517136235911
ARGSS,0.0005867467592311531
CYSTL,0.0005858267809049764
SHSL1,0.000585502233504461
GLUTRR,0.0005850815114872457
NADK,0.0005846561670014496
KARA2,0.0005842267109986463
ICYSDS,0.0005840782699490078
KARA1,0.0005837932743211138
GTPCI,0.0005832273462448264
FMNAT,0.0005829262481392818
UDCPDP,0.000582888215342066
I2FE2SR,0.0005825841551587067
CYTK1,0.0005825485205212751
IPPMIa,0.0005824825721644434
GK1,0.0005822075212244136
DHAD1,0.0005820345219530269
PPCDC,0.0005815831866782489
TMDS,0.00058112856266425
I4FE4ST,0.0005804938596632875
I2FE2SS2,0.0005803747063471028
I2FE2ST,0.0005802625081454196
ADSL2r,0.0005802188554782613
I2FE2SS,0.0005801572466703046
I4FE4SR,0.0005798733724127463
DHFS,0.0005798582404762442
AIRC3,0.0005792971971174221
IPMD,0.0005788284178979803
DHQTi,0.0005783572072354746
METS,0.0005781230642731044
TMPPP,0.0005774170447082782
PRASCSi,0.0005770927641603063
TDSK,0.0005769395308757174
GLUTRS,0.0005764602008827744
DHPS2,0.0005764055810206417
LPADSS,0.0005759792234234323
QULNS,0.000575368076152118
IMPC,0.0005745341905476845
USHD,0.0005735721905722821
UDCPDPS,0.0005725999005122908
MOAT,0.0005721133615833929
DNTPPA,0.0005719662906212386
UPPDC1,0.0005706627797605547
ACGK,0.0005703208815721283
UPP3S,0.0005701784270631174
GRTT,0.0005696953211678172
HMBS,0.00056967768390824
MEPCT,0.0005693601156562911
DMATT,0.0005692137454950067
HSTPT,0.0005687411381204891
THDPS,0.0005684307850411655
LEUTAi,0.0005682709827814743
THRD_L,0.0005681224480352333
DHFR,0.0005675131730989365
IGPS,0.0005673299587448867
PRAIi,0.0005672094043339278
CHORS,0.0005668602143640751
TYRTA,0.0005666228821142776
SHKK,0.0005663217329858939
CHORM,0.0005659379140330005
ANPRT,0.0005654788719408657
OMCDC,0.0005654199841512497
ANS,0.0005650240562164352
IG3PS,0.0005648214873876928
PSCVT,0.0005645737591431536
MTHFR2,0.0005642578301488828
