,Coefficient
NDPK4,0.007057046894512795
GARFT,0.003607442106883756
4HTHRA,0.003383832093198985
4HTHRK,0.003383737281554077
GLYCL,0.003233006672345488
DHAPT,0.002564148761261195
F6PA,0.002562379531886285
GHMT2r,0.002551201927782604
ENO,0.00246651997627381
PGM,0.002462579286910513
PGK,0.002305163351399879
MTHFD,0.002285991288786443
MTHFC,0.002285716134449749
GAPD,0.002274732304348779
PERD,0.002239136882849799
OHPBAT,0.002234972467195507
E4PD,0.002226132354881519
PAI2I,0.001886596036861524
AI2K,0.001886591910993572
PAI2T,0.001886520686363664
G3PD2,0.00162408938234921
IMPD,0.00156195540736355
TPI,0.001517813059236833
PRPPS,0.001454973666736036
G3PAT161,0.001444671236750403
G3PAT160,0.001444394998770199
PPC,0.001393908577378315
FBA,0.001362858300125213
PFK,0.001359015927348421
NADH10,0.001291958899758032
POR5,0.00111393202523614
RNTR4c2,0.001111669438305286
MAN6PI,0.0009394668611865715
PUNP1,0.0009315000931337774
ADNK1,0.0009253733479723672
ADK3,0.0009077476743699687
TRPAS2,0.0008974689585311721
TRPS3,0.0008680065402599132
PAPSR,0.0008180191321860557
DHORD2,0.0007886722028255122
TRDR,0.0007527205140778063
ICDHyr,0.0007115923861905437
CBMKr,0.0006442153945699712
ALAR,0.0006394213111880054
3OAR140,0.0006341329349684006
3OAS140,0.0006338646108008873
SUCOAS,0.0006180096139691988
CPPPGO,0.0006088231115200129
ALATA_L,0.000586135017735116
DHNPA2r,0.000583096669111182
TYRL,0.0005830683411110075
THZPSN3,0.0005830458415770336
BTS5,0.0005830376828687811
SHK3Dr,0.0005828538827184185
MECDPDH5,0.0005828354810927511
DHORTS,0.0005827954706866338
OMPDC,0.0005827309773232498
PMEACPE,0.0005827059222564947
G5SD,0.0005826604437099045
OPMEACPR,0.0005826318987920986
EGMEACPR,0.0005825517239203919
OGMEACPD,0.0005824653918816438
APRAUR,0.0005823250212924269
AOXSr2,0.000582274486052727
EPMEACPR,0.0005821698902839881
DB4PS,0.0005821226344052278
OPMEACPD,0.0005820592524043224
RBFK,0.0005818947442319015
OPMEACPS,0.0005818199889096304
OGMEACPR,0.000581691415877105
RBFSb,0.0005816435917212048
OGMEACPS,0.0005815569735409451
SHCHD2,0.0005813700706262831
A5PISO,0.0005812250431454757
MALCOAMT,0.0005811188048046208
PMDPHT,0.0005810745569834462
ILETA,0.0005807663188510868
VALTA,0.0005805994402761745
IPPMIb,0.0005804276271573031
ORPT,0.0005802506034251372
RBFSa,0.0005800684211039756
ACHBS,0.0005798811406489976
DHAD2,0.0005795436415924534
ACLS,0.0005793425667644255
PSCVT,0.0005791366197396255
ANS,0.0005789258854332379
ANPRT,0.0005787104348258151
CHORM,0.0005784903304790484
CHORS,0.0005781862201654893
IGPS,0.0005779637421192042
AGPAT161,0.0005778013269148532
LEUTAi,0.0005776842651906758
PSSA160,0.0005775535532673553
DMATT,0.0005772990936971337
GRTT,0.0005770719931725199
UPP3S,0.0005768353819155359
UPPDC1,0.0005765902866307628
AGPAT160,0.0005762591100410644
MOAT,0.0005756932714904687
UDCPDPS,0.0005754189291306294
PSD161,0.0005748600412212634
USHD,0.0005748558912669166
PSD160,0.0005745668390068516
PSSA161,0.0005742699552758715
IMPC,0.0005739838703867761
AMPMS2,0.0005739695003411255
LPADSS,0.0005730901675548116
GLUTRS,0.0005727858026810502
TDSK,0.0005724787009127426
TMPPP,0.0005721688617539311
MCTP1App,0.000571846893317482
DHQTi,0.0005715525159870281
IPMD,0.0005712344858493898
AIRC3,0.0005709138224059487
ADSL2r,0.0005702670323421464
TMDS,0.0005696163062095208
AICART,0.0005692943498631372
PPCDC,0.0005692834656482149
ADSL1r,0.000568950737056573
DHAD1,0.0005689487449198381
IPPMIa,0.0005686120028740978
DASYN161,0.0005686050594438565
