,Coefficient
PFK_3,0.003919298412365022
FBA3,0.003898129547527867
4HTHRK,0.003582209872707799
4HTHRA,0.003581298431531449
GARFT,0.003569253907976684
GLYCL,0.003483233582857008
ENO,0.00259373491754144
PGM,0.002571827795509805
GHMT2r,0.002450596524434545
PGK,0.002355253182514743
GAPD,0.002334161036364236
OHPBAT,0.002303516084816945
PERD,0.002283185642034996
E4PD,0.002278396580044325
FBA,0.002242655955965146
PFK,0.00222110711070648
MTHFC,0.002130884906185348
MTHFD,0.0021308363262573
GND,0.002045557608802162
TKT1,0.001969831254962977
MOX,0.001964159984520662
NADHPO,0.001964054724354453
OPHHXy,0.00196338482093354
ACKr,0.001870045368489523
PTAr,0.001869850320975804
RPE,0.001836148446323015
RPI,0.001668219175845195
PAI2T,0.001597384598275022
PAI2I,0.00159645206542239
AI2K,0.001595842751570869
TPI,0.001571763517854493
G3PD2,0.00156259641599977
G3PAT161,0.00152081022222979
G3PAT160,0.001520590754138996
IMPD,0.001517865498621378
PRPPS,0.001491162961117957
TRPAS2,0.001280255373315711
TRPS3,0.001277788069197432
TKT2,0.001202181065417586
PUNP1,0.001048099413835828
M1PD,0.001034076938438435
ADNK1,0.001023887673197615
DHORD2,0.0009420073203633941
HEX1,0.0008581761132229846
PAPSR,0.0008515818765195047
RNTR4c2,0.0008230588461132132
RNTR3c2,0.0008228431549182778
TRDR,0.0008186160730422259
PPC,0.000806150531215232
I2FE2SR,0.0007545075731272764
I4FE4ST,0.0007526975749703118
I2FE2SS2,0.0007524973332021139
I2FE2ST,0.0007522954930407459
I2FE2SS,0.0007520921133084396
I4FE4SR,0.0007514595681746969
POR5,0.0007499025695391065
ICYSDS,0.0007201864518830213
3OAR140,0.0007052256007638087
3OAS140,0.00070501555293756
LACZpp,0.0005968891641972646
ALAR,0.0005279229259990461
LPADSS,0.000524175917804447
GLUTRS,0.0005241752961487653
TDSK,0.0005241705818697065
IMPC,0.0005241652434204539
TMPPP,0.000524161783319692
USHD,0.0005241385208840519
DHQTi,0.0005241178613490437
UDCPDPS,0.0005241131422675924
IPMD,0.0005240932791109318
MOAT,0.0005240836324314059
AIRC3,0.0005240646695770564
ADSL2r,0.0005239922659195017
UPPDC1,0.0005239766275321053
UPP3S,0.0005239313914005981
GRTT,0.0005238820476775179
TMDS,0.0005238703690060107
DMATT,0.0005238286049448499
PPCDC,0.0005238183630917081
DHAD1,0.0005237624509130992
LEUTAi,0.000523713511213235
IPPMIa,0.0005237026550092489
FMNAT,0.0005235949232249052
IGPS,0.0005235921124101339
CHORS,0.0005235197196832767
KARA1,0.0005234482122048232
CHORM,0.0005233777799742957
KARA2,0.00052337086746516
ANPRT,0.0005232943128665994
NADK,0.0005232894103603047
ANS,0.0005232068912928979
GLUTRR,0.0005232046003298453
PSCVT,0.0005231155390179181
