,Coefficient
NDPK4,0.00494406012520028
OAADC,0.003913781634969775
GARFT,0.00376594747477364
TRDR,0.003465422803610584
DHORD2,0.00266221724622764
PDH,0.002373864342450279
AKGDH,0.002346050147506051
SUCOAS,0.002310485936656841
PPPGO3,0.002074420275288614
ICDHyr,0.00196290609682728
G3PD2,0.001713857165271841
ADK1,0.001700724509892846
G3PAT160,0.00165579617190479
G3PAT161,0.001655529271408473
PRPPS,0.001556257688072604
RPE,0.001445813945133046
PTAr,0.001406769236198086
ACKr,0.001406748995320653
IMPD,0.001385870005379822
AI2K,0.001360734182521599
PAI2I,0.001360135681721655
PAI2T,0.001359042921986176
TKT2,0.001215635577700496
NDPK7,0.001125166764551082
RNDR3,0.001123277340264811
3OAS140,0.001060915005439684
3OAR140,0.001060649661023241
FADRx2,0.001022514791736466
RNDR2,0.00101406448009433
NDPK5,0.001007613066198118
ADNK1,0.0009321900325480455
PUNP1,0.000906590795858704
E4PD,0.0008991671414982955
PERD,0.0008918873041951466
ACONTb,0.0008787152427005328
ACONTa,0.0008758410040533331
OHPBAT,0.0008722256156742182
CS,0.0008616018268684408
FUM,0.0008615933603598927
SUCDi,0.0008534168605807496
CBMKr,0.0007308861529175281
PAPSR,0.0007105879049361111
ALAR,0.0006994814519337466
TKT1,0.0006621089475276453
TALA,0.0006618090010573081
DHPS2,0.0006615761931613629
QULNS,0.0006615662538342431
PRASCSi,0.000661563885954055
METS,0.0006615072304065288
DNTPPA,0.0006613830358755033
DHFS,0.0006613729856846225
GK1,0.000661159828037982
ACGK,0.0006611105667993051
CYTK1,0.0006610258123578223
HMBS,0.0006609697958256269
UDCPDP,0.0006609523936977961
MEPCT,0.0006608924956366238
GTPCI,0.0006607920243342926
HSTPT,0.00066072352991969
THDPS,0.0006606326032089079
THRD_L,0.0006605371842984528
DHFR,0.000660430562845791
SHSL1,0.0006604152386775311
PRAIi,0.000660325968739636
CYSTL,0.0006603097693430746
TYRTA,0.000660108792935467
ADSK,0.0006600859258690667
SHKK,0.0006599916350623071
PMPK,0.0006598477136467214
CHRPL,0.0006597212606323762
OMCDC,0.0006596145599386568
GMPS,0.0006595905225849735
IG3PS,0.0006593499800069546
MOHMT,0.0006591718677733311
MTHFR2,0.00065906905821241
AHCYSNS,0.0006589683161276871
IPPS,0.0006588730872128037
DUTPDP,0.0006587676539415537
GLU5K,0.0006587176104520269
DPR,0.0006586095851363013
ARGSL,0.0006585581380642235
MOAT2,0.0006583946682773273
AIRC2,0.0006578805500780974
ACGS,0.0006577702862405896
NNATr,0.0006577023365542097
PRFGS,0.000657519460332423
