,Coefficient
GARFT,0.003809469349132208
4HTHRA,0.00279509875576606
4HTHRK,0.00279204706966791
PTAr,0.002011537126187085
ACKr,0.002011395050778187
PERD,0.001922231674261988
E4PD,0.001904776071139105
OHPBAT,0.001850439749155064
ADK1,0.00178514213493162
G3PAT161,0.001680576803508669
G3PAT160,0.001680531341314766
PDH,0.001654129284265812
IMPD,0.001618416727469855
DHORD2,0.001586226520249299
G3PD2,0.001396636210369853
RPE,0.001390558949825065
AI2K,0.001382855204803117
PAI2I,0.001381102323389443
PAI2T,0.0013774556145504
AACPS8,0.001371626005476804
FEENTERR3,0.001371262677937204
SUCOAS,0.001323794266014922
AKGDH,0.001197388041864701
ICDHyr,0.001164263507774719
TKT2,0.001138798884539702
ADNK1,0.0009943382404222524
PUNP1,0.0009376048377801483
RNTR2c2,0.000933650898824411
G1PPpp,0.0007447293470802742
PAPSR,0.0007040248645092071
TRDR,0.000703476068884618
OPHHXy,0.0006831461083223114
MOX,0.0006829127305548189
NADHPO,0.0006809571290876496
PSSA160,0.0006700733913725226
AGPAT161,0.0006700155793028888
AGPAT160,0.0006699754652011483
PSD161,0.0006697135130483506
PSD160,0.0006696118148157395
PSSA161,0.0006694960351580796
AMPMS2,0.00066936614086603
MCTP1App,0.0006681672781332253
AICART,0.0006660005409905356
ADSL1r,0.0006656598597562173
DASYN161,0.0006649850787706835
DASYN160,0.0006646059792405709
DHQS,0.0006642138468856786
UPP3MT,0.0006638086830363092
HISTP,0.0006633906912015636
PANTS,0.0006625742281820531
PRAIS,0.0006617081925847147
SHCHF,0.0006607365393187369
MECDPDH5,0.0006600722547318002
ALAALAr,0.000658662633063841
ACGS,0.0006575484661691707
DPR,0.0006546272218063328
DUTPDP,0.0006539982256584835
DHNPA2r,0.0006529083034844694
MTHFR2,0.0006527077096427601
IG3PS,0.0006514476311982579
OMCDC,0.0006500924317524777
TYRL,0.0006493201906778785
THZPSN3,0.000648678171385442
SHKK,0.0006479785077697251
TYRTA,0.0006472561447561682
PRAIi,0.0006458500441308098
SHK3Dr,0.0006454658872672405
DHFR,0.0006451033926264116
DHORTS,0.0006447883897219541
THRD_L,0.0006443489443963724
OMPDC,0.0006441054847842289
THDPS,0.0006435869287580676
G5SD,0.0006434173526204467
HSTPT,0.0006428175784543213
APRAUR,0.0006413844862213296
MEPCT,0.0006405917527692618
DB4PS,0.000639975202511939
HMBS,0.0006397963780768648
RBFK,0.0006385397113918694
ACGK,0.0006381865858762236
RBFSb,0.0006370888234027445
ALATA_L,0.0006367317255035078
SHCHD2,0.0006356254531415225
TALA,0.0006354225525467432
GLNS,0.0006353644657081986
A5PISO,0.0006341310052221153
TKT1,0.0006334020857806401
PMDPHT,0.000633390199580802
DNTPPA,0.0006332805137570393
TRPAS2,0.0006320434145019599
ILETA,0.0006319149365415106
VALTA,0.0006311672328194952
IPPMIb,0.0006304186962332408
ORPT,0.0006296687660090396
RBFSa,0.0006289176296073001
ACHBS,0.0006281654744926744
DHAD2,0.000627412487672211
ACLS,0.00062665885510641
PSCVT,0.0006259047612666831
ANS,0.0006251503887603603
QULNS,0.0006248353295717242
ANPRT,0.0006243959184670107
DHPS2,0.0006239641391241042
CHORM,0.0006236415291696772
CHORS,0.000622884228846702
PRASCSi,0.000622215609539595
IGPS,0.0006221305076721436
LEUTAi,0.0006213737291426022
ALAR,0.0006207061927949614
DMATT,0.0006198532660206819
GRTT,0.0006191030646347229
METS,0.0006187754150632774
UPP3S,0.000618354166995157
UPPDC1,0.0006176067325731841
MOAT,0.0006153612456726348
DHFS,0.0006152569715419126
UDCPDPS,0.0006146212420554215
USHD,0.000613119177374954
IMPC,0.0006118703474624373
GK1,0.000610213439244665
LPADSS,0.000609373801143153
GLUTRS,0.0006086573149295513
CPPPGO,0.0006085386406191497
CYTK1,0.0006084601005622097
TDSK,0.000607944230339146
TMPPP,0.0006072345520538003
UDCPDP,0.0006066912786133196
DHQTi,0.0006051299891175336
