,Coefficient
PYK3,0.003668741606877475
4HTHRA,0.00346460051833278
4HTHRK,0.003462855718220128
GARFT,0.003015164852442738
PGM,0.002831210746384629
ENO,0.002780380672685364
E4PD,0.002659937149334538
PERD,0.002644282887116022
OHPBAT,0.002596191029726546
GAPD,0.002486948978436179
PGK,0.002426263462005582
GHMT2r,0.002326993707698552
GLYCL,0.002244972596421797
MTHFC,0.002065325336096001
MTHFD,0.002065314567254366
ADK3,0.001930648219991261
PYK6,0.001757339461285596
PYK2,0.001748201168158247
PYK4,0.001736122807861115
G3PD2,0.001590675807309177
IMPD,0.001422735509752611
G3PAT160,0.00138680132568578
G3PAT161,0.001386254773081146
PRPPS,0.001366662133506004
PDH,0.001285542733492047
TKT2,0.001188656673006059
RPI,0.001143679357411818
RPE,0.001142328253782779
TKT1,0.001130989545395335
TPI,0.001107103396553535
RNTR4c2,0.001075051966704516
TRPS3,0.001029065820063335
PAPSR,0.001024116968200619
TRPAS2,0.001018997948628503
PPC,0.0009155086527956694
I4FE4SR,0.000885872462169268
I2FE2SS,0.0008845252031036498
I2FE2ST,0.0008841005070370064
I2FE2SS2,0.0008836805035873504
I4FE4ST,0.0008832652218564972
I2FE2SR,0.0008783849936054776
ICYSDS,0.0008321814546625986
PDX5PO2,0.0008297533213535093
AI2K,0.0008199675893411982
PAI2I,0.0008179212605263239
PAI2T,0.0008161296559801257
RBK,0.0007024820475740001
GLYCTO3,0.000695517493127021
F6PA,0.0006386305717243002
DHAPT,0.0006352997871679538
CBMKr,0.0006130837275731561
DHPS2,0.0005537993771985827
QULNS,0.0005537721309408418
PRASCSi,0.0005537681882921418
METS,0.000553633596086106
DHFS,0.0005533003213458074
DNTPPA,0.0005531655762671221
GK1,0.0005526622654793399
CYTK1,0.0005523009269187398
ACGK,0.0005521626612722666
UDCPDP,0.0005521151172973876
HMBS,0.0005517847858268238
GTPCI,0.0005517480787823922
MEPCT,0.0005515819252878269
HSTPT,0.0005511501178420716
THDPS,0.0005509200780970936
THRD_L,0.0005506811446552535
SHSL1,0.0005506111581047716
DHFR,0.000550433413058725
CYSTL,0.0005503435518839395
PRAIi,0.0005501769810027967
TYRTA,0.0005496415260917551
ADSK,0.0005494965997088575
SHKK,0.000549360018910339
PMPK,0.0005485360288307228
OMCDC,0.0005484661570243721
CHRPL,0.0005481977471404649
IG3PS,0.0005478504121556911
GMPS,0.000547849317593285
AHCYSNS,0.0005474910393969059
MTHFR2,0.000547225077014231
MOHMT,0.0005471228834035687
DUTPDP,0.0005465299260151364
IPPS,0.0005463572855888346
DPR,0.0005461713857877146
GLU5K,0.0005459600292504804
AMAOTr,0.0005458056830116921
ARGSL,0.0005455532655840914
MOAT2,0.0005451370984351165
ACGS,0.0005442816013596082
AIRC2,0.0005438362730075587
ALAALAr,0.0005434767664439118
NNATr,0.0005433838434319636
PRFGS,0.0005429225978952945
PRAGSr,0.0005424526678290377
SHCHF,0.0005422222688130165
PPNCL2,0.0005419741860787633
PRAIS,0.0005417922704982635
SULR,0.0005409991869288224
PANTS,0.0005409218178220622
PPBNGS,0.0005404960126268986
HISTP,0.0005400310019777375
PDX5PS,0.0005399848727191128
UPP3MT,0.000539573443242918
ACOTA,0.0005394659238669677
DHQS,0.0005391113279555001
TMPK,0.0005389393280983241
DASYN160,0.0005386441789788437
PRAMPC,0.0005384052507607532
DASYN161,0.0005381721253896669
PPND,0.0005373117396837877
ADSL1r,0.0005372258977319723
PHETA1,0.0005367563227222327
AICART,0.000536740243346128
OCBT,0.0005356500534394389
DAPDC,0.0005350749715781714
BPNT,0.0005339134339312753
NADS1,0.0005333203344556045
MCTP1App,0.0005328321071843697
CYSS,0.000532721597552563
SERAT,0.0005321174261475649
GLUPRT,0.0005315080248117338
PRMICI,0.0005308936005624157
PRATPP,0.0005302743626516795
AMPMS2,0.0005292348179873972
IGPDH,0.000529037575458528
PSSA161,0.0005286962899722002
GF6PTA,0.0005284052391034658
PSD160,0.0005281554597745197
G1PACT,0.000527765415278897
PSD161,0.0005276124664287486
DHDPS,0.0005271253812458008
HISTD,0.0005264818216030367
FACOAE160,0.0005260259796183314
ATPPRT,0.0005258349564716
HACD2,0.0005255036093741301
AGPAT160,0.0005254292820361389
HACD1,0.0005252372782116631
UAGAAT,0.0005251850070355032
UHGADA,0.0005245321954439167
DBTS,0.0005238767332248666
UGMDDS,0.0005232188784810664
PSSA160,0.0005227376341798896
ASP1DC,0.0005225588134990112
HACD3,0.0005223760246378299
ACACT3r,0.0005222413432959788
AGPAT161,0.0005221802846086632
G5SADs,0.0005218967985414218
ACACT2r,0.0005216441690256838
DHPPDA2,0.0005212330362811782
P5CR,0.0005205677597050549
UAMAGS,0.0005199011971311226
UAMAS,0.000519233575918551
UAAGDS,0.0005179154004139192
U23GAAT,0.0005172462058904258
ACACT1r,0.0005171890650023043
RHCCE,0.000515261866042554
DDPA,0.0005145937254290261
CPPPGO,0.0005143260970850067
DTMPK,0.0005139262099018989
AACPS7,0.0005139069256183267
MALCOAMT,0.0005133902122258765
PPNDH,0.0005132598725587236
HSST,0.0005125947883092162
SDPTA,0.0005119311901273858
DHDPRy,0.000511269311042971
OGMEACPS,0.0005112539942411252
OGMEACPR,0.0005107163246219544
DAPE,0.0005106093841173065
OPMEACPS,0.0005101811666599091
IPDPS,0.0005099516425249696
DMPPS,0.0005092963186265196
KDOPP,0.0005086436475863483
OPMEACPD,0.0005086063306833094
EPMEACPR,0.0005080827909120738
KDOPS,0.0005079938611224315
AOXSr2,0.0005075624750224667
ASPCT,0.0005073471935545363
ASNS2,0.0005067038790720702
OGMEACPD,0.0005065320612009396
DPCOAK,0.0005060641503343775
EGMEACPR,0.0005060222349401414
OPMEACPR,0.0005055161777004503
OCTDPS,0.000505428249769224
PMEACPE,0.0005050140285346922
ADSS,0.0005047964069587184
PNTK,0.0005041688602087004
MECDPDH5,0.0005035652351652845
HBZOPT,0.0005035458556630195
FACOAE120,0.0005029389370748687
FCLT,0.0005029276272272616
ACODA,0.0005023144206048043
UAGPT3,0.000500230383120094
METAT,0.0004999627287568194
PAPPT3,0.0004996426523774354
BTS5,0.0004996004439946068
CTPS2,0.0004990613056925112
UAPGR,0.0004984866019360026
GLNS,0.0004984633387835514
UMPK,0.0004979188022714337
DHNPA2r,0.0004974822057189378
ADCL,0.0004970829881104895
ADCS,0.0004965340959901966
SDPDS,0.0004959930339488242
TYRL,0.0004947606268319162
OPHBDC,0.0004944522869801912
THZPSN3,0.0004943850815956584
SADT2,0.0004939446564363368
GTPCII2,0.0004934461726461613
ACOAD7f,0.0004933027959437936
DXPRIi,0.0004929570948858229
SHK3Dr,0.0004926532937088456
PTPATi,0.0004924776792545647
DHORTS,0.0004923133512945246
HPPK2,0.0004920081841694229
OMPDC,0.0004919795331137411
G5SD,0.00049165184302575
ACOAD3f,0.0004916405865280876
DNMPPA,0.0004915488492524912
ACOAD2f,0.0004910853289240405
APRAUR,0.0004910145858252103
DB4PS,0.0004904039019233689
RBFK,0.0004898146232221274
AACPS3,0.0004893923228389217
NNDPR,0.0004890677611785527
RBFSb,0.0004889823931970798
SHCHD2,0.0004884538641194045
GLUR,0.000488347751509273
A5PISO,0.0004881984067575246
UAGCVT,0.000487988205632517
PMDPHT,0.0004879487589943779
UAGDP,0.0004876407445063437
ILETA,0.0004874589798849176
PGAMT,0.0004873058725491366
VALTA,0.0004872254429733071
IPPMIb,0.0004869982848665561
MECDPS,0.0004869829137693937
ORPT,0.0004867768245643425
CDPMEK,0.0004866723503347466
RBFSa,0.0004865609059535496
DXPS,0.0004863742516889462
ACHBS,0.0004863504967403664
DHAD2,0.0004861455751477216
ACLS,0.0004859461265146225
KDOCT2,0.000485824590389788
PSCVT,0.0004857521467951666
G1SAT,0.0004855641031894846
ANS,0.0004855636430764208
ALATA_L,0.0004854397262369216
ANPRT,0.0004853806344827461
AGPR,0.00048531619052466
CHORM,0.0004852031528003029
ARGSS,0.0004850808355990777
CHORS,0.0004850312429645525
IGPS,0.0004848649633604299
LEUTAi,0.0004845660247861658
DMATT,0.0004843092357342891
GLUTRR,0.0004842865893874473
GRTT,0.0004841707918222598
NADK,0.0004841131439661214
UPP3S,0.000484038561162502
KARA2,0.0004839518562854711
UPPDC1,0.0004839126858176835
KARA1,0.0004838026079879794
MOAT,0.0004835782302294053
FMNAT,0.00048353031752663
UDCPDPS,0.0004834793636442824
IPPMIa,0.0004834162194780666
DHAD1,0.0004833133798745484
USHD,0.0004833030655240731
PPCDC,0.0004832218338615792
IMPC,0.000483167680113674
TMDS,0.0004831414127738971
LPADSS,0.000483007561513048
ADSL2r,0.0004829971488719003
GLUTRS,0.0004829714527261383
AIRC3,0.000482958205692555
TDSK,0.0004829441253783131
IPMD,0.0004829294705303279
