,Coefficient
PYK,0.004425918270388081
GARFT,0.003653858406916418
4HTHRA,0.003570979482477704
4HTHRK,0.003570475681147989
PDH,0.003387763154433235
GLYCK2,0.002717041149697915
PERD,0.002639778893419543
E4PD,0.002630978023634852
OHPBAT,0.002630378608768064
DHORD2,0.002300295151658097
ENO,0.00212675664621262
PYK6,0.002086439060383291
PYK2,0.002051516591823988
PYK4,0.002001462600020615
ASPO6,0.001751841397655819
G3PD2,0.001677543502998755
G3PAT161,0.001632165036736733
G3PAT160,0.001631990067269986
TRPAS2,0.001534119541363913
IMPD,0.001527384429296581
PRPPS,0.001524986508246625
TRPS3,0.001512232487048486
FADRx2,0.001278750732916821
AI2K,0.001245902233441402
PAI2I,0.001245524372804404
PAI2T,0.001244945712409014
PPPGO3,0.0012255090155713
SPODM,0.001107365094164783
FESR,0.001084106283865751
FESD1s,0.001083258088424017
PAPSR,0.001029470760540334
TRDR,0.001010007657488567
MDH,0.000942585923318627
GMPS2,0.0009352347820581383
ADNK1,0.0009340716494087657
OPHHXy,0.0009331848864231629
PUNP1,0.0009317876123478422
TKT2,0.0008612553781037949
RNTR2c2,0.0007953963020202198
RNTR4c2,0.0007953407674968913
GLCRAL,0.0007721439000359862
GLCRD,0.0007596205436898426
ADK1,0.0007497381078220475
I4FE4SR,0.0007157081246188177
I2FE2SS,0.0007156406604167912
I2FE2ST,0.0007156112059462713
I2FE2SS2,0.0007155352865710433
I4FE4ST,0.0007154935060654515
I2FE2SR,0.0007145438466238287
3OAR140,0.000712507883742937
3OAS140,0.0007123137474756592
ICYSDS,0.0007104812058797537
GLNS,0.0006905593376122133
PDX5PO2,0.0006782917964690944
QMO2,0.0006752067217698569
RNTR3c2,0.0006295272098072778
MECDPDH5,0.0006291101749147689
PMEACPE,0.0006291054859761053
OPMEACPR,0.0006290960415066079
EGMEACPR,0.0006290820355475237
OGMEACPD,0.0006290634623978041
AOXSr2,0.000629012574123056
EPMEACPR,0.0006289802742297995
OPMEACPD,0.0006289433782923799
OPMEACPS,0.0006288559982339183
BTS5,0.0006288139412919228
OGMEACPR,0.0006288053435389817
OGMEACPS,0.0006287501028949704
MALCOAMT,0.0006285568455711679
DHNPA2r,0.000628491867245259
TYRL,0.0006278076125829412
THZPSN3,0.0006277023114690209
SHK3Dr,0.0006271378673710987
DHORTS,0.0006270105618436179
AGPAT161,0.0006269777313470415
OMPDC,0.0006268796368929188
PSSA160,0.000626833041088058
G5SD,0.0006267451366652917
APRAUR,0.000626176874786247
DB4PS,0.0006258748794076812
AGPAT160,0.0006258333469402451
RBFK,0.0006255567637370927
RBFSb,0.0006252254393868056
SHCHD2,0.0006248257680869759
A5PISO,0.000624648539051948
PSD161,0.0006245835714009391
PMDPHT,0.0006244684354089846
PSD160,0.0006243853419393799
PSSA161,0.0006241835275205058
ILETA,0.0006241071269721082
AMPMS2,0.0006239781847582207
VALTA,0.0006239185977227211
IPPMIb,0.000623727487308922
ORPT,0.0006235337714947882
RBFSa,0.0006233375058600005
ACHBS,0.0006231387463849426
DHAD2,0.0006229375494471757
ACLS,0.0006227339717979145
PSCVT,0.0006225280705612868
MCTP1App,0.000622516277638003
ANS,0.0006223192045288717
ANPRT,0.0006221088222530647
CHORM,0.0006218962900341726
CHORS,0.0006216816663221019
IGPS,0.0006214650098654809
AICART,0.0006213391963526149
LEUTAi,0.0006212463796969039
ADSL1r,0.0006210941696583335
DASYN161,0.0006208464805049657
DMATT,0.0006208030275786885
DASYN160,0.0006205962850958559
GRTT,0.0006205788112250369
UPP3S,0.0006203528599876044
DHQS,0.0006203436194691273
UPPDC1,0.0006201252341047744
UPP3MT,0.0006200885609925966
HISTP,0.0006198258631306636
MOAT,0.0006196649519603514
PANTS,0.0006195662789725141
UDCPDPS,0.0006194326634996195
USHD,0.0006191989433166161
PRAIS,0.0006190680698791484
IMPC,0.0006186413737337538
SHCHF,0.0006185594699033479
