,Coefficient
PFK_3,0.004313162378192008
FBA3,0.004290860161424169
4HTHRK,0.004127059742523024
4HTHRA,0.004125780077002441
GARFT,0.003294077114503015
DHAPT,0.00299790778886052
F6PA,0.002997281164671247
GLYCL,0.002954625608378895
GHMT2r,0.002655300944616436
OHPBAT,0.00252524928149829
PERD,0.002496420729861432
E4PD,0.002492127605214167
MTHFC,0.002424000693370756
MTHFD,0.002423897768295191
GND,0.002399380722493413
NDPK3,0.002353559781141015
TKT1,0.00233421113034297
ENO,0.002312170591911581
PGM,0.00228310865707995
RPE,0.002209418232072026
PGK,0.002089167906296681
GAPD,0.00206560979720213
ACKr,0.00194295119922317
PTAr,0.001942540151845655
RPI,0.001921300067386666
IMPD,0.001543569181771943
G3PAT161,0.001523960388839896
G3PAT160,0.001523721155622177
NDPK4,0.001486425256280923
RNTR2c2,0.001465528185705546
PRPPS,0.001455863536660194
TKT2,0.001416803105979173
G3PD2,0.001411981106242461
RNTR3c2,0.001339019245442774
TPI,0.001298147259649626
PAI2T,0.001223350225770879
PAI2I,0.00122204782290614
AI2K,0.001221224136746803
FADRx,0.001125973610316812
PAPSR,0.001039901247504127
TRPS3,0.0009941788288993863
TRPAS2,0.000991380249206236
MOX,0.0009829536180496962
AHGDx,0.0009816472715109058
NADHPO,0.0009813146798457247
SHGO,0.0009805973382554856
OPHHXy,0.000980452560138913
POR5,0.0009708894898797547
PPC,0.0009212730500419864
SBTPD,0.0009133471861487089
TRDR,0.0008873454406316722
PPPGO3,0.0008556770193931702
PUNP1,0.0008223919429765103
ADNK1,0.0007903376574393561
DHORD2,0.0006835462759149779
3OAR140,0.0006482684635626417
3OAS140,0.0006480447647329787
ALAR,0.0005627997492492873
PPCDC,0.0005462445077427959
DHAD1,0.0005462440823361289
TMDS,0.0005462397948935579
IPPMIa,0.0005462385213157152
FMNAT,0.0005462276547041366
ADSL2r,0.0005461936710436803
KARA1,0.0005461854972434757
KARA2,0.0005461595932358481
AIRC3,0.0005461442343275918
NADK,0.0005461284316672957
IPMD,0.0005461093623960014
GLUTRR,0.0005460923321471514
DHQTi,0.0005460693806153157
ARGSS,0.0005459769558534266
TMPPP,0.000545920957570989
AGPR,0.000545920154811255
TDSK,0.0005458612477448466
G1SAT,0.0005458583411532022
GLUTRS,0.0005457964955809598
KDOCT2,0.0005457915364166584
LPADSS,0.0005457267198020005
DXPS,0.0005456552953812098
CDPMEK,0.0005455734085365578
IMPC,0.0005455729267699056
MECDPS,0.0005454866265049496
PGAMT,0.0005453949783263823
USHD,0.0005453760075632956
UAGDP,0.0005452985583473842
UDCPDPS,0.000545279459669926
UAGCVT,0.0005451972726314662
GLUR,0.0005450912159319463
MOAT,0.0005450729972135484
NNDPR,0.0005448771620545021
UPPDC1,0.0005447485813995068
UPP3S,0.0005446243332406173
GRTT,0.0005444954065802293
DNMPPA,0.0005444886474901758
DMATT,0.000544361840361309
HPPK2,0.00054435478778256
PTPATi,0.0005442164311033035
LEUTAi,0.0005440930432058659
DXPRIi,0.00054407361898861
GTPCII2,0.00054392639845284
IGPS,0.0005438278208139921
SADT2,0.000543774815957913
CHORS,0.0005436733186677164
OPHBDC,0.0005436189197357175
CHORM,0.0005433857820964059
ANPRT,0.0005432193524534052
ANS,0.0005430486710666681
SDPDS,0.0005429659480857948
PSCVT,0.0005428737901673383
ADCS,0.0005427894580213087
ACLS,0.0005426947633492097
ADCL,0.0005426089657885921
DHAD2,0.0005425116455276541
UMPK,0.0005424018998657388
UAPGR,0.0005422130800665725
ACHBS,0.0005421453523808087
CTPS2,0.0005420204376723384
RBFSa,0.000541950713333579
PAPPT3,0.0005418240327125904
ORPT,0.0005417522120100692
UAGPT3,0.0005416239262729366
IPPMIb,0.0005415499096122889
ALATA_L,0.0005415138629101029
VALTA,0.0005413438685598368
ILETA,0.0005411340255290316
ACODA,0.0005409767396294752
CPPPGO,0.0005409296607814348
FCLT,0.0005407617551852539
PMDPHT,0.0005407022964929995
GLNS,0.0005405884027318924
HBZOPT,0.0005405433984159668
A5PISO,0.000540482071510443
PNTK,0.0005403217361342003
SHCHD2,0.0005402584378707036
ADSS,0.0005400968362291366
OCTDPS,0.0005398687681436093
RBFSb,0.0005398012227094916
DPCOAK,0.0005396376021224171
ASNS2,0.0005394034082148888
RBFK,0.0005393310487861737
ASPCT,0.0005391662585924044
KDOPS,0.0005389262255158378
DB4PS,0.000538848554186186
KDOPP,0.000538683382189894
DMPPS,0.0005384378025528457
APRAUR,0.0005383592983529075
IPDPS,0.0005381895612595774
DAPE,0.0005379387338947057
G5SD,0.0005378535321971257
DHDPRy,0.0005376853963185639
OMPDC,0.0005375972150855228
SDPTA,0.0005374296253510295
DHORTS,0.000537338384554049
HSST,0.0005371714982897608
SHK3Dr,0.0005370771210232715
PPNDH,0.0005369110933710447
DTMPK,0.0005366484889325972
DDPA,0.0005361286375051882
RHCCE,0.000535859912401124
THZPSN3,0.0005357798930848218
TYRL,0.000535506098792354
U23GAAT,0.0005349517516939976
UAAGDS,0.0005346754005787487
UAMAS,0.0005343975209282933
DHNPA2r,0.000534179284858321
UAMAGS,0.0005341181957114705
P5CR,0.0005338375082398555
DHPPDA2,0.0005335555421411628
G5SADs,0.0005332723813213348
BTS5,0.0005330525041180731
ASP1DC,0.0005329881099607988
UGMDDS,0.0005327028125460059
DBTS,0.0005324164510111602
UHGADA,0.0005321294781772802
UAGAAT,0.0005318416111026982
ATPPRT,0.0005315530576012892
HISTD,0.0005312639029579257
DHDPS,0.0005309742325554144
G1PACT,0.0005306841318544599
GF6PTA,0.0005303923029178508
MECDPDH5,0.0005303407562030087
IGPDH,0.0005301015947607396
PRATPP,0.0005295258413715213
PMEACPE,0.0005294781682240633
PRMICI,0.0005292348651846675
OPMEACPR,0.0005291836631784866
GLUPRT,0.0005289439703461415
EGMEACPR,0.0005288892316815674
SERAT,0.0005286532421894816
OGMEACPD,0.0005285949885375956
CYSS,0.0005283627659043028
NADS1,0.0005280726270258414
AOXSr2,0.0005280073843880517
BPNT,0.0005277829091870174
EPMEACPR,0.0005277142297441542
OPMEACPD,0.0005274216302564226
DAPDC,0.0005272105284777279
OCBT,0.0005269225903788723
OPMEACPS,0.0005268383953288415
OGMEACPR,0.0005265479710965404
PHETA1,0.0005263605232227156
OGMEACPS,0.0005262584465818412
PPND,0.0005260750909096035
PRAMPC,0.0005255062102468993
MALCOAMT,0.0005253961882774089
TMPK,0.0005252237626425608
ACOTA,0.0005249423650117149
PDX5PS,0.000524662727066779
PPBNGS,0.0005243845048886345
SULR,0.0005241077799678287
PPNCL2,0.0005235625620554862
PRAGSr,0.0005232907762567573
