,Coefficient
GLYCL,0.003875516555544731
GARFT,0.003753082291702124
QMO2,0.003684382434666907
PSERT,0.002954804544150089
PSP_L,0.002950528807019618
PGCD,0.00291049668935292
GHMT2r,0.002791342234509878
MTHFC,0.002538602958387541
MTHFD,0.002538171717059335
ENO,0.002455428146009207
PGM,0.00244697781317712
PPCK,0.002418569424184745
DHORD2,0.001977553223370272
ACKr,0.001907588278435311
PTAr,0.001907414273840964
ME1,0.001727496117841637
G3PD2,0.001705749350690325
IMPD,0.001588805205251878
PRPPS,0.001541650066931061
G3PAT160,0.001442375302350599
G3PAT161,0.001442101675497303
ADK1,0.001145204218419979
OHPBAT,0.001138597077682167
E4PD,0.001130592881480035
RPE,0.001120174527485176
PERD,0.001114744616284853
TKT2,0.001010676477303235
TRDR,0.0009742186762454712
TRPS3,0.0008928073691971614
PAI2T,0.0008626812503492703
PAI2I,0.0008616841084252948
AI2K,0.000861298027930874
TRPAS2,0.0008420800029502886
PAPSR,0.0008370465126742533
PUNP1,0.0008073038755313898
ADNK1,0.0007987344690524746
4HTHRK,0.0007672606243800122
4HTHRA,0.0007663739334172064
CBMKr,0.0007363511114036037
ASPO6,0.0007153427351285451
FUM,0.0006439638874419475
METAT,0.0006438022654856961
UHGADA,0.0006375446483883058
UAGAAT,0.0006375416199806364
ATPPRT,0.0006375301242926758
UGMDDS,0.0006375248788303349
HISTD,0.0006375102438933457
ASP1DC,0.0006375020234459202
DHDPS,0.0006374820627337595
G5SADs,0.0006374703886618115
G1PACT,0.0006374456660596364
DHPPDA2,0.0006374298966635715
GF6PTA,0.0006374010814241576
P5CR,0.0006373804763822794
IGPDH,0.0006373484640730142
UAMAGS,0.0006373220576037489
UAMAS,0.0006372545722865789
PRATPP,0.0006372214186171109
PRMICI,0.0006371453605057685
UAAGDS,0.0006370857955737907
GLUPRT,0.0006370612774318681
U23GAAT,0.0006369912424629595
SERAT,0.0006369690497177901
CYSS,0.0006368702170776837
NADS1,0.0006367652142313156
BPNT,0.000636650429163389
DDPA,0.0006365123630657153
DAPDC,0.0006364042237612309
RHCCE,0.000636302831769986
OCBT,0.000636269461195406
DTMPK,0.0006360604821583515
PHETA1,0.000635983817164075
PPNDH,0.0006358908186156067
PPND,0.000635828856448539
HSST,0.0006357104932537407
SDPTA,0.0006355224603669005
PRAMPC,0.0006355040085072499
TMPK,0.0006353294314152397
DHDPRy,0.000635323720673878
ACOTA,0.000635148537161268
DAPE,0.0006351152525761576
PDX5PS,0.0006349614368134725
IPDPS,0.0006348970468944932
PPBNGS,0.0006347682460344789
DMPPS,0.0006346690985630888
SULR,0.0006345678476218854
KDOPP,0.0006344314186760442
KDOPS,0.0006341840097109412
PPNCL2,0.0006341551087477785
PRAGSr,0.0006339385160904972
ASPCT,0.0006339268919827718
PRFGS,0.000633716798054236
ASNS2,0.0006336600906771631
NNATr,0.000633490087804331
DPCOAK,0.0006333836383543023
OCTDPS,0.0006330975771861226
AIRC2,0.0006330259835860932
ADSS,0.0006328014467831646
PNTK,0.0006324968354529908
MOAT2,0.0006322795351285065
HBZOPT,0.0006321822800367132
ARGSL,0.0006320231812718194
FCLT,0.0006318583678932547
GLU5K,0.000631762328563149
ACODA,0.0006315251837706713
IPPS,0.0006314970615400964
NDPK4,0.0006311828221591951
MOHMT,0.0006309535548353464
GMPS,0.0006301185746703242
AHCYSNS,0.0006300639064975339
CHRPL,0.0006298275094583892
PMPK,0.0006295325876967986
UAGPT3,0.0006293541819723848
PAPPT3,0.0006289596468286552
CTPS2,0.0006285568503427196
ADSK,0.0006283537172768233
UAPGR,0.0006281459603114733
UMPK,0.0006277271532086346
CYSTL,0.0006274303421430889
ADCL,0.000627300613045758
SHSL1,0.0006271021839242188
GLUDy,0.0006270567340603857
ADCS,0.000626866534187502
SDPDS,0.0006264251169882743
OPHBDC,0.0006250674729131295
GTPCI,0.0006250436177616351
SADT2,0.0006245977917959905
UDCPDP,0.0006243251532313369
GTPCII2,0.0006241243313158598
DXPRIi,0.0006236436191167373
CYTK1,0.0006235853591172006
PTPATi,0.0006231571272151071
GK1,0.0006228335435577827
HPPK2,0.0006226650937527546
DNMPPA,0.0006221677568249812
DHFS,0.0006205393020046176
NNDPR,0.0006196185296598618
METS,0.0006188984904256593
GLUR,0.0006186102779549652
UAGCVT,0.0006180802289874273
UAGDP,0.0006175469189256387
PRASCSi,0.0006172427502437902
PGAMT,0.0006170104139277181
MECDPS,0.0006164712307130915
DHPS2,0.0006163865034778432
CDPMEK,0.0006159294269223882
DXPS,0.000615379416191367
QULNS,0.0006150937841297488
KDOCT2,0.0006142858941937223
G1SAT,0.0006137358372464821
AGPR,0.0006131841262099412
ARGSS,0.0006126309433969698
NDPK2,0.0006117156653392083
