,Coefficient
4HTHRA,0.003465367960838392
4HTHRK,0.003464607030893199
GARFT,0.003347809605845597
PYK3,0.002872092668389824
PYK2,0.002343308989684718
PYK6,0.002312276601310748
PYK4,0.002273380196787631
PGM,0.002242913063364747
ENO,0.002225061681482352
E4PD,0.002172204580901524
PERD,0.002169417215638209
OHPBAT,0.002151233450667632
PPC,0.002013809338318755
GAPD,0.001832021293054696
PGK,0.001815760023248534
G3PD2,0.001668838115688771
G3PAT160,0.001621124228223077
G3PAT161,0.001620967366234719
IMPD,0.001501112153006975
PRPPS,0.00148668222575528
TRPAS2,0.001389418377973506
TRPS3,0.001387993483819902
DHORD2,0.001330938858540675
3OAS140,0.00121228306476021
3OAR140,0.001212142990640955
AI2K,0.001011603126652832
PAI2I,0.001010764018846577
PAI2T,0.001009989631489874
PDX5PO2,0.0009929784740040602
ADNK1,0.000983193210275198
PUNP1,0.0009629664068381829
ADK3,0.0008796823940053809
HCO3E,0.0008750338443202745
ICDHyr,0.0007963855306812811
TRDR,0.0007542678196202475
PAPSR,0.0007432534019211191
ALAR,0.000654533999115975
GLNS,0.0006347410534694564
DHORTS,0.0006343957264134609
OMPDC,0.0006342429583651547
ASPCT,0.0006333523545705739
ORPT,0.0006314995125459591
METAT,0.0006300218583325044
UMPK,0.0006255736145953682
5DOAN,0.000619592735945987
HMBS,0.000609238627633597
MEPCT,0.0006092358183915257
ACGK,0.0006092332108750734
HSTPT,0.000609219527061406
THDPS,0.0006092057991351523
THRD_L,0.0006091883160850897
PRAIi,0.0006091673645616581
TYRTA,0.0006091428250203937
DNTPPA,0.0006091203616564697
SHKK,0.0006091147148073017
OMCDC,0.0006090091513355822
IG3PS,0.0006089278235429542
MTHFR2,0.0006088788026345802
QULNS,0.0006087748851983873
DPR,0.0006087705341013738
DHPS2,0.0006087147392156141
AMAOTr,0.0006087113419315199
PRASCSi,0.0006085964208129733
ACGS,0.0006085144896926174
METS,0.0006084512245276056
ALAALAr,0.0006083666065942105
DHFS,0.00060811781075406
SHCHF,0.0006080371812116982
GK1,0.0006079300195141732
PRAIS,0.0006078631034004569
PANTS,0.0006077662804401163
CYTK1,0.000607722584403137
HISTP,0.0006076660879072301
UDCPDP,0.0006076167619452654
UPP3MT,0.0006075634120623921
DHQS,0.000607457933196894
GTPCI,0.0006073853392943344
DASYN160,0.0006073496503146833
DASYN161,0.000607238605256725
ADSL1r,0.0006071245524042619
AICART,0.0006070081093827046
SHSL1,0.0006067308435489663
CYSTL,0.0006065975937285634
ADSK,0.000606461307345038
PMPK,0.0006063132849190185
MCTP1App,0.0006062786817888675
CHRPL,0.0006061709336206649
GMPS,0.0006060256274785302
AHCYSNS,0.0006058775058973961
MOHMT,0.0006057265724526643
AMPMS2,0.0006054699255752844
IPPS,0.0006054164577202295
PSSA161,0.0006053235063374835
GLU5K,0.0006052573755001089
PSD160,0.0006051750746097853
ARGSL,0.0006050956784616137
PSD161,0.0006050246831021104
MOAT2,0.0006049313622220031
AIRC2,0.0006042616125348106
AGPAT160,0.0006042583503770428
NNATr,0.0006040854485515607
PRFGS,0.0006039070626899023
PRAGSr,0.0006037265135915925
PPNCL2,0.0006035438623928604
PSSA160,0.0006033342707541826
SULR,0.0006031750775743973
AGPAT161,0.0006031643745625089
PPBNGS,0.0006029865287795716
PDX5PS,0.000602796135726503
ACOTA,0.0006026039623424733
TMPK,0.0006024100792500753
PRAMPC,0.000602214554073479
PPND,0.0006018179819369189
PHETA1,0.0006016179874218418
OCBT,0.000601221337140765
MALCOAMT,0.0006010576512905734
DAPDC,0.0006010175288379522
BPNT,0.0006006103192130999
NADS1,0.0006004033008407613
CYSS,0.0006001953605772648
OGMEACPS,0.0006001630311239734
SERAT,0.0005999865727040739
OGMEACPR,0.0005999796930841712
OPMEACPS,0.0005997961435508332
GLUPRT,0.0005997770145956589
PRMICI,0.0005995667638065488
OPMEACPD,0.0005994286519293848
PRATPP,0.0005993558986286324
EPMEACPR,0.0005992448084339714
AOXSr2,0.0005990612949090037
IGPDH,0.0005989373094016612
GF6PTA,0.000598725085380268
OGMEACPD,0.0005986937036043755
G1PACT,0.0005985123701195891
EGMEACPR,0.0005985103021195577
OPMEACPR,0.0005983271479729476
DHDPS,0.0005982996282260972
PMEACPE,0.0005981442795289319
HISTD,0.0005980867480545388
ATPPRT,0.0005978738088422979
UAGAAT,0.0005976608891292108
MECDPDH5,0.0005976110630790219
UHGADA,0.0005974480665369502
DBTS,0.0005972354149676498
