,Coefficient
PYK3,0.003686264685424772
GARFT,0.003456239536981787
4HTHRK,0.00304779538456736
4HTHRA,0.003047524103022673
TRE6PH,0.002869337823663711
GHMT2r,0.002727865461193163
F6PA,0.002602061493208137
DHAPT,0.002599788998712527
MTHFC,0.002407478668616046
MTHFD,0.002407118539970946
OHPBAT,0.001836361394582458
E4PD,0.001833667587805871
PERD,0.001822279412085562
PYK4,0.001767169144094577
DHORD2,0.001727082647091387
G3PD2,0.001668343747475627
ENO,0.001602779821445352
PGM,0.00160130824328202
G3PAT160,0.001566965437658798
G3PAT161,0.001566696693314028
IMPD,0.00153778448237259
PRPPS,0.001509646218466346
GAPD,0.001399935115892648
PAI2T,0.001399544448779254
PAI2I,0.001399303253050718
AI2K,0.001399192972656909
PGK,0.001369838585413312
TRPS3,0.001346636323452689
TRPAS2,0.001302319894945573
PYK6,0.001230274889455269
PYK2,0.001216625384595907
TPI,0.001129446958528581
PUNP1,0.0008192249748406885
ADNK1,0.0008164506567457087
RNTR2c2,0.0007643644739277731
RNTR3c2,0.0007643208017594582
RNTR4c2,0.0007642841955932295
PAPSR,0.0007351216669479985
POR5,0.0007300726869135679
PDH,0.0006667669354914995
TRDR,0.0006611997436299962
CBMKr,0.0006484757647222328
ATPPRT,0.0005969207754852202
UAGAAT,0.0005969199269848546
HISTD,0.0005969139401041587
UHGADA,0.0005969113628224518
DHDPS,0.0005968994537359208
DBTS,0.0005968950493203675
G1PACT,0.0005968773514138535
UGMDDS,0.0005968709599053274
GF6PTA,0.0005968476712313755
ASP1DC,0.0005968390547945249
IGPDH,0.000596810455042649
G5SADs,0.0005967993005437691
DHPPDA2,0.0005967516601726866
PRATPP,0.0005967155579824358
P5CR,0.0005966960900875417
PRMICI,0.0005966561708394715
UAMAGS,0.0005966325626607316
GLUPRT,0.0005965894549009722
UAMAS,0.0005965610342563103
SERAT,0.0005965154720072993
CYSS,0.0005964342904582007
UAAGDS,0.0005963878847441924
NADS1,0.0005963459775892611
U23GAAT,0.000596292559560759
BPNT,0.0005962506036979673
DAPDC,0.0005960396151293931
RHCCE,0.0005959285329811787
OCBT,0.0005959236362990442
DDPA,0.000595796634542661
PHETA1,0.000595673316226614
PPND,0.0005955374991098786
DTMPK,0.000595508986978661
PPNDH,0.0005953528357037174
PRAMPC,0.0005952503868179869
HSST,0.0005951885236746795
TMPK,0.0005950952225440533
SDPTA,0.0005950160303023714
ACOTA,0.0005949337543709517
DHDPRy,0.000594835355812579
PDX5PS,0.0005947660770157886
DAPE,0.0005946465045697133
PPBNGS,0.0005945922692276749
IPDPS,0.0005944494857362655
SULR,0.0005944124180103118
DMPPS,0.0005942443145363303
PPNCL2,0.000594036633363576
KDOPP,0.0005940310103300345
PRAGSr,0.0005938392430778576
KDOPS,0.0005938096005408545
PRFGS,0.00059363616199751
ASPCT,0.0005935801168914476
NNATr,0.0005934274781695526
ASNS2,0.0005933425966074826
AIRC2,0.0005932132801645005
DPCOAK,0.0005930970820545525
OCTDPS,0.0005928436164642572
ADSS,0.0005925822502758837
MOAT2,0.0005925242999005815
PNTK,0.0005923130338062782
ARGSL,0.0005922891147779614
GLU5K,0.0005920488694522058
HBZOPT,0.0005920360168020028
IPPS,0.0005918036525266704
FCLT,0.0005917512542599361
ACODA,0.0005914587979796873
MOHMT,0.000591298648657676
AHCYSNS,0.0005910390498895952
GMPS,0.0005907748357121828
UAGPT3,0.0005902635136958189
CHRPL,0.0005902379986838491
PMPK,0.0005899608683164261
PAPPT3,0.0005899346835933572
CTPS2,0.0005895985011297932
UAPGR,0.0005892550288258338
ADSK,0.0005891360656506548
UMPK,0.0005889043331281642
CYSTL,0.0005882768594798448
ADCL,0.0005882182301075787
SHSL1,0.0005879728514802577
ADCS,0.0005878470298608625
SDPDS,0.0005874688895958091
OPHBDC,0.0005863070734997555
SADT2,0.0005859022759767501
GTPCI,0.0005857920061315532
GTPCII2,0.0005854909908696909
UDCPDP,0.00058546246089162
CYTK1,0.0005851318544989551
DXPRIi,0.0005850733160112842
PTPATi,0.0005846493524937344
GK1,0.0005845017210545012
HPPK2,0.0005842192013746083
DNMPPA,0.0005837829715085029
DHFS,0.0005828384370603944
METS,0.0005810839930724935
NNDPR,0.0005801523057095688
PRASCSi,0.00057969482242458
GLUR,0.0005796693378426147
UAGCVT,0.0005791818632546595
DHPS2,0.0005789649564909593
UAGDP,0.0005786900524814233
PGAMT,0.0005781940289631944
QULNS,0.0005778856095126935
MECDPS,0.0005776940226970255
CDPMEK,0.0005771901331456507
DXPS,0.0005766824819608429
KDOCT2,0.0005756591105536129
G1SAT,0.0005751410184486738
CPPPGO,0.0005749677377226999
AGPR,0.0005746194887778116
DNTPPA,0.0005742697185665862
ARGSS,0.0005740945339942149
ACGK,0.0005724938319529271
GLUTRR,0.000571970518968782
HMBS,0.0005717807370733588
NADK,0.0005714282651800959
MEPCT,0.0005714267340433069
KARA2,0.0005708818863686395
HSTPT,0.0005707327159734612
THDPS,0.0005703848121382999
KARA1,0.0005703310641231185
THRD_L,0.0005700392352099002
DHFR,0.0005696960781642629
PRAIi,0.0005693554409538953
FMNAT,0.0005692274310567127
TYRTA,0.000568697981933537
IPPMIa,0.0005686621105305953
SHKK,0.000568365041727331
DHAD1,0.000568089787560724
PPCDC,0.0005675113095973954
OMCDC,0.0005673802433677998
TMDS,0.0005669266110351535
IG3PS,0.0005667369843453245
MTHFR2,0.0005661571840457898
ADSL2r,0.0005657721060795084
DUTPDP,0.0005655207391721773
DPR,0.0005652035357148851
AMAOTr,0.0005648866943032176
AIRC3,0.0005645792424433453
IPMD,0.0005639729251264458
ACGS,0.0005636360064845651
DHQTi,0.0005633664036703939
ALAALAr,0.000563001954101443
TMPPP,0.0005621837208846944
SHCHF,0.0005617385894890506
TDSK,0.0005615900480669532
PRAIS,0.0005614206481187737
GLUTRS,0.0005610051550134099
PANTS,0.0005608007575098052
LPADSS,0.0005604309982223107
HISTP,0.0005601827622858943
UPP3MT,0.0005598662083992381
DHQS,0.000559550125372
DASYN160,0.0005592346706517883
DASYN161,0.000558919959041984
IMPC,0.0005587961942758441
ADSL1r,0.000558310783277741
AICART,0.0005579990426174104
USHD,0.0005577932306508662
METAT,0.0005571985733486151
UDCPDPS,0.0005568287392345352
MOAT,0.0005563652995286158
MCTP1App,0.0005558661393406268
UPPDC1,0.000555472225890188
UPP3S,0.000555041120892565
GRTT,0.0005546191061770353
DMATT,0.0005542055843361148
AMPMS2,0.0005538724350982756
PSSA161,0.0005535869947424005
LEUTAi,0.0005534220959542349
PSD160,0.0005533039575875824
PSD161,0.0005530234108256382
IGPS,0.0005526442344501797
CHORS,0.0005522702694454169
CHORM,0.0005519044302528172
AGPAT160,0.0005518350288311912
ANPRT,0.0005515467989687358
ANS,0.0005511974213122637
PSCVT,0.0005508564379746027
PSSA160,0.0005505477593076152
ACLS,0.0005505238905704151
AGPAT161,0.0005502987113714139
DHAD2,0.0005501998540127374
ACHBS,0.0005498844051183941
RBFSa,0.0005495776233182914
ORPT,0.0005492795906299014
IPPMIb,0.0005489903903155682
VALTA,0.0005487101047146584
ILETA,0.0005484388116671833
PMDPHT,0.0005479326695141966
A5PISO,0.0005476886036880918
SHCHD2,0.0005474537092621349
RBFSb,0.0005470113771730305
MALCOAMT,0.0005467725897440524
RBFK,0.0005466051767906942
DB4PS,0.0005462354519448472
OGMEACPS,0.0005461590787035383
OGMEACPR,0.0005460146094892871
APRAUR,0.0005459035042145115
OPMEACPS,0.0005458761033053659
G5SD,0.0005455634086739962
OPMEACPD,0.0005455092457305346
OMPDC,0.0005454306610306058
EPMEACPR,0.0005453949206775904
DHORTS,0.0005453063478120996
AOXSr2,0.0005452868133178114
SHK3Dr,0.0005451904411959412
OGMEACPD,0.0005450896582617041
EGMEACPR,0.0005450008517421417
OPMEACPR,0.0005449187129325448
PMEACPE,0.0005448433626069039
THZPSN3,0.0005447544699039569
MECDPDH5,0.0005447132260054559
TYRL,0.0005446874043643366
BTS5,0.0005445047340607468
DHNPA2r,0.0005444833391755982
ALATA_L,0.0005422080334126283
GLNS,0.000524435662478783
PDX5PO2,0.0005142671068815688
ALAR,0.0004788540059052436
PPA,0.0004634620071544767
FADRx,0.0004566708667332366
3OAS140,0.0003869194072612825
3OAR140,0.0003866524930739883
AACPS3,0.0003695104341575749
ACACT2r,0.0003628163800279863
ACACT3r,0.0003622495499008181
HACD1,0.0003576143180693741
HACD2,0.0003569477157225721
ECOAH3,0.0003496881625435289
FACOAE160,0.0003495803619631429
ECOAH2,0.0003471017521994858
ECOAH1,0.0003465666554174099
HACD3,0.0003425997762541431
ACACT1r,0.000337572002663566
AACPS7,0.0003347641002996545
FACOAE120,0.0003281507653122571
ASPO3,0.0003258956578466822
ACOAD7f,0.0003233654080260749
ACOAD3f,0.000322696888993513
ACOAD2f,0.0003224846982003937
ACOAD1fr,0.0003182822486799995
5DOAN,0.0003085011434944881
RNTR1c2,0.000288738345914533
ACACT4r,0.0002659763413017816
ECOAH5,0.0002606296759438233
HACD5,0.0002603676848058818
HACD4,0.0002590109144769063
ACACT5r,0.0002575300001196717
ACACT7r,0.0002382311136589299
ECOAH4,0.0002375538532718306
HACD7,0.0002319518333877517
ACOAD5f,0.0002271715026966341
ACOAD4f,0.0002263071301497408
ACACT6r,0.0002254439841519071
HACD6,0.0002211827614782005
ECOAH7,0.0002093102131641159
ECOAH6,0.0002061467293355046
ACOAD6f,0.0001972477586478673
PPC,0.000190492178706963
AACPS4,0.0001248542239050315
FACOAE161,8.744394239225625e-05
CTECOAI7,7.474585387806884e-05
AMPN,-9.778270921305823e-05
