,Coefficient
4HTHRA,0.00418480394529001
4HTHRK,0.004184681111748628
GARFT,0.003439696126229067
E4PD,0.003208126774451343
PERD,0.003203983187533801
OHPBAT,0.003201795584019565
PGM,0.002786775435448194
ENO,0.002781080201697671
PPC,0.002657276588170708
GAPD,0.002545938484428739
PGK,0.002530796504009039
GHMT2r,0.002504457444429945
PYK3,0.002415624334001989
QMO2,0.002356568954942781
MTHFC,0.002160529289435079
MTHFD,0.002160419854954691
TPI,0.002055207900315266
FADRx,0.001970425369946563
GLYCL,0.001906513742060181
DHORD2,0.001867869807751666
POR5,0.001862051712221831
ICDHyr,0.001672494643422522
SUCOAS,0.001632929794772452
G3PD2,0.001613831520092597
PYK6,0.001576300902794746
PYK2,0.001566246602829729
AKGDH,0.001562307036688209
FESR,0.001556580609240062
FESD1s,0.00155593251900948
PYK4,0.001551621560357664
G3PAT160,0.001545156933692999
G3PAT161,0.001545025154381524
IMPD,0.00151648696372171
ASPO6,0.001501977865844072
PRPPS,0.001459845610052158
AI2K,0.001416209437892244
PAI2I,0.001415986719604742
PAI2T,0.001415817239253853
TRPS3,0.001225501664724375
TRPAS2,0.001212525504536264
TRSARr,0.001105410736642191
RPE,0.001103038579527629
XYLI1,0.000988657165461602
XYLK,0.0009794719826600638
PAPSR,0.000919389629149603
RNTR2c2,0.0008935141376293835
RNTR4c2,0.0008932971215361986
MOX,0.0008479933182149341
OPHHXy,0.0008473422486370832
NADHPO,0.0008470774294932608
ADNK1,0.0008460946185385045
PUNP1,0.0008400343649644859
TRDR,0.0008169487738377161
3OAS140,0.0008150725170996572
3OAR140,0.0008149365593353536
SPODM,0.0008080687977184344
ACKr,0.0006647416530976231
PTAr,0.0006647052031548064
EAR121y,0.0006522612237492421
RNTR3c2,0.0006062582446004016
PPPGO3,0.0006045409622315375
METAT,0.0005640381377820181
GLNS,0.0005639757967465924
TMPK,0.0005457392895921227
PRAMPC,0.0005457383036095773
ACOTA,0.0005457373724445038
PDX5PS,0.0005457325465593998
PPND,0.0005457258765806829
PPBNGS,0.0005457248498878593
PHETA1,0.0005457160368412689
SULR,0.0005457143056491039
OCBT,0.0005456898956048104
PPNCL2,0.0005456851454023363
DAPDC,0.0005456711260367689
PRAGSr,0.0005456662516568663
PRFGS,0.0005456446101533103
BPNT,0.0005456250879617006
NNATr,0.0005456202457860347
NADS1,0.0005455971763279859
AIRC2,0.0005455931922952271
CYSS,0.0005455661839070852
SERAT,0.0005455320925830377
MOAT2,0.0005454973801545595
GLUPRT,0.0005454948932230848
ARGSL,0.0005454598102093039
PRMICI,0.0005454545755525081
GLU5K,0.0005454196940894262
PRATPP,0.0005454111301472805
IPPS,0.0005453770635732663
IGPDH,0.000545315403028464
MOHMT,0.0005452843895580763
GF6PTA,0.0005452625885660333
G1PACT,0.0005452059145492694
AHCYSNS,0.0005451893340076369
DHDPS,0.0005451467725841313
GMPS,0.0005451347341585635
HISTD,0.0005450844648989763
CHRPL,0.0005450778812406408
ATPPRT,0.0005450189879983929
PMPK,0.0005450186827178144
