,SHAP value
ECOAH2,0.00013537191007716447
HACD5,0.00013492456049773148
ACACT5r,0.0001347900324330008
ACOAD7f,0.00013473400679121512
HACD1,0.0001345110215025321
AACPS4,0.00013447368064758392
HACD7,0.0001342646860096286
ACACT7r,0.00013425229136562652
HACD3,0.00013424994784423663
ECOAH1,0.00013409091632398106
HACD4,0.0001339750632431517
ACOAD1fr,0.00013390228410864273
ACACT6r,0.0001338418962911811
FADRx2,0.00013376916267321198
GLUPRT,0.00013374455179521378
ACOAD6f,0.0001336873775885857
FACOAE120,0.00013364634923785314
CTECOAI7,0.00013361580022187448
PSSA160,0.00013354816726078673
MEPCT,0.00013354270917936606
HISTD,0.00013353936470016526
FACOAE160,0.00013349871641869888
ECOAH7,0.00013347286107819937
ACLS,0.0001334628508590291
IGPDH,0.0001334225392515103
ANPRT,0.00013341280596214857
ACOAD2f,0.00013340542812110626
UGMDDS,0.0001333722721641529
ECOAH4,0.00013336909459673964
G1PACT,0.00013335958760522218
DPCOAK,0.00013332541762692819
ACACT3r,0.00013331776610272248
ACOAD4f,0.00013329163380697704
DB4PS,0.00013325943471179772
AHCYSNS,0.00013323596483362778
OPMEACPR,0.00013322985723790355
ECOAH6,0.00013322957670898955
ACACT2r,0.0001331706013289219
SERAT,0.00013311347766258806
OPHHX3,0.00013310532852527996
UAGDP,0.000133100086928441
AACPS3,0.0001330821179324833
HACD6,0.00013307511708486578
RBFSb,0.00013303642864458449
AACPS7,0.0001329953965738592
HMBS,0.00013299381013986202
ALAALAr,0.00013291753280738721
ECOAH5,0.0001329151942870265
ACOAD3f,0.0001328885458148959
TRPS3,0.00013288785546278938
PSSA161,0.00013287337952593042
AICART,0.00013286952267269866
HACD2,0.00013285026852226492
ACACT4r,0.0001328018870905558
FACOAE161,0.00013276833618269828
ECOAH3,0.00013276767794218958
GRTT,0.00013276322388889764
ASPO6,0.00013273285822154693
DNMPPA,0.00013270894523996027
PPA,0.00013270766073071399
THDPS,0.00013269954619256222
A5PISO,0.00013269001974685468
RHCCE,0.00013267970546178702
OGMEACPD,0.00013267448360667142
ASPCT,0.00013266346753147622
DHAD2,0.00013264442157132804
ACOTA,0.00013264164940449908
DXPRIi,0.00013263961169145664
DHFS,0.0001326296269834099
DHDPS,0.00013261430344492414
ORPT,0.00013260848103185014
LEUTAi,0.00013260379072202206
HISTP,0.0001325979826689052
SADT2,0.0001325951554724324
RBFSa,0.00013258697945175372
ACACT1r,0.0001325489079127856
UDCPDP,0.00013254482912063102
MOHMT,0.00013254381740784374
PRASCSi,0.0001325247544958121
PPNCL2,0.00013247489347279092
HSTPT,0.00013245374174749192
TDSK,0.00013243791121322185
ACOAD5f,0.00013242208177414641
EPMEACPR,0.00013239651750036226
ACGK,0.00013237571297756523
DHQTi,0.00013236658270284686
ADSL1r,0.00013236608235748146
PANTS,0.00013236211745112035
DXPS,0.00013234478275630108
PSD161,0.00013232839913345176
AIRC3,0.00013232567540960482
CHORS,0.0001323252702748302
BTS5,0.00013232418946493714
FESR,0.00013231957448713366
KDOPS,0.00013229128948962854
PGAMT,0.00013225727341170486
TRPAS2,0.00013223941391943798
HBZOPT,0.00013223639938140958
UAPGR,0.00013223479915727346
NDPK4,0.00013222507604638108
CPPPGO,0.00013219350645435828
THRD_L,0.0001321909989441433
AOXSr2,0.00013218714719786292
SHK3Dr,0.00013217884434740576
SHKK,0.00013217628288665214
DHQS,0.00013214581866296155
DHORTS,0.0001321355000079371
QULNS,0.00013212433661286555
MOAT2,0.00013212063708963422
AGPAT160,0.0001321109274012603
DMPPS,0.00013211002822582015
DAPE,0.00013210389845549805
DTMPK,0.00013209856236721744
EGMEACPR,0.00013209731892337707
G1SAT,0.00013207937534394338
DHNPA2r,0.00013206803404221671
PMEACPE,0.0001320653948857047
UAMAGS,0.00013206326535152865
UPP3MT,0.00013205775085947511
DPR,0.0001320469274068037
I2FE2ST,0.00013204529830646928
TMPPP,0.0001320304269095404
UAGCVT,0.00013202732417508646
ACHBS,0.00013201074545204707
ADSS,0.00013200730215764787
PPBNGS,0.0001320055488277838
DASYN161,0.0001319667022711243
DNTPPA,0.00013194847611688363
OPHBDC,0.0001319384537908527
DHPS2,0.00013193810338718852
CDPMEK,0.00013192721287739458
ADSK,0.00013192628801091962
IPMD,0.0001319231539997431
DASYN160,0.00013191304915623133
DHAD1,0.0001319109025375937
AMPMS2,0.00013191053182855342
FMNAT,0.00013189931428465626
HSST,0.00013189615543686962
OMCDC,0.0001318892986618487
PPCDC,0.00013188472695848703
GTPCII2,0.00013187009902741487
CTPS2,0.00013185705929008845
DHFR,0.00013184696588261843
UMPK,0.00013183585926321485
PNTK,0.00013183321406547022
CYTK1,0.0001318168255902379
OCBT,0.00013180563770181155
DHDPRy,0.00013180048781305778
ASP1DC,0.0001317959942919398
ADCL,0.00013179239215991138
GLUR,0.00013178300596244143
TMDS,0.00013174923262340357
MCTP1App,0.0001317454608932313
ADCS,0.0001317235197614679
KARA2,0.00013172220273757138
SHCHD2,0.00013170697641965175
AMAOTr,0.0001317062108701172
MALCOAMT,0.0001316962062170327
APRAUR,0.00013168457416445849
FCLT,0.00013168060938751925
MECDPS,0.00013167516161811555
IMPD,0.0001316672650483785
KDOPP,0.0001316578140994553
