,Coefficient
TRPAS2,0.0001023550902404489
DDPA,0.0001023316008636997
DBTS,0.0001020043099856353
PPNCL2,0.0001016784147986772
ATPPRT,0.0001015605870661394
PRAIi,0.0001015018148790354
PGAMT,0.0001014527114078215
ACLS,0.0001014145977655268
DHORD2,0.000101409820188485
APRAUR,0.0001013711534501473
DNMPPA,0.00010128690526073
OPHHX3,0.0001012439906617134
SDPTA,0.0001012111532162515
E4PD,0.0001011948013495171
CYSTL,0.0001011778564457427
PERD,0.0001011066020829146
PDX5PO2,0.0001011027410053351
PRAGSr,0.0001010055069860285
UPPDC1,0.0001009778562363546
DHAD1,0.0001009235603372195
MTHFD,0.0001008945321334515
ARGSL,0.0001008897714552327
DHQTi,0.0001008874319887084
DHNPA2r,0.0001008605126952572
OPMEACPR,0.0001008588796553468
RBFSa,0.0001008572111216579
SHKK,0.0001008458817062364
TYRTA,0.0001008341378955642
PSD161,0.0001008304436011142
PDX5PS,0.0001008195645709613
GLUPRT,0.0001008146143202588
RNTR2c2,0.0001008023519315409
UDCPDPS,0.0001007884522949819
PSD160,0.000100780661539499
PTPATi,0.0001007581059251251
OHPBAT,0.000100722399487522
AIRC2,0.0001007140524086878
GHMT2r,0.0001006995871640622
IPPMIb,0.0001006877224989011
PRATPP,0.00010067541985833
OPHBDC,0.0001006509861666546
DHFR,0.0001006446747366216
DXPS,0.0001006361112806175
CTPS2,0.0001005537602842916
PPND,0.0001005495555746971
TRDR,0.0001005423870348488
KARA2,0.0001005403202188886
G1PACT,0.0001005213011432159
OMCDC,0.000100520593949729
PRMICI,0.000100501378467795
GLUTRR,0.0001004807996394716
RHCCE,0.0001004736279840478
ACHBS,0.0001004648932640486
DNTPPA,0.0001004549046735555
PRAIS,0.0001004533858168293
PRAMPC,0.0001004416869636218
DHPPDA2,0.0001004252019037359
CYTK1,0.0001003877247439355
PRFGS,0.0001003811656069245
PAPSR,0.0001003622917328657
UAGCVT,0.0001003596017783159
PMDPHT,0.0001003321462394586
DHFS,0.0001003282760355916
GLNS,0.0001003000900656402
GLUTRS,0.0001002983513271765
DHDPRy,0.0001002809691878983
EGMEACPR,0.0001002620624741142
FCLT,0.000100259228040842
PRASCSi,0.000100252521158474
SHSL1,0.0001002460665683975
DHPS2,0.0001002329522335893
METS,0.0001002213130343418
DMPPS,0.0001002135952027638
PNTK,0.0001002061551264707
ASPO3,0.0001002036810747327
BTS5,0.000100194617370947
NADS1,0.0001001851170079594
HBZOPT,0.0001001774894937134
ADSS,0.0001001739785606503
UAMAGS,0.0001001727742066069
ASNS2,0.000100157402658416
RBFSb,0.000100131609982023
HISTD,0.0001001235931026747
OMPDC,0.0001001166497415658
OGMEACPD,0.0001001165991054178
ALAALAr,0.000100104611984881
SHCHD2,0.0001000901576811249
MOAT2,0.0001000794418384374
PSSA160,0.0001000645578218354
GK1,0.0001000524204996577
UGMDDS,0.0001000390748526952
CPPPGO,0.0001000193907827185
GLU5K,0.0001000171061796978
CBMKr,0.0001000170919552218
PHETA1,0.000100011143591474
PANTS,9.999794035392439e-05
AIRC3,9.999434428785114e-05
GTPCII2,9.997905047128531e-05
THDPS,9.997024664453817e-05
DMATT,9.996041109973379e-05
THZPSN3,9.994497114669207e-05
ANPRT,9.992646920968076e-05
DHAD2,9.99216531604464e-05
TMDS,9.99166136217856e-05
OGMEACPR,9.991088061946992e-05
HSTPT,9.989708859159934e-05
G3PAT161,9.98913161108309e-05
HMBS,9.98887763187397e-05
ANS,9.987854663583285e-05
IMPC,9.987696850864481e-05
BPNT,9.987058156419543e-05
MOAT,9.986703179133924e-05
DAPDC,9.986226293335345e-05
PPBNGS,9.985924933441719e-05
UHGADA,9.984935133806033e-05
MOHMT,9.983667134846369e-05
METAT,9.983074549397464e-05
KARA1,9.982175400731427e-05
GRTT,9.981649703338462e-05
GLUR,9.981533164815977e-05
CDPMEK,9.979248729562881e-05
IGPDH,9.979192667623438e-05
PMEACPE,9.97870183886878e-05
NADK,9.978665565132426e-05
PPCDC,9.976310599277157e-05
DPCOAK,9.97563980008701e-05
PPNDH,9.975281009491922e-05
DXPRIi,9.974497071344474e-05
A5PISO,9.974487503003075e-05
CHORS,9.973504372063287e-05
KDOPP,9.972684269626653e-05
EPMEACPR,9.972282562901777e-05
HPPK2,9.969386995073754e-05
ADSL1r,9.968906596196747e-05
G5SADs,9.968446567469678e-05
AMPMS2,9.968156997586925e-05
ASPCT,9.964637107830694e-05
