,SHAP value
LPADSS,0.00017021888666487819
MOHMT,0.00016983716931582681
PRAIS,0.0001697594748848679
ACGK,0.0001694693017012594
IGPDH,0.00016941876048121788
DXPRIi,0.00016941487105467758
SULR,0.0001693779364938317
EPMEACPR,0.0001693732644425482
TYRTA,0.0001693647786583315
PPCDC,0.00016917218814753782
RBFSb,0.000169158059162114
NDPK2,0.0001690747550266468
ASPCT,0.00016903777703228381
USHD,0.0001690233769145606
NDPK4,0.00016898907255197168
DMATT,0.0001689868959284227
PRFGS,0.0001689680105507456
MALCOAMT,0.0001689089358028619
PRAIi,0.00016887107809242352
CPPPGO,0.00016885858350687268
PSSA161,0.00016879743736526989
HISTP,0.0001686401623174479
CHRPL,0.00016863092706180231
UPP3S,0.0001686250163999401
NDPK3,0.00016861852261007858
CDPMEK,0.0001685489650344397
PAPPT3,0.0001685406128174627
UAMAGS,0.00016849837210488992
AMAOTr,0.0001684981371326191
DHAD1,0.00016842480429408709
OCTDPS,0.000168413589889586
SERAT,0.00016838803746870734
ILETA,0.0001683758562564682
ARGSL,0.0001683248108925236
PRASCSi,0.0001683102283212451
CHORM,0.0001682807823689922
DXPS,0.00016824885797633068
PANTS,0.0001682331604332744
DMPPS,0.0001682292135547429
SDPDS,0.0001682187429072833
GTPCII2,0.0001681848221164655
ADCS,0.0001681645553026385
ASP1DC,0.0001681412510951561
ACLS,0.0001681404693599436
UAPGR,0.00016812304092424
G1SAT,0.0001680836293585107
HISTD,0.0001680577870976526
NNDPR,0.0001680195510312478
ORPT,0.00016801424315260568
SHSL1,0.00016799532097741383
OGMEACPD,0.0001679735732416036
ADSL1r,0.0001679637839360064
AHCYSNS,0.00016795216825488232
SHCHD2,0.00016792834070792218
METS,0.0001679272482090635
ADSL2r,0.0001679249540931364
ADCL,0.0001678968503012042
CYTK1,0.0001678870225330441
TMPPP,0.0001678667000020364
DAPDC,0.00016786057259661317
NADS1,0.00016783631560273233
DHFR,0.00016776176531939967
MTHFR2,0.00016775513889955468
NDPK1,0.0001677526004659069
DDPA,0.0001677293285465539
ACOTA,0.00016770795054237242
DHQS,0.00016769607602082267
PMDPHT,0.00016766820932027267
DHQTi,0.00016766082313005758
UAGCVT,0.0001676217505314975
DHDPRy,0.00016760274639377018
ATPPRT,0.0001675775062619706
GF6PTA,0.0001675489977177028
KDOPS,0.0001675437637847702
GLUPRT,0.00016753621664169368
HSST,0.000167535568941708
ALAALAr,0.00016751485763640968
PMPK,0.0001675135745589739
IPDPS,0.0001674845690625683
UAGAAT,0.00016747462907867018
GK1,0.00016742454637807633
QULNS,0.0001674078424919218
DHAD2,0.0001673980759121051
G5SADs,0.0001673880893379931
OGMEACPS,0.0001673705040055375
PPPGO3,0.00016733731313690582
IPMD,0.0001673282788923036
UGMDDS,0.00016729446400058818
PSD161,0.00016729269927274483
PNTK,0.0001672897456536087
GLU5K,0.0001672801322270229
CTPS2,0.0001672621066266463
CBMKr,0.0001672565816405403
APRAUR,0.0001672338269537781
OMCDC,0.0001672219115793575
PHETA1,0.00016720568285495143
PPBNGS,0.0001671992171688606
SHK3Dr,0.000167169223823896
CYSS,0.000167151705268647
TMDS,0.00016713593143721382
UHGADA,0.00016712514529549768
GLNS,0.00016711508498381682
IMPC,0.0001670735417470112
NNATr,0.00016706961654726766
OGMEACPR,0.0001670394334774947
IPPMIa,0.0001670156416412111
DHPS2,0.00016701453780296408
CYSTL,0.00016700691871515458
PPNCL2,0.00016697109355742848
PSSA160,0.00016696344823398192
HMBS,0.0001669611831052666
SDPTA,0.00016695201209103759
UAAGDS,0.00016694735309286118
DUTPDP,0.0001669337382271185
PSD160,0.00016690708322813458
UDCPDPS,0.00016688926975014508
MOAT2,0.0001668677716516077
PPA,0.00016685739984398392
OPMEACPD,0.000166849220647873
IPPS,0.00016684587562814442
A5PISO,0.00016682242285262649
PRAGSr,0.000166811400595019
