,SHAP value
DHORD2,9.076965017109488e-05
DXPRIi,8.688521032779517e-05
DHPS2,8.687680603748173e-05
NADS1,8.681241014870609e-05
PRASCSi,8.668701273301721e-05
DASYN161,8.65951967674328e-05
RPE,8.655012441701216e-05
GRTT,8.646303203158762e-05
MOAT,8.645686646358525e-05
METS,8.644308429615865e-05
DHORTS,8.643250291890311e-05
TKT2,8.642327472676916e-05
MTHFR2,8.641955665510145e-05
PSSA161,8.640352282786834e-05
TMDS,8.639661741454208e-05
ADSS,8.638874942237779e-05
IPPMIb,8.638464099848827e-05
RHCCE,8.638203459637598e-05
DHFR,8.636606057529995e-05
ACGS,8.636374198101019e-05
DHQTi,8.636061358957233e-05
IPDPS,8.635824766148159e-05
SHSL1,8.632149814501225e-05
G5SADs,8.631435907003148e-05
DDPA,8.631100984146431e-05
PPNDH,8.630277999372639e-05
UAGDP,8.628686698431421e-05
AHCYSNS,8.62829957622396e-05
IPPMIa,8.627919820074055e-05
AMPMS2,8.626604417099132e-05
IGPS,8.626267681917976e-05
HSTPT,8.626057047559744e-05
DHDPRy,8.624564988016345e-05
PDX5PO2,8.622222758136265e-05
DNTPPA,8.621703056843403e-05
PANTS,8.620860145870128e-05
TALA,8.618916991949723e-05
FESR,8.617500934058537e-05
ARGSL,8.61680015751243e-05
LPADSS,8.616245133898182e-05
G3PAT160,8.615084523008154e-05
PPA,8.61389914882577e-05
MEPCT,8.613772094445624e-05
AGPR,8.613523291049592e-05
DNMPPA,8.612500811271397e-05
MOAT2,8.61120534685062e-05
PPNCL2,8.610221649507829e-05
UDCPDPS,8.609773521427362e-05
SDPTA,8.607259717008259e-05
PSSA160,8.605720758569503e-05
PNTK,8.605666606813819e-05
HMBS,8.604954487027954e-05
MECDPDH5,8.600592273318179e-05
SULR,8.59886138198524e-05
EPMEACPR,8.598198509780732e-05
ASPO6,8.597864404523267e-05
GMPS,8.59732431276504e-05
IMPC,8.596729672668302e-05
ACODA,8.595186692759647e-05
DMPPS,8.595185517889705e-05
DMATT,8.594915427865219e-05
P5CR,8.594882545325055e-05
HBZOPT,8.592274726755733e-05
HISTP,8.592101164604328e-05
PDX5PS,8.590666356258494e-05
UDCPDP,8.590276917573842e-05
HSST,8.589171554763519e-05
DXPS,8.588349270465097e-05
ACLS,8.586926876328931e-05
PSD160,8.586766282305356e-05
OHPBAT,8.586445705050453e-05
GLUTRR,8.586189313451876e-05
OCBT,8.585085216777271e-05
NADK,8.584642088379028e-05
MALCOAMT,8.584291548038521e-05
PRAGSr,8.584200405557778e-05
OMPDC,8.583384828606169e-05
CTPS2,8.583377340111847e-05
DHAD1,8.582992019143857e-05
SHKK,8.580791847556097e-05
PSCVT,8.580511549273626e-05
OGMEACPD,8.579775715617167e-05
G5SD,8.579685900719589e-05
OCTDPS,8.578707089449444e-05
PPCDC,8.576928241228888e-05
UAGAAT,8.576859614797289e-05
OPMEACPS,8.575749859453267e-05
TYRL,8.574342202884859e-05
BTS5,8.573054921276874e-05
SADT2,8.572749181551922e-05
FMNAT,8.572388530612458e-05
CYTK1,8.57157236561759e-05
KARA2,8.56991065925898e-05
AOXSr2,8.569749445515071e-05
AGPAT161,8.568381147377885e-05
NDPK4,8.567392638072313e-05
