,SHAP value
SPODM,7.659342191294123e-05
ASPO6,7.653834307201701e-05
ANS,7.646684575438636e-05
DHPS2,7.639966907145702e-05
TPI,7.631754212256881e-05
PHETA1,7.629422233291056e-05
AIRC3,7.62528006732928e-05
PSSA160,7.621250639598597e-05
OCBT,7.620640464862583e-05
IPMD,7.614050972561079e-05
CHORM,7.601558539975558e-05
HISTD,7.601365294520961e-05
PGK,7.596780022523623e-05
NNDPR,7.594865165683128e-05
DHAD1,7.594503116137181e-05
TYRL,7.59437978063143e-05
ACGK,7.593221742523956e-05
NADS1,7.59292579861403e-05
PDX5PO2,7.59025782942491e-05
SHSL1,7.589389901446407e-05
TRPS3,7.587848010435558e-05
OPMEACPR,7.585252912596485e-05
UAGDP,7.581538326660978e-05
PRFGS,7.580089405096221e-05
PDX5PS,7.578029085814896e-05
THRD_L,7.574491230741829e-05
DHAD2,7.572571861508341e-05
IPDPS,7.571434716078394e-05
FESR,7.571375899232609e-05
SDPTA,7.570485837503611e-05
PMDPHT,7.567431012454236e-05
ACOTA,7.562664521380531e-05
APRAUR,7.561553748177964e-05
HISTP,7.559230466103002e-05
OCTDPS,7.559007124369577e-05
GK1,7.557795577898955e-05
ASNS2,7.556415673733463e-05
OGMEACPD,7.555880342751948e-05
G5SADs,7.553760942327484e-05
AHCYSNS,7.55329719738294e-05
DAPDC,7.552171261940378e-05
UAMAS,7.550673410891906e-05
DHFS,7.548897452927299e-05
RPI,7.547733257443576e-05
DPR,7.547028769819267e-05
AGPAT161,7.546909519171597e-05
DDPA,7.544696530065776e-05
TKT1,7.544264195067087e-05
PPCDC,7.541402469959062e-05
GLUPRT,7.541308105410138e-05
MALS,7.54092941231321e-05
METS,7.539661487745923e-05
UPP3S,7.53780573288977e-05
GLU5K,7.537329050218121e-05
OPHHX3,7.535092274785877e-05
UAPGR,7.53474467452629e-05
A5PISO,7.534075966909778e-05
ACGS,7.533861872591443e-05
PTPATi,7.531693558553502e-05
CPPPGO,7.531630834651256e-05
RBFK,7.530777575167121e-05
UAGCVT,7.529149490289145e-05
DHPPDA2,7.528607807512258e-05
ATPPRT,7.527993467477983e-05
ASP1DC,7.527071665373805e-05
G1PACT,7.527070267536454e-05
UHGADA,7.526823369167225e-05
PPND,7.524709780566475e-05
PSD160,7.523081883489827e-05
GLUTRS,7.521206193783635e-05
DHNPA2r,7.521041493651935e-05
MOAT2,7.519959155043092e-05
I2FE2SS,7.519792837407745e-05
PAI2T,7.519217191754412e-05
DXPS,7.519166994621343e-05
HSST,7.518754961280687e-05
GF6PTA,7.517661506092343e-05
ALAALAr,7.515677463315124e-05
GRTT,7.515661883009262e-05
HPPK2,7.515450998174693e-05
ORPT,7.51449970833253e-05
MECDPDH5,7.514292640249293e-05
IGPDH,7.512513476173687e-05
AIRC2,7.512304599540497e-05
NADK,7.512172290409665e-05
LEUTAi,7.511745604738319e-05
CYTK1,7.511562075117357e-05
TDSK,7.511145424435165e-05
DHDPS,7.510957188616919e-05
IGPS,7.509415237739519e-05
ADSK,7.5079844241936e-05
PAPSR,7.507909762803049e-05
PAPPT3,7.506506287622109e-05
DB4PS,7.506000100016155e-05
MOHMT,7.505840096310918e-05
PMEACPE,7.505220946550627e-05
USHD,7.505069234467563e-05
P5CR,7.500794915743038e-05
PPNCL2,7.500457341920586e-05
AGPAT160,7.500050069483185e-05
DTMPK,7.499655462889419e-05
SHKK,7.498850672755799e-05
CDPMEK,7.498456690984433e-05
TRPAS2,7.498320640431731e-05
PPNDH,7.49757073409201e-05
TMPK,7.496529029001079e-05
DMATT,7.495656289548377e-05
OMPDC,7.495195756076975e-05
BPNT,7.494406221988531e-05
PPBNGS,7.494288777940303e-05
HMBS,7.493472300143857e-05
THZPSN3,7.493090589637441e-05
CTPS2,7.493036606626092e-05
DASYN161,7.491852758980011e-05
LPADSS,7.491442638837671e-05
KARA1,7.490760202901905e-05
MOAT,7.490192873932692e-05
PRAIS,7.490116257007782e-05
UGMDDS,7.488851965976974e-05
NNATr,7.486992936888749e-05
GLNS,7.486716843318133e-05
METAT,7.486580917942896e-05
DAPE,7.482892624328884e-05
PRMICI,7.482216080656588e-05
TALA,7.48219044201256e-05
BTS5,7.482010811483038e-05
DPCOAK,7.480866298433515e-05
DXPRIi,7.48031464293162e-05
ADSS,7.480252950706307e-05
ILETA,7.480027411687009e-05
MEPCT,7.479386047643629e-05
G5SD,7.479260198284545e-05
HSTPT,7.476414966404248e-05
RNTR1c2,7.474214611862943e-05
EPMEACPR,7.473130736782645e-05
DNMPPA,7.472872594376514e-05
PMPK,7.472837161738618e-05
ASPTA,7.472593237080082e-05
DNTPPA,7.472349580357849e-05
UAGPT3,7.471990110015848e-05
CYSTL,7.469374195854216e-05
NDPK4,7.469256046952067e-05
PPA,7.468726735254704e-05
CHORS,7.468274752111294e-05
ADCS,7.46662254143248e-05
UMPK,7.466398517310874e-05
UPP3MT,7.464908549799133e-05
ACODA,7.464764460775517e-05
ADNK1,7.463955670952238e-05
PRAGSr,7.462041767190661e-05
GAPD,7.46171734081981e-05
UAMAGS,7.461381616658551e-05
PGAMT,7.460284807738199e-05
KARA2,7.45980270471864e-05
ACACT4r,7.45978175955419e-05
RBFSb,7.459001715804403e-05
