,SHAP value
PPA,0.00010265889476364644
IPDPS,0.0001025420313976897
ENO,0.00010208611792894825
DXPRIi,0.00010189670002784938
MECDPS,0.00010179481622416165
PGK,0.00010178233610831552
HISTD,0.00010173637325733098
TRPAS2,0.00010170467713773888
SHK3Dr,0.0001016666622649332
SHSL1,0.00010159732193868228
HBZOPT,0.00010157643073429874
ALAALAr,0.00010156185835868884
PGAMT,0.00010154354073935549
GAPD,0.00010152854598097065
DNMPPA,0.00010152162200567898
TYRL,0.00010151445659347484
OMPDC,0.00010151434793148141
DDPA,0.00010149893401720388
KDOCT2,0.000101477802333201
ADSL2r,0.00010144823560386053
UAGAAT,0.0001014312963611466
PDX5PO2,0.00010143053114756916
DHPPDA2,0.00010142814864972472
ANPRT,0.00010141141643189455
PSD161,0.00010140817157110601
PRATPP,0.00010139046870554611
PRAGSr,0.0001013538554650423
DHPS2,0.00010133810019501042
UMPK,0.00010133283607302392
RHCCE,0.00010124931384291996
OPMEACPS,0.00010121092731281942
PANTS,0.00010120418286592302
DNTPPA,0.0001011913692731832
ADSS,0.00010118581879511212
DHORTS,0.00010113086792344292
PAI2I,0.00010108684109031097
PGM,0.000101021487580011
PRMICI,0.00010101599087784608
KDOPP,0.0001010029514582385
ACODA,0.00010097226825891746
IGPS,0.00010095171338446378
GLU5K,0.00010094667116659072
GTPCII2,0.00010090794483523399
IPPMIa,0.0001008867609734566
GF6PTA,0.00010088608782964449
MCTP1App,0.00010087901174977144
AGPAT161,0.00010085204647481407
OPMEACPD,0.00010084814005451507
U23GAAT,0.00010083305271250004
CYSS,0.00010082187511480927
IPMD,0.00010080991405122475
DHQTi,0.00010079545537466664
UPPDC1,0.00010079523035828564
A5PISO,0.00010077833816181363
CHORS,0.00010076034873742208
NNDPR,0.00010074185177204351
DHDPRy,0.00010069907348419618
OGMEACPR,0.00010067040366319294
ARGSS,0.000100657084128279
CBMKr,0.00010065225671580508
GMPS,0.00010063660389280848
UAPGR,0.00010061126708289687
RBFSa,0.0001005853340964744
CPPPGO,0.00010058306244025268
P5CR,0.00010057731574066028
ACOTA,0.0001005436878095796
ACGK,0.00010054115578692619
SHCHF,0.00010053542770798029
ADCL,0.00010049950442633123
DAPE,0.00010049457958318402
AIRC3,0.00010049131406723226
ORPT,0.00010045455394921642
ACOAD2f,0.00010042557302167972
PRFGS,0.0001004088983694382
ARGSL,0.00010040101794481717
DHQS,0.00010039989963940934
G1SAT,0.00010039269879460952
IPPS,0.00010038478949287644
QULNS,0.00010036543130321312
PHETA1,0.0001003590427121534
METAT,0.00010035553288557181
PMEACPE,0.00010035280898659012
GLNS,0.00010034754979768516
ACACT6r,0.00010034081083456075
PMPK,0.00010028154793678638
TRPS3,0.00010027047864575572
DXPS,0.00010026417702466202
PRAIS,0.0001002482017399399
LPADSS,0.00010023460301888994
AHCYSNS,0.00010023413310990491
TDSK,0.00010023234407777522
TMPK,0.00010022070380738428
PSCVT,0.00010020174375377024
OCTDPS,0.00010019680686863464
MALCOAMT,0.00010019095385223162
UDCPDP,0.00010016892607707365
DTMPK,0.00010016832964749435
THRD_L,0.00010013378539377264
MEPCT,0.00010013160243711984
PTPATi,0.00010012924829730588
PMDPHT,0.00010012724773835708
CTPS2,0.00010012584503870536
RNTR1c2,0.000100114109563496
ILETA,0.00010010573443774702
AMPMS2,0.00010009191876803336
DUTPDP,0.0001000910377537402
UPP3S,0.000100079220182049
OPHBDC,0.00010007283861796531
ADCS,0.00010006502891264185
TYRTA,0.00010005034481958763
SHCHD2,0.00010003810003673487
PDX5PS,0.00010002236011254528
DBTS,0.00010000130638548402
DHDPS,9.99920047101658e-05
PRASCSi,9.999109836337788e-05
IMPC,9.995580886514843e-05
DHNPA2r,9.99545854371787e-05
EPMEACPR,9.994253057349317e-05
CDPMEK,9.993562292136545e-05
G5SADs,9.990962705322244e-05
AI2K,9.990886242305164e-05
OGMEACPD,9.990752107978553e-05
DPCOAK,9.99052088494063e-05
PPND,9.990151493160352e-05
SADT2,9.988964514353006e-05
DASYN161,9.987999240926354e-05
SDPDS,9.987210584121472e-05
ACLS,9.985209826237597e-05
DHAD2,9.984821499414404e-05
