,SHAP value
G1PACT,0.0001565851595822238
PYK6,0.00015633772686699936
NADS1,0.00015603090594425915
G1SAT,0.00015596831996868434
DHORD2,0.00015595607292037903
KDOPS,0.00015581566570280463
DHNPA2r,0.00015579599381228504
HSST,0.00015574938693058846
CDPMEK,0.00015567174853640812
RHCCE,0.00015561980481515377
PMPK,0.00015558436834398198
PDX5PS,0.00015551514747187575
OHPBAT,0.00015549160866468133
PYK2,0.00015541602735323336
MOAT,0.00015536237276198288
ARGSS,0.00015534107960334012
UAGDP,0.00015531503351976316
HISTD,0.00015531204714090615
MOHMT,0.00015529327295637824
PPA,0.0001552363422735351
DHAD1,0.00015521690624969775
HBZOPT,0.00015515542065586968
PDX5PO2,0.00015514399394481155
A5PISO,0.00015508513498583808
ASPO3,0.00015503805486066446
TMPK,0.00015494852869298923
NNATr,0.00015486437228611743
DB4PS,0.00015485130107737469
DPR,0.00015481614036040904
MALCOAMT,0.00015479521239219316
DASYN161,0.00015478440294985836
CHORS,0.00015477761703404055
PPBNGS,0.00015477727672742582
OCBT,0.00015474425882382918
DUTPDP,0.00015472532155376146
PAPPT3,0.00015471993482124252
APRAUR,0.00015470623805961578
GLUTRS,0.00015468548293973868
BTS5,0.00015467346564027357
GF6PTA,0.00015466002032149198
OPHHX3,0.0001546255354665906
PYK4,0.00015458421863729385
NADK,0.00015456417224668249
ADSL1r,0.00015454578762911044
DHFS,0.00015451035661046483
ALAALAr,0.00015448343731529115
OCTDPS,0.0001544783439600009
PSCVT,0.00015444858160023668
PERD,0.00015440905053633357
RBFSb,0.00015440839704273918
METAT,0.00015437771206528388
THRD_L,0.0001543537773034217
ACODA,0.00015435162666832438
IPDPS,0.00015434285112847894
OGMEACPD,0.00015433942016357342
GMPS,0.0001543241404152931
OMCDC,0.00015432376674860058
GLUPRT,0.00015432244322505432
MCTP1App,0.00015431912412361596
CHORM,0.00015431886216979538
CHRPL,0.0001542998485151356
ADCL,0.00015429854556318662
ATPPRT,0.00015429342378201838
E4PD,0.0001542924491872729
MECDPDH5,0.00015429230745330735
IGPDH,0.00015429024494208003
HISTP,0.00015428204524793704
SHKK,0.00015427619134840163
UAMAGS,0.00015424807000860702
NNDPR,0.00015424411921201097
PHETA1,0.00015423611839944723
ASP1DC,0.00015422234676087872
PSD161,0.0001542091956550673
UPP3MT,0.00015420299732864546
IPPMIa,0.0001541989681405495
ALATA_L,0.00015419133418818434
HMBS,0.00015417564435914131
UHGADA,0.00015417349880797695
AMPMS2,0.00015416337603246566
GLUTRR,0.00015414649023597085
THZPSN3,0.00015413703816358491
UMPK,0.00015413629967575294
OPHBDC,0.0001541045014086527
SHCHF,0.0001540847250210069
ANS,0.00015408158963233282
GLUR,0.00015407019205276924
AIRC2,0.00015405055262841208
PPND,0.00015404874373696234
IPPS,0.00015403410461649984
TMPPP,0.00015400920703135425
AMAOTr,0.0001540073989957516
OPMEACPR,0.00015400513531719774
MOAT2,0.00015400082854935437
GLNS,0.00015398351600948512
TYRTA,0.00015398236431223006
TMDS,0.00015397862773568164
ADCS,0.00015395792634317524
PPNDH,0.0001539537858417373
KARA2,0.0001539453608375224
METS,0.00015394529504898622
AHCYSNS,0.00015394059836366486
SERAT,0.0001539391132873931
IPMD,0.00015393804781082824
ACGK,0.00015393728140804884
ASNS2,0.0001539276076983534
MTHFR2,0.00015390001398819572
PANTS,0.00015389333727742517
GK1,0.00015387487542230756
PSSA160,0.00015385790871323622
UAGAAT,0.00015385362532130805
ECOAH2,0.00015380072733563616
FMNAT,0.00015379920153282966
ANPRT,0.00015379488804919778
RNTR4c2,0.00015379394308339566
HPPK2,0.00015377077072173124
VALTA,0.00015372220062852474
IMPC,0.00015370963931059099
OGMEACPR,0.00015369250728094168
SDPTA,0.00015366992419197487
PRMICI,0.00015363859053345102
G5SD,0.00015363078844875445
QULNS,0.00015362967393575268
PTPATi,0.00015362619933591696
RBFK,0.00015360064111959154
PRAIi,0.00015358095606824535
AICART,0.00015358053594250566
AIRC3,0.0001535664947323837
DHDPRy,0.00015355924925042504
DDPA,0.0001535538521189989
P5CR,0.00015354766180731118
TDSK,0.0001535394911126272
OGMEACPS,0.00015353506541459258
DMPPS,0.00015350811621625446
GTPCII2,0.00015350622999873244
UPP3S,0.00015349841437565948
UDCPDP,0.00015349291922032757
PRATPP,0.00015348947175063116
PRAMPC,0.0001534826983544526
DASYN160,0.00015347882741015105
ACGS,0.0001534744360273434
CYSS,0.00015346585534288735
DHDPS,0.00015345679465443758
UAGCVT,0.00015344604984970028
USHD,0.00015342416447272788
DNMPPA,0.00015341731115306356
DPCOAK,0.00015338305118718952
DXPS,0.00015336429068494906
DHQS,0.00015335510791492405
DAPDC,0.00015335419534231038
PSD160,0.00015335068131275064
ORPT,0.00015334042677738572
AGPAT160,0.00015332752814469473
DBTS,0.00015330195316524362
PRASCSi,0.00015329733292770468
RNTR1c2,0.00015328816341058204
UDCPDPS,0.00015325802288490255
RNTR3c2,0.0001532560145206663
SHK3Dr,0.0001532266539516384
UAGPT3,0.00015321888107895732
LPADSS,0.00015321762264809867
EPMEACPR,0.00015319225486697097
DHQTi,0.00015316266803681132
ALAR,0.00015313576544782932
DTMPK,0.00015311113260860844
OMPDC,0.0001530978410306883
CYTK1,0.00015309396431464886
LEUTAi,0.00015308668867868502
PMDPHT,0.00015308540835020835
KDOPP,0.00015307071359658593
DNTPPA,0.00015306956574845195
ARGSL,0.00015306945273835192
IG3PS,0.00015299565475360497
PPCDC,0.00015299060504988404
G5SADs,0.00015298831270003772
MEPCT,0.00015298588667909003
4HTHRK,0.0001529533031156601
FCLT,0.000152944644625046
DHAD2,0.00015291967280945063
ADSL2r,0.000152917417800697
PRFGS,0.00015291679137386234
PGAMT,0.00015288620173252752
ACHBS,0.00015288499157645576
SDPDS,0.00015287924623395578
KDOCT2,0.00015287047971972826
SHCHD2,0.0001528623176777052
DHPS2,0.00015285140607589659
PPNCL2,0.00015284747321652538
ILETA,0.00015284209815015205
GTPCI,0.0001528333240092778
IGPS,0.00015282855423215071
THDPS,0.00015276641114179726
POR5,0.0001526803662520386
CYSTL,0.00015267831790009837
OPMEACPS,0.0001526775857155807
ADSS,0.00015264719638454814
PAPSR,0.0001526442969810856
DHPPDA2,0.00015261233716153214
UAPGR,0.0001525389066256295
SULR,0.0001525308543325353
ASPCT,0.0001524598452977754
EGMEACPR,0.000152458174631789
UPPDC1,0.0001524291392474461
DHORTS,0.00015242597620085947
PRAGSr,0.00015240872246654718
ACOTA,0.00015240483070679952
AGPAT161,0.00015240313898082328
PSSA161,0.00015239427618538972
ADSK,0.00015238566849833584
TYRL,0.0001523825966481542
RNTR2c2,0.00015237973626826786
OPMEACPD,0.00015236279171154934
ACOAD1fr,0.00015236256038905533
PMEACPE,0.00015234553364783322
TRDR,0.00015234424485516393
U23GAAT,0.00015233568986445614
IMPD,0.00015231814214473142
ICYSDS,0.00015229914526175114
GARFT,0.00015228057779250896
GLU5K,0.0001522800403634542
PNTK,0.00015220284951464932
UAAGDS,0.00015218441170175985
GHMT2r,0.00015217132283286799
SADT2,0.0001521539018151373
UAMAS,0.00015214309781818265
CPPPGO,0.0001521251254933631
DMATT,0.00015212450420223046
KARA1,0.0001521238456183162
PPPGO3,0.00015207913576331393
RBFSa,0.00015207297867683977
CTPS2,0.00015206865533332184
DAPE,0.00015201279330640877
BPNT,0.00015197558061181115
PAI2T,0.00015197523921510727
4HTHRA,0.00015193226889127713
I2FE2SR,0.00015192734322418033
ACLS,0.00015189337142724338
HSTPT,0.00015182726391277469
TRPS3,0.0001518202755562642
IPPMIb,0.00015178320645302458
PAI2I,0.0001517596359587661
DHFR,0.00015174087441125806
TRPAS2,0.00015172826456186166
AI2K,0.00015170155789818776
MECDPS,0.0001516862874678535
AGPR,0.00015166560289020168
I2FE2ST,0.00015164392706827552
ACOAD2f,0.0001514839948940483
ACOAD7f,0.00015144105319661924
DXPRIi,0.0001513852408325077
AOXSr2,0.0001513530998680695
CBMKr,0.00015126831360087436
GRTT,0.00015120697015837988
UGMDDS,0.00015114263226073863
FACOAE160,0.00015101824880367015
MTHFD,0.00015098919046187416
ECOAH3,0.00015091220897576774
PRAIS,0.00015090367292830537
SHSL1,0.00015088801913199114
ACACT2r,0.0001508678429773474
G3PD2,0.00015082033099093436
HACD2,0.00015080917577859482
ACOAD3f,0.00015078164015814986
I2FE2SS2,0.00015066423596497394
AACPS7,0.00015054260719225048
FACOAE120,0.00015041108550383294
HACD3,0.00015036923607900058
ACACT1r,0.00015034479416370142
ACACT3r,0.00015014150005453528
PUNP1,0.00015009451605943138
ECOAH1,0.00015009288942776717
I4FE4ST,0.00015007325982474416
AACPS3,0.00015006076332851832
GLUDy,0.0001499348938824767
I4FE4SR,0.00014957962329437596
G3PAT160,0.00014953674595410182
5DOAN,0.00014948490565202356
PPC,0.00014942835989815631
ADNK1,0.00014931365852108191
G3PAT161,0.00014898671568818283
I2FE2SS,0.00014894560472028794
ASPTA,0.000148832147779879
MTHFC,0.00014874254101709185
PRPPS,0.00014835714598722126
ACOAD5f,0.00014822169045518516
HACD1,0.00014816353445737163
HACD7,0.00014770957185585522
ECOAH7,0.00014718168810863528
ECOAH5,0.00014714925243541189
ACACT6r,0.00014702526379259523
ECOAH4,0.0001470146954153909
ACOAD4f,0.00014698753945638934
HACD4,0.00014691149989714143
ACOAD6f,0.00014681187195269004
ASPK,0.00014624985560743683
ECOAH6,0.00014600954247773114
ACACT7r,0.00014594908341913486
RPI,0.00014590977622529314
AACPS4,0.00014564345263833208
HACD5,0.00014543985219396682
ASAD,0.00014518234098712942
L_LACD2,0.00014513220270159506
ACACT5r,0.00014507295645839732
HACD6,0.00014488383743650944
ACACT4r,0.00014462668126715043
FACOAE161,0.00014448607037270846
FADRx,0.00014431426177400974
CTECOAI7,0.00014431199079300433
3OAR140,0.00014413722775381943
3OAS140,0.00014407584334941246
LCADi,0.0001428878066602259
TKT1,0.00014152292617819023
RPE,0.00014112403331822796
TPI,0.00014109274752724895
GND,0.00014086352378368572
GAPD,0.00014085581007813262
PDH,0.00014081040364970454
TALA,0.00014040897106904702
TKT2,0.000140179267304621
HSDy,0.00013997881979759818
FCI,0.00013836911598983506
FCLK,0.00013786151507794172
PGM,0.00013756488512039572
PGK,0.00013708558317481153
FCLPA,0.00013688742276100614
NADTRHD,0.0001363229273226378
ENO,0.00013630599014165733
PSP_L,0.00013610814838693248
HSK,0.00013586422989947977
PSERT,0.0001358184640361054
PGCD,0.0001354336510713197
THRS,0.00013311421886058283
PGL,0.0001317407956298785
G6PDH2r,0.00013110545546853383
PGI,0.00013062660100376968
PTAr,0.0001283171261918817
ACKr,0.0001275316535079267
HCO3E,0.00011816037780140251
ICDHyr,9.659810198724238e-05
ACONTb,8.224545376024469e-05
CS,8.050258852792465e-05
ACONTa,8.030529174160067e-05
FUM,7.864525336472024e-05
SUCOAS,7.313043106084286e-05
GLYCL,7.071976089981124e-05
PYK3,5.605791786874792e-05
MDH,4.273982648765852e-05
ADK3,4.186299455155335e-05
