,SHAP value
IMPC,0.00019358984940122528
ASP1DC,0.00019350011611532836
ARGSL,0.00019321810290051888
ACOTA,0.00019309240713704474
DXPRIi,0.00019305701121737916
TMPK,0.00019301089976538063
DPCOAK,0.00019297600466688488
OGMEACPR,0.00019297040607552007
PAPPT3,0.00019293597969234706
NADK,0.00019280314425407268
PRAGSr,0.00019255966354229736
PTPATi,0.00019239390094477507
PPNDH,0.00019228882311379567
PDX5PO2,0.00019223890588062983
GK1,0.00019210748466242652
DUTPDP,0.00019197567562532345
CTPS2,0.00019191810160852288
PSD161,0.00019188066689654137
QULNS,0.0001918293466952881
AICART,0.00019174687900629423
UAGPT3,0.0001917273734015055
NNDPR,0.00019171995521601048
SHK3Dr,0.0001917004667877752
SHCHD2,0.00019151944430498315
GLUPRT,0.00019148535578897787
RBFSa,0.0001914430565998458
PSSA160,0.00019143647260564794
G3PAT160,0.00019143184277495802
SDPDS,0.000191407763378626
CYTK1,0.0001913773867813416
PSCVT,0.00019136458498688588
OGMEACPD,0.000191361513741173
IPPMIa,0.00019135301111012306
GLU5K,0.00019129791630497864
DHPS2,0.00019126123879584675
MCTP1App,0.00019125601015274632
CBMKr,0.00019122589267267992
SHSL1,0.0001911810187626725
UAGAAT,0.00019115379989408592
UAGDP,0.00019115205395789275
USHD,0.00019114972250169388
U23GAAT,0.0001911422014279336
PRAIS,0.00019113246212064012
OPMEACPR,0.000191110311252705
DHFR,0.0001910949246871586
PRATPP,0.00019109036323291354
HSTPT,0.0001910037752952183
ADSL1r,0.00019097854708370244
TMDS,0.0001909496675071713
KDOPS,0.0001909347936987118
HMBS,0.00019090315878097806
PRMICI,0.0001908909091795695
PAPSR,0.00019088468196118088
MOAT2,0.00019088255087329597
UPPDC1,0.00019085740273566088
APRAUR,0.00019084813483631456
MTHFR2,0.0001908480582508145
DMPPS,0.00019083403016300463
LPADSS,0.0001908299926236668
NADS1,0.0001907958371701847
CYSS,0.00019078367142818137
A5PISO,0.00019078293392001643
IGPDH,0.00019078158699382342
G5SADs,0.00019077983465047173
UHGADA,0.000190776729685699
UPP3MT,0.00019076525919202995
UDCPDPS,0.00019069447075463196
PPCDC,0.00019068666376501813
IPPS,0.000190673588687084
DTMPK,0.0001906647230215452
SULR,0.00019065355512393347
OPHHX3,0.00019065095137102268
ASPCT,0.00019064917010549318
LEUTAi,0.00019058907950731
ALAR,0.0001905703739030272
CYSTL,0.00019055068044026427
CHORM,0.0001905476914836947
OMCDC,0.00019052464040850018
PPND,0.00019051202479832571
ADSL2r,0.00019046465177528608
IGPS,0.0001904636078447704
ILETA,0.00019046146129087304
DAPDC,0.00019044581002699768
TYRL,0.00019042323528641034
OPMEACPD,0.0001903977275454607
VALTA,0.00019036835358833684
HPPK2,0.00019036248998287813
G1PACT,0.0001903608242932344
ACODA,0.00019035788833783997
G5SD,0.0001902871885033824
DB4PS,0.00019027802756198177
ASNS2,0.00019027362698853092
DHNPA2r,0.0001902696010071756
UAMAS,0.0001902669458391715
AIRC3,0.00019025853834573733
GLUTRR,0.0001902562854368465
DASYN161,0.00019024617565584318
