,SHAP value
GAPD,7.797204931317455e-05
ENO,7.70110542430712e-05
PGM,7.672088201087529e-05
PGK,7.642825467075774e-05
DUTPDP,7.422100783587238e-05
ACGK,7.388779555183398e-05
UHGADA,7.376353637608412e-05
DHQTi,7.360012224010511e-05
DHFR,7.356304310376429e-05
AHCYSNS,7.354648688896024e-05
ADSL1r,7.350641226524258e-05
SADT2,7.349730064335742e-05
EPMEACPR,7.344972598503379e-05
OPMEACPR,7.341455690060529e-05
IG3PS,7.337035796209788e-05
CYSS,7.334120997962299e-05
G3PD2,7.331204318984466e-05
IPMD,7.329467610533346e-05
DAPE,7.328856996216073e-05
G3PAT161,7.324506136227611e-05
VALTA,7.322885750647995e-05
THRD_L,7.319807890256677e-05
DXPRIi,7.316408869980066e-05
DB4PS,7.315751881092433e-05
CTPS2,7.314851425058568e-05
CYSTL,7.314203773873374e-05
IMPD,7.3116727938447e-05
MTHFR2,7.310832673583356e-05
PAPPT3,7.307937760184916e-05
PRAIS,7.304768153250064e-05
SDPDS,7.301096195071885e-05
DPCOAK,7.300115360834078e-05
UAMAS,7.299607124904318e-05
MOHMT,7.298703762510295e-05
PRASCSi,7.297270535201969e-05
UAGPT3,7.296395835937355e-05
P5CR,7.293807396865774e-05
ARGSS,7.293230915048059e-05
DHFS,7.291737238635787e-05
PPNDH,7.290777458042022e-05
ADCS,7.289433589244827e-05
CHORS,7.289140559982906e-05
GLUR,7.289043265947425e-05
MOAT,7.286313997032463e-05
UAPGR,7.285959848686197e-05
GRTT,7.283251959686976e-05
ADCL,7.281768220047389e-05
GTPCI,7.280846162815191e-05
AMPMS2,7.280107502051607e-05
GLU5K,7.278469460680144e-05
CPPPGO,7.274638713640484e-05
AOXSr2,7.27396034889882e-05
AGPAT161,7.273893324568106e-05
IPPMIb,7.272351589436416e-05
GLUTRR,7.271189995119949e-05
OPMEACPS,7.27115992832148e-05
UAGDP,7.269817920631735e-05
PANTS,7.269707649552548e-05
SDPTA,7.268834098682762e-05
DHQS,7.268818480820274e-05
SHKK,7.268420875216438e-05
G1SAT,7.267606817657165e-05
UAAGDS,7.266727044276592e-05
KDOPS,7.26634940778624e-05
TMPPP,7.265021386338153e-05
KDOPP,7.262989747902042e-05
G5SADs,7.261808965177197e-05
MTHFD,7.26155287382475e-05
TMDS,7.261461772861646e-05
PRAIi,7.260634328655791e-05
NADK,7.259664884595314e-05
ASPCT,7.259364172284777e-05
