,Coefficient
PGK,0.00011393313589808212
GAPD,0.00011234963205890647
PGM,0.00011182181004990427
ENO,0.0001112866957164154
GMPS,0.00010839172399077816
USHD,0.00010829593685470523
DAPDC,0.00010821547330572296
ACHBS,0.00010809238007717643
TMPK,0.00010806028119269756
IPPS,0.00010799979507912509
DHPS2,0.00010795309424429054
PSSA160,0.00010793250400701029
DTMPK,0.00010786657509206722
GTPCII2,0.000107818908441882
DHQS,0.00010781734180585253
MOHMT,0.00010779947485913017
AIRC3,0.00010775799079501501
PMDPHT,0.00010762862495367322
CHORM,0.00010758375781158456
DMPPS,0.00010755637112918157
UAPGR,0.00010753823299278857
GK1,0.00010751752430375205
DHFR,0.00010751406766891492
MEPCT,0.0001075106723179271
ADSL2r,0.00010745434662488228
IG3PS,0.00010744494324434553
PPND,0.0001074252807410174
MECDPS,0.0001074048135820053
ACLS,0.00010734935580409245
DUTPDP,0.00010733788633591495
UDCPDPS,0.0001072911795017791
KARA1,0.00010727771269320471
MOAT,0.00010723118503766769
DPR,0.00010721624484172037
HPPK2,0.00010718457157858474
NADK,0.00010715665196781138
DASYN161,0.00010715528018915939
SHSL1,0.00010715332640967203
SDPTA,0.00010713122213190535
THRD_L,0.00010711076201497065
DHPPDA2,0.00010710642921879817
OGMEACPR,0.00010709122710477724
ADCL,0.00010707257519888321
PSD161,0.00010699744218588613
OPHHX3,0.00010697417597225972
BTS5,0.00010696717840715628
AGPR,0.00010695619035290631
CYSTL,0.0001068848084418373
TDSK,0.00010687489189167719
SDPDS,0.00010685239591357306
ADSS,0.00010685132970186266
GLUTRS,0.00010683846878268191
UMPK,0.000106829684579975
ADSL1r,0.0001068114533815252
LEUTAi,0.00010680701419770206
NNATr,0.00010678553931994976
ATPPRT,0.0001067391036301087
SHCHF,0.0001067281403302959
VALTA,0.00010671585090782824
AMPMS2,0.00010668661741382417
PMEACPE,0.00010668526672976323
FMNAT,0.00010667034352989859
G1PACT,0.00010665631624989382
OMPDC,0.00010665025217077965
IPMD,0.00010664294837147507
DXPRIi,0.00010664158647669065
UAMAGS,0.0001066325446440107
IPPMIb,0.00010662361726326483
HMBS,0.00010662008035577862
ILETA,0.00010661210083674174
DNTPPA,0.00010660518766384718
DHFS,0.00010659928260915288
ANS,0.00010658940887764767
PGAMT,0.00010657624918242008
UGMDDS,0.00010657424539054386
MALCOAMT,0.00010656548241213821
APRAUR,0.00010656499650563077
CHORS,0.00010654592692175161
PSCVT,0.00010654140116403562
U23GAAT,0.00010654020879487938
DHAD2,0.00010653391704115466
UDCPDP,0.00010652975890959173
PRFGS,0.00010652910528647914
GTPCI,0.00010652088743907102
BPNT,0.00010650713504148487
QULNS,0.00010648448644959289
P5CR,0.00010647996336008957
PPCDC,0.00010645278934170194
ASP1DC,0.00010644859309908716
PNTK,0.00010643481893506867
PRASCSi,0.00010643343614064843
DMATT,0.00010642297518732987
CPPPGO,0.00010642215382448285
PTPATi,0.00010639999116941044
IGPDH,0.00010639255621124481
UHGADA,0.00010639097296593554
PRATPP,0.00010638866791300587
METS,0.00010636619994425032
RBFSb,0.00010636504916187348
DDPA,0.00010636129204991751
UAMAS,0.00010632105878530566
EGMEACPR,0.00010631314211373899
ASNS2,0.00010630705023391245
AGPAT161,0.00010629581121368578
GLU5K,0.00010627452861672385
NADS1,0.00010625788815793956
GLNS,0.0001062539386541498
DHDPS,0.00010624188533344353
DHQTi,0.00010623065300390138
MCTP1App,0.0001062223469963192
ADCS,0.00010621523330397344
PRAIS,0.00010620292142680893
PSSA161,0.00010617830022319002
GF6PTA,0.00010616569291580244
OPMEACPS,0.00010616405671556132
DASYN160,0.00010615915158479444
G5SADs,0.00010614706171494896
PRAIi,0.00010614580481885225
GRTT,0.00010613469782642456
UPPDC1,0.00010612032148124722
PRAGSr,0.00010611421834948744
ARGSL,0.00010610167799600704
ADSK,0.00010609830717051281
SHK3Dr,0.00010605572965328594
AIRC2,0.00010605475908072492
UAAGDS,0.00010604558038897918
MTHFR2,0.00010604257116131513
SHKK,0.0001060425566137191
OPMEACPD,0.00010604172876562319
ALAR,0.00010603414456495423
DPCOAK,0.00010601475043618373
RBFK,0.00010600868959367216
OGMEACPD,0.00010599681272000343
IMPC,0.00010599633979198541
G1SAT,0.00010598015271582117
AHCYSNS,0.00010596697196000342
UAGCVT,0.0001059593721514948
TYRL,0.00010592669361025716
KDOCT2,0.00010591137858329851
CDPMEK,0.00010588905226222435
OPHBDC,0.0001058806857914565
ARGSS,0.00010586017527259442
FCLT,0.00010585933407013365
HSTPT,0.00010585475946405221
DHNPA2r,0.00010584728042326656
DNMPPA,0.00010583611057342775
HSST,0.00010583262766208233
OCTDPS,0.00010581966985172839
MOAT2,0.00010581566771135477
SHCHD2,0.00010578723112151763
UAGPT3,0.00010578587609660407
UPP3MT,0.00010577512688648763
A5PISO,0.00010570366288219918
OCBT,0.00010569809558104968
UAGAAT,0.0001056883816718607
PRMICI,0.00010568683715699559
PPA,0.00010567143606269168
HBZOPT,0.00010564673676974147
PDX5PO2,0.00010564389742697433
METAT,0.00010563175421474595
G5SD,0.00010562904858429405
IMPD,0.00010561511280602998
ALATA_L,0.00010561479102872358
KDOPS,0.00010561399799853273
DXPS,0.00010560917410687749
SULR,0.0001056000669644727
PPBNGS,0.0001055803898575597
HISTP,0.00010556864020467237
PAPSR,0.00010556604987485144
ORPT,0.00010553623370164254
CYTK1,0.00010552364166539119
ASPTA,0.00010551676168888064
ACGS,0.00010549453990436498
GLUTRR,0.00010547992075715404
RNTR1c2,0.00010547222189430513
DB4PS,0.00010546019310180353
DHORTS,0.00010545807139414719
NNDPR,0.00010545263952372909
CTPS2,0.00010543804467482935
AGPAT160,0.00010542298964782309
PMPK,0.00010539850065138775
PANTS,0.00010539740167427069
RHCCE,0.00010535171573949995
PPNDH,0.00010534993070141405
AMAOTr,0.00010533498682030492
THDPS,0.00010531968105503389
AICART,0.00010531582735125983
THZPSN3,0.00010530630573665164
LPADSS,0.00010528317021681426
ANPRT,0.0001052761912713701
DBTS,0.00010526469880272837
TRPAS2,0.00010526468928676047
AI2K,0.0001052533770417845
IPDPS,0.00010523818354214181
CHRPL,0.00010523589333350945
UPP3S,0.00010519315685084455
ICYSDS,0.00010518048350562313
ACODA,0.00010518000338866782
DHAD1,0.00010515361363653869
HISTD,0.00010513899295473285
OPMEACPR,0.00010512021083677596
KDOPP,0.00010511553808682159
IPPMIa,0.00010508111851925861
G3PD2,0.00010507755031467473
GLUPRT,0.00010505929511497129
OGMEACPS,0.00010505041401638893
IGPS,0.00010503688048681665
TMDS,0.00010501479644172821
OMCDC,0.00010497864756149517
TRPS3,0.00010494626460208901
PAPPT3,0.00010494395054189117
EPMEACPR,0.00010492873462344015
ASPCT,0.00010490642393347284
ALAALAr,0.00010489147202903096
ACGK,0.00010487071250772112
SERAT,0.00010482678218956857
TMPPP,0.00010482584449098334
AOXSr2,0.00010482275110019249
PHETA1,0.00010481818356643661
UAGDP,0.00010480843356037145
PSD160,0.00010477627318686198
CYSS,0.00010475373652868219
CBMKr,0.00010474229179884818
DHDPRy,0.00010472612761851677
POR5,0.00010468105308638077
DAPE,0.00010467811647986219
GLUR,0.00010464152518627231
RBFSa,0.00010456671907774616
I2FE2SS2,0.00010451096170723676
I4FE4SR,0.00010447952249245058
MECDPDH5,0.0001044465892669021
TPI,0.00010444221988894535
PPPGO3,0.00010438954382750258
PDX5PS,0.00010432780591558324
I2FE2SS,0.00010430663328708008
TYRTA,0.00010429825111777468
RNTR4c2,0.00010418017011140498
RNTR3c2,0.00010416035524271768
TRDR,0.00010415080547360222
KARA2,0.00010409557069228622
G3PAT160,0.00010407981687712209
I2FE2ST,0.00010399532485066148
PPNCL2,0.00010399097810222672
SADT2,0.0001039759071551387
ACOTA,0.0001039510319534853
RNTR2c2,0.00010391171897535954
PRAMPC,0.00010380736363797209
ADNK1,0.0001037907992831848
PGI,0.00010374073170224211
3OAR140,0.00010350945626715036
E4PD,0.00010348307811237441
PAI2T,0.00010343978775507333
G3PAT161,0.00010334127994329088
5DOAN,0.00010330877157608877
I4FE4ST,0.00010328973410127801
MTHFD,0.00010284884645579558
PPC,0.00010284824811190269
ASPK,0.0001027368541989446
ASAD,0.00010273672008231523
PERD,0.00010270022064080054
