,SHAP value
PHETA1,0.00017592854043410892
ACHBS,0.00017505324693417712
UPP3MT,0.00017499896724401702
METS,0.0001745819559166907
ASPCT,0.00017456246184915702
IPMD,0.00017444244788397895
ANS,0.0001744147186496118
DB4PS,0.00017434479043961634
PRATPP,0.00017428661565423574
PSSA160,0.00017426632234442658
DHPPDA2,0.00017424243368342561
EPMEACPR,0.00017417420536357993
NNATr,0.00017415880975839475
OGMEACPR,0.00017415417945335475
THRD_L,0.0001740733565092488
KARA2,0.00017406933379684602
DXPS,0.0001740679618957284
UMPK,0.00017403457945698234
PMDPHT,0.0001740323733752985
PANTS,0.00017402739231361336
DNMPPA,0.00017399657154438202
DXPRIi,0.00017396697299095558
ACODA,0.00017391882330001522
DHORTS,0.00017390165099307432
SHK3Dr,0.0001738645496550373
OMCDC,0.00017385017873658502
GLUTRR,0.00017380979768840042
DHDPRy,0.00017378816162012063
HISTP,0.00017370741717722814
DAPDC,0.00017367637884219237
GK1,0.00017361112124935444
PPND,0.00017359926972071059
UPPDC1,0.0001735726061627632
PPBNGS,0.00017355272509572795
OPMEACPD,0.0001734947824785243
GLUR,0.000173449884804238
DHPS2,0.0001734032714443671
BPNT,0.0001733994005877542
IPPS,0.00017333603732277923
P5CR,0.00017330792781153592
DASYN160,0.00017329852445138201
UAPGR,0.00017326401402517342
UAGCVT,0.00017325542666143335
PMPK,0.0001732267575037407
DPR,0.00017321674163255958
DASYN161,0.0001732083141455631
PPA,0.00017319380238507018
ADCL,0.00017319074092905548
OPHHX3,0.00017317408760583164
RBFSb,0.00017317224870447878
DUTPDP,0.00017316838224530964
SHCHD2,0.0001731571799906708
PRAIS,0.00017314271625184794
AGPAT160,0.0001731398106737125
SHSL1,0.0001731013427990996
MEPCT,0.00017304872507459154
PDX5PO2,0.00017302880128420257
DTMPK,0.0001730147223999564
G5SD,0.0001729576796381355
CHORM,0.00017293207229321597
GLNS,0.00017293018414511223
AGPAT161,0.00017290505049687052
TMDS,0.00017289584550229467
MOAT2,0.0001728743750627797
DMATT,0.0001728631719643883
ARGSS,0.00017286172433445863
ACLS,0.00017285054798597778
SADT2,0.00017284784037634732
NADS1,0.00017281781908828504
OCTDPS,0.0001727943544767829
ARGSL,0.0001727939607145856
PAPPT3,0.00017277539208365652
ALATA_L,0.00017277280016363624
CDPMEK,0.0001727521391026619
DHDPS,0.00017274940602227777
AHCYSNS,0.00017273266019621818
TYRTA,0.00017271692788873317
DAPE,0.00017270992851384573
GLUPRT,0.00017269398061989732
AMAOTr,0.00017268837598904046
PSSA161,0.0001726705846922296
HPPK2,0.00017263312294221015
G1PACT,0.0001726292378685569
SDPTA,0.00017262694921436198
FMNAT,0.00017262483809672867
LEUTAi,0.00017261527343659388
SERAT,0.00017261189930712853
IPDPS,0.00017258871904772367
MECDPS,0.00017254911456823254
DHFR,0.0001725279771416052
ORPT,0.00017250140149968276
TDSK,0.00017250140100373335
MALCOAMT,0.00017249355761730578
UAMAS,0.00017246565328322806
ADSL1r,0.00017245036896807692
DHAD2,0.000172446328542819
PPCDC,0.00017243965018554224
DHNPA2r,0.0001724339810922324
RHCCE,0.00017242950849888602
ADSS,0.000172399052883478
EGMEACPR,0.00017239846620171925
AGPR,0.00017239504799985923
IPPMIb,0.00017239001447834996
RBFSa,0.0001723882556164219
CHORS,0.0001723753786348879
HISTD,0.00017234529587055412
PGAMT,0.0001723402435697275
HMBS,0.00017233705643081223
ADSL2r,0.00017231669098271158
USHD,0.0001723155565914157
DDPA,0.00017230440508095665
OPMEACPR,0.00017229552519597638
APRAUR,0.00017229142003267263
MOAT,0.00017228823974185784
QULNS,0.00017227758794016634
ALAR,0.0001722733761462236
PMEACPE,0.00017227123165298568
GTPCI,0.00017226716760683378
SHCHF,0.00017224751029419817
THZPSN3,0.00017222337656050545
PSCVT,0.00017220797429374837
PTPATi,0.00017219395942180612
HBZOPT,0.00017217072544158983
I4FE4ST,0.00017216354393675143
OPMEACPS,0.00017215924036414272
A5PISO,0.0001721511320201199
DHFS,0.00017214807075578551
DBTS,0.0001721201344639548
TRPAS2,0.00017211177987975414
ASNS2,0.00017210798129784066
UDCPDP,0.00017209569729272818
G5SADs,0.00017209407771023868
OCBT,0.00017209250579381283
KDOPS,0.00017208944177883446
IGPS,0.00017207132626521822
PRAIi,0.0001720382066786837
MECDPDH5,0.00017202716129045657
G1SAT,0.0001720220916242429
ACGS,0.00017201353595644664
UAGAAT,0.00017199491708584042
PNTK,0.00017197692434939616
TMPK,0.00017197288726905386
GRTT,0.0001719470227612911
GLU5K,0.00017193627050932073
PRAGSr,0.00017191847878916642
LPADSS,0.00017190266120679232
OPHBDC,0.00017189832872124573
ACOTA,0.0001718970572549545
