,SHAP value
DHORD2,0.00010902816630014382
DXPS,0.00010608624194748974
CHRPL,0.00010575889989345556
ACOTA,0.00010574055330518712
DXPRIi,0.00010551686767634856
NADK,0.00010549250433011064
ASPTA,0.00010540423734277424
HSST,0.00010533557006879524
GRTT,0.00010532379591338596
UMPK,0.0001052486997328077
G5SADs,0.00010520035081208448
EPMEACPR,0.0001051859698289
DASYN161,0.00010513241138915776
AIRC3,0.00010508964533214034
PPA,0.00010508645476107552
PPCDC,0.00010507081420577056
CYSS,0.0001050706763648374
DHAD1,0.00010505591343258166
PRAGSr,0.00010500769248165824
UAGDP,0.00010500571866435668
PGAMT,0.00010496290729998604
ADCL,0.00010495017091996036
HBZOPT,0.00010494327966920476
ACLS,0.00010493780123801389
ASNS2,0.00010492107457041838
PRAIi,0.00010490038590490931
PANTS,0.00010488230191116148
TDSK,0.00010485986080213168
OPMEACPR,0.00010481433396020407
PPNDH,0.0001047917254613159
DUTPDP,0.00010478863880281169
U23GAAT,0.00010477567910388565
TYRL,0.0001047359186755327
CTPS2,0.00010472905592509568
HISTP,0.0001047136878329794
ADSL1r,0.00010471170660785836
MOAT2,0.0001047073478141806
ACGS,0.00010469007986782176
DPR,0.00010468675797867983
METAT,0.00010461278017269596
CHORM,0.00010458823962397826
OGMEACPD,0.00010458488007873542
ALAALAr,0.0001045720827156313
GTPCI,0.0001045603823066069
DASYN160,0.00010454526202499472
DMATT,0.00010454191700681685
GTPCII2,0.00010453962929801441
AKGDH,0.00010453337602440902
IGPDH,0.0001045314574096295
RBFSa,0.000104529160506657
ACONTa,0.00010452645097684976
ARGSL,0.00010452607585110828
CS,0.00010451811085482641
DMPPS,0.00010451759514748224
PRAMPC,0.00010451355135170529
NNDPR,0.00010450525155449012
DHORTS,0.00010449181255187184
GLUPRT,0.000104485652805409
UAGAAT,0.00010448064300684323
RNTR4c2,0.00010446437613541788
SULR,0.00010445768174301124
DDPA,0.00010445214720678956
PMPK,0.00010445114627587366
PSSA161,0.00010443236235556796
UAMAS,0.0001044244750655092
ORPT,0.00010441860180684888
UAMAGS,0.00010441530833456914
PMDPHT,0.00010439031901056912
TMDS,0.00010438101903401651
GMPS,0.0001043806267828672
PRPPS,0.00010437149442043758
KDOPP,0.00010436917787979598
MALCOAMT,0.00010435304455458402
MECDPDH5,0.00010433774868288195
APRAUR,0.00010432113691386025
ACODA,0.00010430627196506462
ASPCT,0.00010430409986288968
UPPDC1,0.00010429151738465084
HPPK2,0.00010428937478656779
IG3PS,0.00010428446415145134
GLUTRS,0.00010427316110487828
DHDPRy,0.00010426269412742524
KARA1,0.00010426072106832292
SHKK,0.00010423876501577635
DNTPPA,0.00010423660312562436
OPHBDC,0.00010421379291113797
DNMPPA,0.00010420672868275228
UDCPDP,0.00010420047782349182
SHCHD2,0.00010418740665020956
FUM,0.0001041771547643322
LEUTAi,0.00010415796738556441
PNTK,0.00010414520773685648
FCLT,0.00010413583487251676
DHPS2,0.00010412751125304108
HMBS,0.00010412515455048502
FMNAT,0.00010411531482156548
CYTK1,0.00010411514641622584
PMEACPE,0.00010409848736629373
ASP1DC,0.00010408417594648164
ACHBS,0.00010407922430562757
PRATPP,0.00010407207212224627
IPPMIb,0.00010406214715549509
DHQS,0.00010404693218745173
CDPMEK,0.00010404404751645154
ALATA_L,0.00010403102125122804
RNTR1c2,0.00010402995784374268
DHQTi,0.00010402880922487552
ICDHyr,0.00010401262271165323
G5SD,0.000104006522371597
RNTR2c2,0.00010400630808867204
UPP3MT,0.00010398744071126454
PPC,0.0001039859485074499
OCTDPS,0.00010397200776804436
G1SAT,0.00010396586988261688
LPADSS,0.00010394979702662241
PSD161,0.000103916461690494
SHSL1,0.00010390896683296867
GLU5K,0.00010390586202907348
PPPGO3,0.00010389964841050404
PRFGS,0.00010389873797797449
