,SHAP value
ICDHyr,0.00011576676268958116
ACONTb,0.00011536125675798169
SUCOAS,0.00011523838652074253
SUCDi,0.00011523685544640728
ACONTa,0.0001151469254463582
FUM,0.00011498286422254394
AKGDH,0.00011458486391271152
GTPCII2,0.00011419298518430762
THZPSN3,0.00011400790834231053
PRAIS,0.00011385127799968892
CS,0.0001137748243585838
G1SAT,0.00011374305127275274
MOAT,0.00011372664378995748
UAGAAT,0.00011364763473021573
DBTS,0.00011359145069481108
PRAIi,0.00011357865301264155
BPNT,0.00011355450333242246
UHGADA,0.00011354280861164287
PDX5PS,0.00011353252082836028
AMPMS2,0.00011352077782405478
TYRTA,0.00011347349594188847
GF6PTA,0.0001133816380454105
SDPTA,0.0001133517771770023
UAGDP,0.00011334457264804963
HSTPT,0.00011331505185701562
AICART,0.00011325353017612488
ADSL2r,0.00011324474770842086
TMPPP,0.000113149459348373
AHCYSNS,0.00011313783532707505
U23GAAT,0.00011313545903547061
KDOPS,0.0001131327673148419
DAPDC,0.00011312802483656196
NDPK4,0.00011310650452398757
CYSTL,0.00011310493125860064
ASPCT,0.00011309775588750847
UAMAS,0.000113072577144727
EGMEACPR,0.0001130106077497025
SADT2,0.00011299754752152993
DPR,0.00011292993768275454
NADS1,0.00011291524583057225
GLUR,0.00011290532520418077
CDPMEK,0.00011289350341646434
PRAMPC,0.00011288182476301775
OPHBDC,0.00011286604967496611
OPMEACPR,0.00011285216574431628
OGMEACPS,0.00011285103518747764
ILETA,0.0001128326768568321
ACGK,0.00011282328171932388
PAPSR,0.00011282280904737625
DUTPDP,0.000112819538003626
PPND,0.00011277719330286867
PANTS,0.00011277510063893033
MCTP1App,0.00011276839682597041
DMATT,0.00011276601862434563
MEPCT,0.00011276264865994144
SHK3Dr,0.0001127576485128125
NDPK3,0.00011275069923397404
PSD161,0.00011274935086174268
PPCDC,0.00011273631057629409
G3PAT160,0.00011272435945723638
PNTK,0.00011267686621158865
PRMICI,0.00011266658115571332
CYSS,0.00011265719822355205
ACODA,0.00011264430293228215
GLUPRT,0.00011264417158022724
IGPDH,0.00011264163175595049
G5SD,0.00011263458623648235
ASP1DC,0.00011262199304685584
DNMPPA,0.00011262151889936367
GMPS,0.00011261584258296761
ANS,0.00011261434597442812
IG3PS,0.00011260240795560244
ALATA_L,0.00011259107746637795
