,SHAP value
PAPPT3,0.00012499000161538072
GTPCI,0.00012497522760868672
IPPMIa,0.00012472964564615968
GLUR,0.00012465415824610757
UMPK,0.0001242877707897415
ACGK,0.00012428092446252042
AGPAT160,0.00012422494996024424
ACHBS,0.00012421048629498684
USHD,0.000124159549753932
CYSTL,0.00012415406183443782
PSD160,0.00012412045171625836
PRAMPC,0.00012406269456856914
DMATT,0.00012399732293358676
SDPDS,0.00012398666079042713
UPP3MT,0.0001239662770083809
RBFSa,0.0001239478200087111
GLNS,0.000123930420814809
METAT,0.00012381933637014964
AICART,0.0001238063769964387
OGMEACPR,0.0001237738933704343
DHDPS,0.00012373181383496155
IMPC,0.00012372907225992915
OCTDPS,0.00012370969992306734
DDPA,0.0001237027708578465
KDOPS,0.00012369332034916776
PHETA1,0.00012356838408588046
TYRL,0.00012353297802016858
UAGPT3,0.0001235299849430697
ALATA_L,0.0001235169934795015
CYSS,0.00012348599899377876
DHQS,0.00012347850420498855
G1SAT,0.00012347006001264116
OGMEACPD,0.00012346364976088546
A5PISO,0.00012345049180642216
SHCHD2,0.0001233979342770666
RNTR1c2,0.000123352129499687
DPR,0.00012332106727285883
DXPRIi,0.00012331862286589542
THZPSN3,0.0001232880065704742
GTPCII2,0.0001232845175434428
TDSK,0.0001232492683227694
OCBT,0.0001232337191201088
TRPS3,0.00012322655334999613
PMDPHT,0.0001232013099812467
KDOCT2,0.00012319680454691783
PSSA161,0.00012317773479282877
IPPS,0.00012316718829639191
UAGAAT,0.00012316068195479052
G5SD,0.00012314099836900592
G1PACT,0.0001231296645924881
HPPK2,0.00012312572479755896
IG3PS,0.0001231187121967747
DNTPPA,0.00012307788147161754
AIRC3,0.0001230659750816239
PRAIS,0.00012304498605815854
G5SADs,0.00012303648626862368
UDCPDPS,0.0001230276233518651
DNMPPA,0.0001230240010846468
ADSL1r,0.00012302386000938352
SULR,0.00012300079998085815
ACOTA,0.00012300021340644132
ANS,0.0001229927544163861
OPHBDC,0.00012298238842777882
DHDPRy,0.00012293455792099104
G3PD2,0.00012293266153931762
ADCL,0.00012292194910810158
MOHMT,0.00012290305520118818
PRATPP,0.00012289969321126464
CTPS2,0.0001228945343749237
CYTK1,0.00012288483498011532
BTS5,0.00012284544185099558
AHCYSNS,0.00012284498954617828
EPMEACPR,0.00012284438617837944
CDPMEK,0.00012283276188736414
DMPPS,0.00012282105756672781
ANPRT,0.0001227656286872401
CHORM,0.00012276313345793954
BPNT,0.00012276134364061711
ALAALAr,0.0001227573396333295
SERAT,0.00012273349645557262
UAGCVT,0.0001227215637494396
ATPPRT,0.00012266639186225646
PSSA160,0.0001226437377207414
PPA,0.00012263664285785822
SHSL1,0.00012261581744882108
IPPMIb,0.00012261139908524105
UAMAS,0.00012258834185773697
UAMAGS,0.00012258615797273471
GF6PTA,0.0001225781468559859
THRD_L,0.00012256032158362832
TMPK,0.00012255500682853009
LEUTAi,0.00012255247435317144
NADS1,0.00012252677456336993
MECDPDH5,0.0001225222102990905
DASYN160,0.00012251709614756855
DHAD2,0.0001225119660516522
FCLT,0.00012250405442404362
TRPAS2,0.000122491852833936
U23GAAT,0.00012247022602406216
UPPDC1,0.00012246721063424322
OGMEACPS,0.00012245363790163404
GRTT,0.00012245139625264586
RBFSb,0.0001224503298686381
PRASCSi,0.00012243959830078702
RHCCE,0.00012238996824874494
PMPK,0.00012235016872568606
ACGS,0.00012234682959658924
HMBS,0.00012234237541430194
DXPS,0.00012234067570177657
NNDPR,0.00012229262170198078
SHKK,0.00012226080051379705
APRAUR,0.0001222562176929715
AMPMS2,0.00012225443137310496
KARA1,0.00012224078069440568
NNATr,0.00012223126606839278
DBTS,0.00012222674074186687
LPADSS,0.0001222139789911208
THDPS,0.00012221205870233655
PRAIi,0.00012218715482215672
DHPPDA2,0.0001221855820145797
PPCDC,0.00012215336744656355
DAPDC,0.00012214365318908655
IGPS,0.00012213556383717784
ECOAH1,0.00012213202977762983
AIRC2,0.00012213074088031247
DPCOAK,0.00012212453404294315
PPNDH,0.0001221194097106798
TMPPP,0.0001221156527104119
AMAOTr,0.00012209583908289614
IPMD,0.0001220931744283033
AOXSr2,0.00012208984779542455
DHNPA2r,0.00012208489597169005
HBZOPT,0.00012203710613414287
GLUPRT,0.00012202649365012383
NADK,0.00012201389781472861
PGAMT,0.000121994644222265
KARA2,0.00012197179720759021
MALCOAMT,0.0001219691318076136
MOAT2,0.00012196414667806924
PRMICI,0.00012195018750111352
AGPR,0.0001219449904618638
AGPAT161,0.00012194484433182219
CHRPL,0.00012193992271267307
DAPE,0.00012191233970282275
TMDS,0.0001219121112330178
KDOPP,0.00012190230343150068
OPMEACPD,0.00012186593021734326
ACOAD2f,0.00012186306398835927
PDX5PO2,0.00012186120498394504
DHPS2,0.0001218523651955979
HISTD,0.00012184448988865083
OPMEACPS,0.0001218412983158771
DHAD1,0.00012183615704678071
PPNCL2,0.00012181475600403415
PSCVT,0.00012180801963568724
UGMDDS,0.00012180681248731909
PPND,0.0001217932569654332
ECOAH2,0.00012178192000985923
DB4PS,0.00012175485556962456
G3PAT161,0.00012175288568606721
PAPSR,0.00012174001788014905
DHFS,0.00012172404555827432
HSST,0.00012171956448756696
GMPS,0.0001217009199956898
PRFGS,0.00012169685266989336
CHORS,0.00012167968975307456
TYRTA,0.00012167086824689866
ACLS,0.00012163925364310766
MTHFC,0.00012163523265768985
UPP3S,0.00012162216565072817
SDPTA,0.00012161884799812834
DHQTi,0.00012161219571357827
DASYN161,0.00012158715811272261
PDX5PS,0.000121584662714068
GLUTRS,0.00012157873786706424
PANTS,0.00012157268109418528
ARGSS,0.00012155702711692061
PSD161,0.00012155244320197788
PNTK,0.00012154734311082776
PMEACPE,0.00012153862793862258
CPPPGO,0.00012151032459213135
P5CR,0.0001214937068074717
PTPATi,0.00012146873751774267
ASNS2,0.0001214664428193936
RBFK,0.00012146592066809949
FACOAE160,0.00012145097708680683
ARGSL,0.00012143798210006628
MOAT,0.00012138572100188584
DTMPK,0.00012136984636677375
UHGADA,0.00012136352826922805
GLU5K,0.00012136335577534406
ADSK,0.00012135055990558321
ORPT,0.00012134933690136316
OMCDC,0.00012132454967852207
MECDPS,0.00012132070817888401
PRAGSr,0.00012129949205311953
PAI2T,0.00012126541015603523
ASPCT,0.00012120402077822434
SHCHF,0.00012116480826981177
ASP1DC,0.00012115144763590437
SADT2,0.0001210978555652423
DUTPDP,0.00012109776705794912
PPBNGS,0.00012109426877449707
MCTP1App,0.00012108172482568867
GK1,0.00012105616260549808
HISTP,0.00012098322382075733
5DOAN,0.00012096441141973535
ACOAD1fr,0.00012095168983720312
HSTPT,0.00012094848956055715
UAPGR,0.00012094499548381918
G3PAT160,0.00012093960153540627
AACPS3,0.00012092887017442742
MTHFR2,0.00012092390668193608
SHK3Dr,0.00012089532575925835
ACACT1r,0.00012089502646103799
OMPDC,0.0001208834394805811
OPHHX3,0.00012087558947763212
ALAR,0.00012086684492110593
DHFR,0.00012086365343113721
METS,0.0001208457305767455
PRPPS,0.00012082770860511876
UAAGDS,0.00012081367944898237
RNTR2c2,0.00012080653371704434
FACOAE120,0.00012078403401133184
FMNAT,0.00012072559368255657
AACPS7,0.00012071872132559976
GLUTRR,0.00012064865860814682
UAGDP,0.0001206436315393908
EGMEACPR,0.00012063000832100449
ADCS,0.00012061776442562795
UDCPDP,0.00012053877359454544
ADSS,0.00012053361620552483
ACOAD7f,0.0001205333370256272
QULNS,0.00012052977276543538
DHORTS,0.00012051062896432825
RNTR3c2,0.00012048937911292687
ILETA,0.00012046977879991391
PPC,0.00012043238656607581
ACOAD3f,0.00012041516065283915
AI2K,0.00012041057113066963
OPMEACPR,0.00012040950387807978
ACODA,0.00012040826883718635
VALTA,0.00012040291438592966
IPDPS,0.0001204021885335212
ADSL2r,0.00012024596214157683
MEPCT,0.0001201733802606598
I2FE2SS,0.00012005302110620127
IGPDH,0.00011987599929462329
ECOAH3,0.0001198241254599129
CBMKr,0.00011982125845187922
HACD3,0.00011977551303307994
HACD5,0.00011970868045069958
I4FE4SR,0.00011969751297583189
HACD2,0.00011958790004122348
IMPD,0.00011950367678531892
ASPTA,0.00011946105987704224
I4FE4ST,0.00011942242727641254
