,SHAP value
ACLS,0.00011325256058494396
AMPMS2,0.00011287833871741023
DASYN160,0.0001128333524591796
PSD160,0.00011258070642137636
IG3PS,0.00011257900709757334
ATPPRT,0.00011257287085886761
RBFSb,0.00011256759861678557
CHORS,0.00011240816071545906
DHFS,0.00011226596285157841
UAPGR,0.00011226020782600283
CTPS2,0.00011219151684290318
ALAALAr,0.00011216324183772845
DMPPS,0.00011214327403607457
SHCHD2,0.00011214133064798132
AOXSr2,0.00011208932238105548
HPPK2,0.0001120243556677167
MECDPS,0.00011202169000173281
HISTP,0.0001120167262231757
PSSA160,0.00011201351081452054
AHCYSNS,0.00011200692015789266
TMDS,0.0001120055874010987
CYSTL,0.00011196175548234158
NADK,0.00011191716263494982
UDCPDPS,0.00011191502366054136
CHORM,0.00011190964851121199
ACHBS,0.0001118670210027503
METS,0.00011185275237849695
ARGSS,0.00011178649531638081
PRFGS,0.00011177359443526055
PAPPT3,0.00011174702217776787
THRD_L,0.00011173301505611145
GK1,0.00011173042078250703
HISTD,0.00011172780463959606
P5CR,0.00011172040471218284
DPR,0.00011171838916412924
UAGCVT,0.00011169768981504518
DHNPA2r,0.00011169339223075176
LPADSS,0.00011168905263485305
PHETA1,0.00011168294953371204
ACGK,0.00011167787083869907
DHDPRy,0.00011165800172976895
U23GAAT,0.00011165164949778655
PPBNGS,0.000111650777941857
PDX5PS,0.00011164251008580966
UPP3MT,0.00011164176599145252
G5SD,0.00011162548957430193
PNTK,0.00011162133447444912
GLNS,0.0001116211781460981
PRAMPC,0.00011160171616824438
QULNS,0.0001116007485580062
UAMAS,0.00011159244845794452
GLUPRT,0.00011158316505605428
LEUTAi,0.00011156725959287734
DBTS,0.00011156546997863787
IPPMIa,0.00011156526808887661
CBMKr,0.00011155356795609118
IGPDH,0.00011152758553880432
AICART,0.00011150878670387964
ANS,0.00011149801429889102
OCTDPS,0.00011148527032304624
ADSK,0.00011147570488829968
HSST,0.00011147314531767163
NNDPR,0.00011146947591354064
PANTS,0.00011143062956712748
OPMEACPS,0.0001114296706903106
ACOAD6f,0.00011142346896507468
THDPS,0.00011140053166982883
DXPS,0.00011139821963232085
ARGSL,0.00011139592923263322
USHD,0.00011138653846491875
GF6PTA,0.00011136739815424675
SDPDS,0.0001113615587638539
ADCS,0.00011135893992460032
OMPDC,0.00011135839072486736
ASNS2,0.00011135614683414706
DHDPS,0.00011134575917729656
DAPDC,0.00011134122503522139
UPPDC1,0.00011131900779199426
CDPMEK,0.00011130685347626841
OPHHX3,0.00011130553874370669
DHAD1,0.0001113054816602066
DTMPK,0.00011129958719091482
PRASCSi,0.00011129618993470014
DASYN161,0.00011127622984737729
HBZOPT,0.00011126955170997256
DHORTS,0.00011126220490878393
PPA,0.00011125360669604343
UPP3S,0.0001112431294752775
OPMEACPR,0.00011123556199348457
PRATPP,0.00011121529271754265
KARA2,0.00011121373250036496
ALATA_L,0.00011120853231621985
KDOCT2,0.00011119905145534493
AMAOTr,0.00011119190479672085
DHQTi,0.00011118903676528288
AIRC2,0.00011116192015447584
BTS5,0.00011116127723044834
FCLT,0.00011113407599351906
SDPTA,0.00011112848609624564
DHQS,0.00011108316711870201
OMCDC,0.00011108310931056333
VALTA,0.000111081827149005
KDOPP,0.00011107849046032248
IPDPS,0.00011107669472413479
NADS1,0.00011106479716053624
TYRTA,0.00011106459037889881
RPI,0.00011105553422616863
DHFR,0.0001110357234695334
IPPS,0.00011102628104215224
ADSS,0.0001110108400034794
GAPD,0.00011100772319408754
UAGDP,0.00011100287141656132
HMBS,0.00011099589476675601
UAGPT3,0.00011098666888569009
PSD161,0.00011098382937753483
IPPMIb,0.00011098038853055412
ORPT,0.00011097706841978347
PSCVT,0.00011097556798741443
AACPS7,0.00011097205963971341
MOAT2,0.00011096702040837876
TDSK,0.00011096203285420419
THZPSN3,0.00011094584998960933
OGMEACPD,0.00011093676202061167
A5PISO,0.00011091764004021265
RBFSa,0.00011091067943164448
METAT,0.00011090233451234053
TKT1,0.00011089138458864375
TMPPP,0.00011088718355569461
ACGS,0.00011088543295070469
EGMEACPR,0.00011088330814710161
PGK,0.00011088113831997364
IPMD,0.00011085923833366204
PMEACPE,0.00011084642624421672
UGMDDS,0.00011084508435770427
PRAGSr,0.00011082386609371748
TYRL,0.00011081014534501665
OPMEACPD,0.0001108100762569371
NNATr,0.00011080781206175149
IMPD,0.00011080629111205625
TMPK,0.00011080138803970849
DNMPPA,0.00011079985272953841
ILETA,0.00011079219819671964
PTPATi,0.00011078910369979155
UHGADA,0.00011076889507997388
PRAIi,0.00011076263633650212
MTHFR2,0.000110755131210205
SHCHF,0.00011075472597113025
GMPS,0.00011075177331480612
ADSL1r,0.00011073979128052324
UDCPDP,0.00011073584155893711
G1SAT,0.00011072329451923836
SHSL1,0.00011071407150520769
DUTPDP,0.00011070811030430024
TALA,0.00011070411131444417
DHAD2,0.00011070302388528626
AGPAT161,0.00011068780333257451
DB4PS,0.00011068518447403854
KDOPS,0.00011068199645080069
UAMAGS,0.00011068163293510571
MCTP1App,0.00011067854359453396
HSTPT,0.00011067305881950609
ECOAH6,0.00011066930257978452
TPI,0.00011064192124432464
ASPCT,0.00011064056323661514
AIRC3,0.00011064043397810559
DHPPDA2,0.00011061545856895803
CYSS,0.00011061019191325413
CHRPL,0.00011059746949590835
UAAGDS,0.00011056828391673159
PMPK,0.0001105626672546948
RBFK,0.0001105620734681999
PMDPHT,0.00011054327587460163
GLUTRS,0.00011054065654873245
TRPS3,0.00011053431936113894
CYTK1,0.00011052756587021223
BPNT,0.000110513227990672
EPMEACPR,0.00011049821282300591
GLUR,0.00011045322681526336
OCBT,0.00011044931732818963
PPNDH,0.00011044792350673526
FACOAE160,0.0001104452797166978
DMATT,0.00011043895084228657
G1PACT,0.00011043884287036702
SULR,0.00011043326318217822
PPND,0.00011042553875128401
PRMICI,0.0001104242929121926
UMPK,0.00011042275272216216
I2FE2SS,0.00011041947716762949
APRAUR,0.00011041698654857002
ASP1DC,0.00011038952436285812
DPCOAK,0.00011037754202449152
ALAR,0.00011036759603685512
PPCDC,0.0001103427203168166
GRTT,0.00011031991219999939
PGAMT,0.00011030689857799363
SHKK,0.00011030378793899285
TRPAS2,0.00011030149124605935
PRAIS,0.000110300172057976
SHK3Dr,0.00011029542188173037
GTPCI,0.00011027741521254924
ADSL2r,0.00011027228050404023
GLUTRR,0.000110267873057425
IGPS,0.00011025724256784378
MALCOAMT,0.00011024993421352537
I4FE4ST,0.00011021530860619964
ACODA,0.00011020775458364173
DHPS2,0.00011020289291381923
DXPRIi,0.0001101975033813508
DAPE,0.000110179203328679
IMPC,0.0001101768598036252
I2FE2SR,0.00011016687784667095
MOAT,0.00011015486622708792
OGMEACPR,0.00011013754764904449
ECOAH2,0.00011013408621305483
AGPR,0.00011012825389550767
ANPRT,0.00011010608760935569
GLU5K,0.00011008833802287768
OPHBDC,0.00011007342572717693
RPE,0.00011006390275779536
ECOAH4,0.00011005021256028096
SADT2,0.0001100307125498275
SERAT,0.00011002982867728382
PSSA161,0.00011002864237344498
MECDPDH5,0.00011002228699756604
PAPSR,0.00011001974239866126
HACD3,0.00011001584302441617
ADCL,0.00011000722368887243
E4PD,0.00010999408993242624
ECOAH5,0.0001099746401731302
ASPO6,0.00010995906498329844
AGPAT160,0.0001099402800842537
PAI2I,0.00010993012805513759
I2FE2SS2,0.00010985847201623676
HACD1,0.00010984507492364218
KARA1,0.0001098301023260963
MEPCT,0.00010977768169771046
FACOAE120,0.00010977696913338216
FESD1s,0.00010977456850426696
PPPGO3,0.00010975143486127309
PAI2T,0.00010972900773689007
AACPS3,0.00010972364733887858
GTPCII2,0.00010971800366469825
ACOAD7f,0.00010971667199415927
ACACT6r,0.00010969639668691124
CPPPGO,0.00010968418595550235
MOHMT,0.00010966124173100645
ACOAD2f,0.00010962565853043134
UAGAAT,0.00010961428357913504
ACACT5r,0.00010959138907388491
TKT2,0.00010958709111387306
ACOAD1fr,0.00010952320242777974
FESR,0.00010950246525569359
ACACT3r,0.00010949931570559718
ACOTA,0.00010948891752585996
HACD4,0.00010948426748426412
G5SADs,0.00010948296423204677
ECOAH3,0.00010945419393965924
RHCCE,0.00010943428689827346
G3PAT160,0.00010942310525012964
DDPA,0.00010940050406018913
ACOAD4f,0.0001093562661657534
ECOAH1,0.00010935406515586162
ICYSDS,0.00010933512899621751
I4FE4SR,0.00010930373747772274
ASPTA,0.00010925197276109432
HACD2,0.00010923317694275948
5DOAN,0.00010920328956297455
PPNCL2,0.00010917897053553055
ADK1,0.0001091616363211176
ACACT1r,0.00010915889421075818
ACACT7r,0.00010915702741984504
ECOAH7,0.00010912569224803056
OGMEACPS,0.00010912326038510529
RNTR1c2,0.00010909653575343161
ACOAD3f,0.00010907387507950916
I2FE2ST,0.00010905400351499518
ACACT2r,0.00010895559976456464
G3PD2,0.00010894695290043134
PRPPS,0.00010891086863225251
FMNAT,0.00010890074473357984
4HTHRA,0.0001088817428960328
AI2K,0.00010886794472380263
DHORD2,0.00010884903573494335
DNTPPA,0.0001088405461077476
PERD,0.00010883746640168664
ACOAD5f,0.00010881498777046425
FACOAE161,0.00010875465559389884
ACACT4r,0.00010873038288862403
HACD7,0.00010867274059224643
HACD6,0.00010858592473669258
PUNP1,0.00010855578508076886
AACPS4,0.00010853714725624224
CTECOAI7,0.0001084246542668327
HACD5,0.0001084070145436011
G3PAT161,0.00010834114210538387
OHPBAT,0.00010809135447142864
4HTHRK,0.0001078985198918876
FUM,0.0001075981475496494
CS,0.00010742573804555472
FADRx2,0.00010697408298798741
ADNK1,0.00010668723949457863
ACONTa,0.00010655935016864063
PDX5PO2,0.00010628552571497144
AKGDH,0.00010579483861218237
GLUDy,0.00010577603130594828
ACONTb,0.00010567821919866118
GARFT,0.00010561409527604741
ICDHyr,0.00010556317281520552
