,SHAP value
ACODA,7.805279061692783e-05
DHFR,7.798110475983964e-05
NADS1,7.777278113964498e-05
AGPR,7.769478744666619e-05
DPCOAK,7.76887785936958e-05
HMBS,7.76418488137341e-05
DAPDC,7.76072986431984e-05
PRASCSi,7.758317149895186e-05
DHDPRy,7.756739116883864e-05
UPP3S,7.756081947331646e-05
PSCVT,7.753915340248694e-05
AHCYSNS,7.75256051300347e-05
CTPS2,7.752329456998086e-05
DPR,7.750070998725708e-05
UAMAGS,7.747265924770713e-05
EGMEACPR,7.744928076553488e-05
DHQS,7.74311667748487e-05
METAT,7.74206565943262e-05
PRAIS,7.741766150600883e-05
HBZOPT,7.740970968510021e-05
CYSTL,7.740080164114439e-05
DTMPK,7.739826181635781e-05
NDPK3,7.735622642696716e-05
PDX5PS,7.73390055754207e-05
IG3PS,7.733786853397641e-05
PRMICI,7.733604751754715e-05
THDPS,7.730070911333319e-05
GLUPRT,7.72914148141973e-05
SHKK,7.728009685455566e-05
ACGK,7.726008179926955e-05
CHRPL,7.72544805105577e-05
ACGS,7.725344099748144e-05
MALCOAMT,7.725233478019079e-05
DBTS,7.723695245413317e-05
ILETA,7.723337549478946e-05
RHCCE,7.721211421707729e-05
DHPS2,7.720690982031183e-05
CHORM,7.720369515727837e-05
UDCPDP,7.720320311154408e-05
FESR,7.719590913942151e-05
DHQTi,7.719567922267945e-05
IGPS,7.71788293631468e-05
THRD_L,7.716783442660037e-05
HISTP,7.716588845793058e-05
IPPS,7.716375108510174e-05
GLUTRS,7.71569012314176e-05
THZPSN3,7.714071707173078e-05
G5SADs,7.712988973980736e-05
EPMEACPR,7.712630738532479e-05
ALAALAr,7.711649317161226e-05
OPHHX3,7.71138811031825e-05
ALATA_L,7.70844887220586e-05
APRAUR,7.704962759193662e-05
GF6PTA,7.704662325828227e-05
OGMEACPS,7.70444501029047e-05
AIRC3,7.703434856143889e-05
UMPK,7.702953636252655e-05
SHCHD2,7.702871629718871e-05
PSD161,7.701181915718059e-05
IMPC,7.701105732353821e-05
PPA,7.701095480157504e-05
DHPPDA2,7.699935194145681e-05
UAGDP,7.696860407337289e-05
ACHBS,7.696684196493898e-05
UAGAAT,7.695834804825595e-05
PRAMPC,7.695361097056322e-05
GK1,7.694684502015043e-05
IPDPS,7.694539950058962e-05
DNMPPA,7.694308371179471e-05
PPCDC,7.693927679150419e-05
DNTPPA,7.690677883796085e-05
G1PACT,7.689820595678398e-05
PRAIi,7.688826139457135e-05
MTHFR2,7.688180328825694e-05
PHETA1,7.687289589123375e-05
CDPMEK,7.687036981640775e-05
PMPK,7.687032736118326e-05
PPNCL2,7.686839133499105e-05
SDPDS,7.685219602816244e-05
QULNS,7.685001698458679e-05
ADSK,7.684354762811757e-05
ANS,7.684291334244812e-05
IPPMIb,7.684098362312367e-05
DHORTS,7.683795767449416e-05
DUTPDP,7.68230455320414e-05
AMPMS2,7.682089697011399e-05
DHNPA2r,7.68184592780549e-05
ARGSS,7.68169304809501e-05
GMPS,7.681404939247978e-05
ANPRT,7.680332021901625e-05
RBFK,7.679670700518999e-05
PPND,7.678463873566728e-05
DHFS,7.678136570766028e-05
TDSK,7.677812082244937e-05
IPMD,7.676456368014965e-05
ACOTA,7.676109011209702e-05
G3PAT161,7.674012966163709e-05
NNATr,7.67301488434608e-05
BTS5,7.672751944705041e-05
PPNDH,7.671225722131477e-05
GLUR,7.671196088561469e-05
SHSL1,7.671081788515655e-05
MOHMT,7.670553676977242e-05
USHD,7.670499080545967e-05
OGMEACPD,7.670450796478825e-05
RBFSb,7.67033381289386e-05
RPI,7.670080833196039e-05
AIRC2,7.669916900910697e-05
PTPATi,7.669698921296142e-05
OPHBDC,7.669060139956483e-05
