,SHAP value
PPA,0.00017055157755495532
OPHHX3,0.00017051741892444772
DAPE,0.00016994960065968418
UGMDDS,0.0001694507620030189
PPNDH,0.00016942184808553483
TDSK,0.00016939478104050794
GF6PTA,0.0001692051051889616
PSSA161,0.00016917446271339165
DHAD1,0.00016915055216112066
PDX5PO2,0.0001690646261485019
MECDPDH5,0.00016906222244435917
TMPK,0.00016905070111629655
ARGSL,0.00016896988909723647
IGPDH,0.00016880995531397418
G3PAT161,0.0001687688861117222
PDX5PS,0.00016873153033671403
OMCDC,0.000168714780521645
SDPDS,0.00016864324910752536
G1PACT,0.00016859079440585646
ACGK,0.0001685777874336411
AIRC2,0.00016857775372141319
SHCHF,0.00016856418239789841
GLNS,0.0001685608136145241
SHSL1,0.00016855815356154138
DPR,0.00016851092928444364
RBFSb,0.0001685019397942149
PSD160,0.00016849073219974686
THZPSN3,0.0001684777860411892
UPP3MT,0.00016847691149492883
UAGPT3,0.00016845818162385218
IPDPS,0.0001684234386662935
PRFGS,0.0001684114842121067
ADSL1r,0.0001683779666596703
PRAGSr,0.0001683224526586243
ACGS,0.00016829536974307662
PSSA160,0.00016826930214818977
MOAT,0.00016819887957288728
PNTK,0.00016819274027243635
OGMEACPD,0.00016814035380790672
SERAT,0.00016811868791299288
ACLS,0.00016810270621276863
DMATT,0.00016801937176489534
DHDPRy,0.00016800890333724196
DB4PS,0.00016800403916531858
ANPRT,0.00016799118311605927
HSTPT,0.00016797971054719342
AHCYSNS,0.0001679762754912012
DPCOAK,0.00016796036786186942
DXPRIi,0.00016792706709779103
PHETA1,0.000167925365117764
DMPPS,0.00016792143170612156
UHGADA,0.000167916588457517
MCTP1App,0.00016790034297485337
DTMPK,0.0001678811333986104
ANS,0.00016785235141629569
ASP1DC,0.00016785041264718274
PRATPP,0.0001678311288159855
GK1,0.00016780063104094857
HSST,0.0001677682349847794
LEUTAi,0.00016773597576319452
METS,0.00016772888606531386
ACHBS,0.00016768695219102439
AICART,0.00016768580211870568
EPMEACPR,0.0001676851558847021
UDCPDP,0.00016766071344954587
MEPCT,0.0001676517399658845
MOHMT,0.00016763335315872369
PMEACPE,0.000167608440508014
PPNCL2,0.00016760645349454757
NADS1,0.00016760644915767467
ILETA,0.00016760564839190644
DHQS,0.0001675989779280522
UAMAGS,0.00016759691033164313
PPBNGS,0.00016759184672863502
CTPS2,0.00016758458519973746
DASYN160,0.00016757452137340206
GTPCII2,0.00016757222496020918
IPPS,0.00016754549429090902
SULR,0.00016751288429765076
IPPMIa,0.00016746935804388862
FMNAT,0.00016746742504356643
NNATr,0.0001674584773172936
HISTP,0.00016745234008794916
GRTT,0.00016744730786785337
UAGAAT,0.00016744723564390143
TYRL,0.00016744277164930954
DHFR,0.00016742552199273885
NADK,0.00016742160434438807
I2FE2SS2,0.00016741049488479422
DHDPS,0.0001673915363634005
U23GAAT,0.00016738425884934468
GLUR,0.00016738084436404116
HMBS,0.0001673732980595355
GLUPRT,0.00016737147591949704
MECDPS,0.00016735164070227906
HPPK2,0.00016735037993362683
RHCCE,0.00016733597096023014
PPND,0.00016731748428318278
GMPS,0.00016731600682605438
G3PAT160,0.00016731308444045275
USHD,0.00016730859049340926
PRMICI,0.00016730102402599575
TYRTA,0.00016729097643335407
AGPR,0.00016725686239272514
OGMEACPS,0.00016721649804579884
SHCHD2,0.00016720940695086356
PYK2,0.00016717697719468644
PRASCSi,0.00016716533673836372
ARGSS,0.00016715398880988826
METAT,0.00016714979459660307
DDPA,0.00016714277394143623
SADT2,0.00016714150766529106
ADSS,0.00016714063544817732
TMDS,0.00016711608223439549
CYTK1,0.0001671081749887922
HBZOPT,0.00016710476638510295
HISTD,0.00016708971591431596
ACOTA,0.00016708638344651498
OCTDPS,0.0001670799054988461
DHPPDA2,0.00016706789166065025
QULNS,0.00016702610615348986
CHORM,0.0001670103331327819
OMPDC,0.00016699210041936326
DNTPPA,0.00016698771297266952
BTS5,0.0001669727266955025
APRAUR,0.00016697032123196034
DASYN161,0.00016696360833569183
ALAALAr,0.00016696208755712433
DHQTi,0.00016694952052707658
PRAMPC,0.00016692183698832093
IG3PS,0.000166900483405328
OPMEACPD,0.00016687881320504825
PANTS,0.0001668777157232839
G5SD,0.00016687750022422354
KDOPS,0.0001668354983298726
SDPTA,0.00016683357512591352
G5SADs,0.00016682873331053553
PGAMT,0.00016682526476735336
G1SAT,0.00016681079661261556
OGMEACPR,0.00016680864690498044
MALCOAMT,0.0001668052044322255
DHNPA2r,0.00016679540450814632
ASPCT,0.0001667480615637319
CDPMEK,0.00016673710551356238
TMPPP,0.00016672040507808688
UPPDC1,0.00016671884953255118
OPHBDC,0.0001666901343184587
PRAIS,0.00016668896340251202
DHAD2,0.00016667867143884532
GTPCI,0.0001666689604367897
IPMD,0.00016662750850279998
MTHFR2,0.0001666157808174359
THDPS,0.00016660253406772702
IMPC,0.00016658782626152816
A5PISO,0.00016655133737599658
ASNS2,0.00016652948706673103
P5CR,0.00016652582487361678
CPPPGO,0.00016651574864509262
AGPAT161,0.00016650769552625056
PSD161,0.00016650541566981766
KARA2,0.00016650380669401568
GLUTRR,0.00016649843786971217
KDOCT2,0.00016648948232795465
UDCPDPS,0.00016648008099538677
DHFS,0.00016647809946181583
PAPPT3,0.00016646804573928898
RBFK,0.00016645793917880077
ADSL2r,0.00016644788855005
OPMEACPR,0.00016643993490527684
ATPPRT,0.00016643690836166725
AGPAT160,0.000166409445556968
TRPAS2,0.0001664043987044174
KARA1,0.00016635121403308002
PSCVT,0.00016634268397504895
ORPT,0.00016629336850044232
UAGDP,0.0001662900028568357
MTHFC,0.00016628982808338655
GHMT2r,0.00016628502397561282
DUTPDP,0.0001662636090474536
RBFSa,0.00016625454207000966
TRPS3,0.00016625135354120563
ALATA_L,0.00016624985241008304
AMAOTr,0.00016622461479857034
CYSS,0.00016620726114641109
ALAR,0.0001661928130555276
SHK3Dr,0.0001661530935641836
AIRC3,0.00016614650016209042
GLUTRS,0.00016613976785626177
NNDPR,0.00016613607145698483
LPADSS,0.00016612904652846256
ADSK,0.0001661100312755714
ECOAH3,0.00016609590391021423
E4PD,0.00016607680273493863
VALTA,0.00016604538737985337
ADCS,0.00016604484936171227
KDOPP,0.00016601525198807569
PMDPHT,0.00016601068718730193
I4FE4SR,0.00016600367905872496
5DOAN,0.00016599080082438145
PMPK,0.00016598738440518182
OPMEACPS,0.00016598292142173284
BPNT,0.00016597677694510482
ADCL,0.00016582676685159958
UPP3S,0.00016581036511203217
AMPMS2,0.0001658086696399698
DAPDC,0.00016578584930336472
OCBT,0.00016573067494492019
SHKK,0.00016569625372432208
IGPS,0.00016564066909643564
DHORTS,0.00016562377839589282
PPPGO3,0.00016560376452121248
EGMEACPR,0.00016557317411285396
CHRPL,0.00016556352476518356
DHPS2,0.00016555566640865234
UAAGDS,0.00016554709191735968
GLU5K,0.00016553683101156317
IPPMIb,0.00016551079987166294
CHORS,0.0001654938411744509
PRAIi,0.00016548925851441382
PYK4,0.00016547955482297292
DXPS,0.00016545936076023951
PERD,0.00016543229577331448
DBTS,0.00016538369690245492
ACODA,0.00016536719746030126
UAGCVT,0.00016534166706217248
PAPSR,0.00016530982192192994
THRD_L,0.0001652803933381879
DNMPPA,0.00016527176727811505
I2FE2SS,0.000165248225082988
CYSTL,0.00016523227303673528
OHPBAT,0.00016515680596308952
I2FE2ST,0.00016513373143431734
ACACT7r,0.00016509761452798585
IMPD,0.00016499505075915434
PAI2I,0.00016496930915021216
DHORD2,0.00016490689365150215
PTPATi,0.00016489504647422922
I4FE4ST,0.00016489194896212849
UAPGR,0.0001648545827181173
PYK6,0.00016484879536623556
ICYSDS,0.00016483996133855988
RNTR2c2,0.00016475243227699618
AI2K,0.00016473566063943904
UMPK,0.00016472689444290794
MTHFD,0.0001646287936488624
UAMAS,0.00016460489266556232
FCLT,0.00016450968202967668
I2FE2SR,0.00016444500512085037
MOAT2,0.00016428474852982325
CBMKr,0.00016428000174550141
ACOAD3f,0.00016419089881464726
ACOAD4f,0.00016411045276298978
G3PD2,0.00016410629819079992
HACD5,0.00016408372697645392
RNTR4c2,0.00016400028847628152
ACOAD7f,0.00016389993020217582
ECOAH7,0.00016381493417039103
PPCDC,0.00016375092112313046
ACACT4r,0.00016364870931862404
AOXSr2,0.0001635691386629347
RNTR3c2,0.00016346687192963182
PAI2T,0.00016337405882994424
HACD7,0.0001631382638026932
FACOAE160,0.0001631208474345225
