,SHAP value
DHORD2,0.00017370537114420648
ADCS,0.00016732996210683956
SHKK,0.00016661298963406004
PSD161,0.00016656854527441971
PPND,0.0001662359430666805
GLNS,0.00016616638138303432
PSD160,0.00016607957371730437
FCLT,0.00016596205485236234
LPADSS,0.00016595802798765683
KDOPP,0.00016586554049465921
ASPCT,0.00016582631999861603
UAMAGS,0.0001657812207388125
PSSA161,0.00016566361263532474
SHCHD2,0.00016563034991164986
DHPPDA2,0.00016552477260852746
RHCCE,0.00016551767282323211
KARA2,0.00016539404154099351
I4FE4ST,0.00016539152099696882
PPPGO3,0.0001653628224500819
I4FE4SR,0.00016533769223697775
TMDS,0.00016516795868263423
ANS,0.00016515396131557578
ACODA,0.00016514488944073755
PPNDH,0.0001651270170280514
ACOTA,0.0001651096036668475
ANPRT,0.00016510050506614462
ACLS,0.0001650897236403621
UDCPDPS,0.00016506800232691472
DNMPPA,0.00016504241192338007
DUTPDP,0.00016500019559306683
TYRTA,0.00016497946754792626
KARA1,0.0001649491743469882
PRASCSi,0.00016485474651971462
AIRC2,0.0001648495829914819
GLUR,0.0001648227776205635
QULNS,0.00016481724352549696
MOAT,0.00016481437106977563
GRTT,0.00016480092599444981
TYRL,0.00016479929597933659
DHAD2,0.00016477844881456917
ARGSS,0.0001647747356089369
ASNS2,0.00016477100856063188
TDSK,0.0001647338420192453
AICART,0.00016473380025231154
DXPS,0.0001647211945931338
PMDPHT,0.00016470586182941685
GLUTRS,0.00016468985189959057
DBTS,0.0001646823704504854
DNTPPA,0.0001646480010329353
ATPPRT,0.00016464642922744442
AIRC3,0.00016463274849930594
UHGADA,0.00016462444029049695
UAMAS,0.00016461530024740022
RBFSb,0.00016461522908400324
PYK2,0.00016460053423450162
ICYSDS,0.00016458679394800853
I2FE2ST,0.00016457703787496638
ASP1DC,0.00016456033961371569
APRAUR,0.0001645543091857181
OPMEACPD,0.0001645339094249007
ARGSL,0.00016453013681865306
PAPPT3,0.00016451915646797368
GK1,0.00016448792443992072
PGAMT,0.00016448771770063904
KDOCT2,0.00016448513807591398
PANTS,0.00016445585360929882
PYK4,0.0001644537793978105
OPHHX3,0.00016445145341369055
PRAMPC,0.00016444865809893197
PRFGS,0.00016443183635555066
I2FE2SS,0.0001644092317008732
DAPDC,0.00016438712253451769
ORPT,0.00016436013029274825
DMPPS,0.00016433800522058312
THRD_L,0.00016433381342361185
TRPAS2,0.00016430897141730868
IGPDH,0.00016430534522275615
G5SD,0.00016427366226811954
OGMEACPS,0.00016422279287912832
THDPS,0.00016414202064165398
ASPTA,0.00016413923273116544
DXPRIi,0.0001641098792231735
SHCHF,0.0001640959788269245
IPPS,0.00016406997400994134
DTMPK,0.00016406548757509946
AMPMS2,0.0001640615805601062
UPPDC1,0.00016405024659883272
CHRPL,0.00016404853432959663
FMNAT,0.00016403982512216988
