,SHAP value
PDX5PO2,0.00010824107648196529
PPBNGS,0.00010783616049268848
CYSTL,0.0001074604175920397
A5PISO,0.00010741353291248074
PMDPHT,0.00010735442156689072
DNTPPA,0.0001072027721327021
PHETA1,0.00010717806800806196
MECDPS,0.00010713594919377497
AIRC3,0.00010705281176344804
G3PAT160,0.00010699594989802607
DHAD1,0.00010690528149222823
UPPDC1,0.00010682781965118766
UPP3MT,0.00010682720670736967
DNMPPA,0.0001068138373574317
DDPA,0.00010681185240373267
DHPPDA2,0.00010677686718514189
IPPMIa,0.00010676749974472308
LPADSS,0.00010676011439123138
IPMD,0.0001067544729915536
ARGSS,0.0001066839851779928
PGAMT,0.00010663583669790565
MOAT,0.00010663217162183436
PPA,0.00010663086361473296
SHCHF,0.00010662664480856252
NNDPR,0.00010662515113071132
TMPK,0.00010656051432630128
G5SADs,0.00010653932972810748
PRFGS,0.00010650425505474109
GTPCI,0.00010648422934353565
GLU5K,0.00010648383526600009
CHRPL,0.00010647919276077447
DHNPA2r,0.0001064403921064502
OGMEACPS,0.00010642784449526811
AI2K,0.00010640807163347476
ACOTA,0.0001063834828640046
DHPS2,0.00010638011684345704
ACGS,0.00010636013730165634
PANTS,0.00010632007195519007
DMPPS,0.00010631657640325892
IGPS,0.00010631071016903868
ASPCT,0.0001063076168745226
ALATA_L,0.00010629193482814107
ADCS,0.00010627069787567872
KARA2,0.00010625291895242316
PPND,0.00010624955227407603
CHORM,0.00010624870320289796
PSD160,0.0001062465183925655
HISTP,0.00010624458861279504
P5CR,0.00010618630673564412
PRAGSr,0.00010618081161494176
SULR,0.00010614528440314212
CHORS,0.0001061284643026832
UPP3S,0.00010612606695333664
DHFS,0.00010612111511133797
OPHHX3,0.00010610993318349896
G3PD2,0.00010609895179550814
HBZOPT,0.00010609775741123422
UHGADA,0.00010607168045501328
ADSL2r,0.00010604427166967736
AGPR,0.00010601223655733381
PMPK,0.00010601202262493026
PTPATi,0.00010601153126890724
DTMPK,0.00010600568246393734
GF6PTA,0.0001059872340546728
LEUTAi,0.00010598501460902174
EGMEACPR,0.00010596857782592136
BPNT,0.0001059546896682375
RBFSb,0.0001059496833488138
NADK,0.00010593954503425124
AIRC2,0.00010593591412034605
PRMICI,0.00010592932544816108
PRAMPC,0.00010592872709628922
UAGAAT,0.00010591374729111222
OGMEACPD,0.0001059077977076064
PRASCSi,0.00010590639914460264
TRPAS2,0.00010588880975934836
DHQS,0.00010588849810801916
DHQTi,0.0001058766991705447
APRAUR,0.00010586347057015767
DXPRIi,0.00010584943249339953
GLUTRS,0.00010583077485952745
ACODA,0.00010580542817907334
ANPRT,0.00010579276356558608
PPNDH,0.00010578731623157403
IPPS,0.0001057664145216583
ASP1DC,0.00010576412057243084
CTPS2,0.00010575841358430576
SHK3Dr,0.00010575540559050147
IGPDH,0.00010574874075796157
OCBT,0.0001057316367533845
QULNS,0.00010570129546384959
DASYN161,0.00010569401622183644
ASNS2,0.00010569256778750328
ARGSL,0.00010568434180992444
PPNCL2,0.00010568318250989241
DUTPDP,0.00010567517102670153
THRD_L,0.00010566226132684888
UAAGDS,0.00010566206544909853
PAI2I,0.00010566032409528509
KDOPP,0.00010565432572094825
GLUTRR,0.00010564568991113935
OPMEACPS,0.00010562635523927854
IG3PS,0.00010562579437332087
ALAR,0.00010562320224592471
CDPMEK,0.000105614918524881
HMBS,0.00010561459355494556
RBFK,0.0001056090523698672
ORPT,0.00010560552495788625
GMPS,0.00010560191760052156
UDCPDP,0.00010556729475944109
MECDPDH5,0.00010555849484508056
FMNAT,0.00010555239304073824
BTS5,0.00010555176246777034
I2FE2SS,0.00010554991710380491
ADCL,0.00010554481753244477
IPPMIb,0.00010554372306570241
DXPS,0.00010554106953810135
FCLT,0.00010553760486447471
GTPCII2,0.00010553408512731984
DMATT,0.00010552899059750673
PSSA160,0.00010552519462081856
U23GAAT,0.00010552422518575179
PRAIS,0.00010551567455989412
KARA1,0.00010550279865959032
TMDS,0.00010549403319193592
HSTPT,0.0001054939818106644
UAMAGS,0.00010548931007870451
SHSL1,0.0001054873117612111
ICYSDS,0.00010548639978215107
GLUPRT,0.00010544056058308842
NADS1,0.00010543154518768024
AICART,0.000105416730030356
TYRTA,0.00010540582640657571
AMAOTr,0.00010540417443252841
DHDPS,0.00010538718086951132
METS,0.00010538188423766284
METAT,0.00010537712679481704
AOXSr2,0.00010537538402568228
TRPS3,0.00010537129953535015
PRAIi,0.00010536714680760298
IMPD,0.00010536428285293408
DHAD2,0.00010536285811583333
PAPPT3,0.00010536073014781848
UDCPDPS,0.00010536033737277058
AGPAT160,0.00010534764920911784
OPMEACPR,0.00010533523633821241
UAPGR,0.00010533377180461232
ILETA,0.0001053334390056419
KDOPS,0.00010532094098866252
SDPTA,0.00010531949997505893
PSCVT,0.00010529857870870385
UAGPT3,0.00010529423643894844
SERAT,0.00010528709963013759
ANS,0.00010525827041708478
PMEACPE,0.00010525414581710815
ADSL1r,0.0001052541171996964
UAGDP,0.00010525037569847424
ENO,0.00010524342326227272
