,SHAP value
PDH,0.0001401751314219742
OPMEACPR,0.00014015458890826718
PMPK,0.00014004210137039892
CHRPL,0.00013995036847036556
ILETA,0.00013976939441650795
ANS,0.00013976927849601725
IPPMIa,0.0001397183253348785
DBTS,0.0001395380666218826
PPA,0.00013953494380854686
TDSK,0.00013952622860880529
QULNS,0.00013951640867502076
SUCDi,0.00013945597131437526
SHCHD2,0.00013944978388224366
DAPDC,0.00013944447554891038
UPPDC1,0.00013943939273506484
UAMAS,0.00013938163237182236
OPMEACPS,0.00013924276329216394
MDH,0.00013911970080999575
IPPMIb,0.0001391139142929131
PSD160,0.00013909888413884231
UHGADA,0.00013896708470377352
DHFR,0.00013892179260871975
BPNT,0.0001389069754547405
DHNPA2r,0.0001388828315663976
UPP3MT,0.00013886872927805716
GLUDy,0.00013881573794215338
DNMPPA,0.00013875346877873044
OPHHX3,0.0001386337197075117
LEUTAi,0.0001386189435854339
ACHBS,0.0001385982735600226
DASYN161,0.0001385649919318266
ACOAD3f,0.0001385386375565736
GF6PTA,0.00013847576479862584
PTPATi,0.00013845191894346363
KDOCT2,0.00013840708462801014
UAGCVT,0.00013839937588420794
OPHBDC,0.000138366220422178
MEPCT,0.0001383415000818935
AHCYSNS,0.000138336139024792
ALAALAr,0.00013829939520987525
DHPPDA2,0.00013828366356036578
DDPA,0.00013821684739955678
NDPK3,0.00013815774299297219
RHCCE,0.00013814858325980533
SHCHF,0.00013812612687080778
ASP1DC,0.00013812365289455256
PPCDC,0.0001381184036618834
ACACT4r,0.00013811551222717646
ALAR,0.00013810944815789304
OGMEACPS,0.0001380996911685517
PPPGO3,0.0001380621289350047
PRMICI,0.000138048722721266
ADSL1r,0.00013803986692200463
DHQTi,0.000138027321311412
DAPE,0.00013798987613155357
ACGS,0.00013796915259470162
PSD161,0.00013790036820153265
DXPRIi,0.00013788470163224342
GLUTRR,0.00013788355508137696
PRAIi,0.00013785628531643923
IMPC,0.00013784706817048976
AIRC2,0.00013780950770142506
GMPS,0.00013779840696088346
ATPPRT,0.0001377675910799807
ADCS,0.00013775003094780857
UAMAGS,0.00013773842345361962
AMPMS2,0.0001377084393243408
ACGK,0.00013769764971233669
GTPCI,0.00013769697402151248
GLNS,0.0001376708505213965
APRAUR,0.00013762419460900318
UAAGDS,0.0001376102039125904
ADSK,0.00013756132702029322
LPADSS,0.00013752143447732186
VALTA,0.00013751821564143932
PAPPT3,0.0001374438650107085
ACOAD2f,0.00013743334388215087
UAGAAT,0.0001374242945795067
IPDPS,0.00013739727468065313
