,SHAP value
PERD,0.0006714561956014072
E4PD,0.000656010918551252
MTHFD,0.0006475390706150985
MTHFC,0.0006365950434108526
OHPBAT,0.0006283706352207387
FBA,0.0005397433075607734
ADK1,0.0005160600320259299
APRAUR,0.0005152763613025693
DNMPPA,0.0005094989404059733
U23GAAT,0.0005004418783778955
MOAT,0.0004998113706256208
PUNP1,0.0004985972736119553
PRAGSr,0.000496364292943477
HPPK2,0.0004960894832341369
G3PAT161,0.0004908604293862755
BTS5,0.0004902160235033795
PAPSR,0.0004838101629708178
NNDPR,0.0004824120828149526
AGPR,0.000482338579357731
ACGS,0.0004819465409111698
QULNS,0.0004808976228002866
SHCHD2,0.00047811817036487166
NNATr,0.0004769825044837951
CDPMEK,0.00047473826444610504
PRFGS,0.000472575767839851
GF6PTA,0.00047200391946880163
RBFK,0.00047109958357889213
MTHFR2,0.0004701155237515509
ACGK,0.00047008016930839765
ADCS,0.00046981333209817776
AHCYSNS,0.00046648108207481893
I2FE2SS,0.000464824179196741
ACODA,0.00046347093354899387
TMPPP,0.00046280325723254247
GTPCI,0.00046163264111169614
ACOTA,0.0004587982665263869
NDPK4,0.0004580207449598816
OPHBDC,0.0004561569754808762
A5PISO,0.0004555840032269603
DHNPA2r,0.0004547807441085454
DHPPDA2,0.00045428010373501986
MECDPS,0.000454036732730359
PRATPP,0.0004521830736369614
ACOAD3f,0.00045171097857186923
ALAR,0.00045052870937183493
PPBNGS,0.00045022182457070924
GTPCII2,0.0004499835886155281
AACPS7,0.0004466046920790057
NADS1,0.00044581126100436054
ASPO3,0.0004455859837595744
MCTP1App,0.0004431066552022694
PRAIS,0.00044272000581062793
DXPRIi,0.00044246418465372693
ASNS2,0.00044177697279916214
PGI,0.00044166667245435214
ADCL,0.0004409397554516829
3OAR140,0.00043992774568735106
TMPK,0.0004398382823581746
METS,0.00043937996489781686
RHCCE,0.000438841913122481
DNTPPA,0.00043883417428825313
ALAALAr,0.0004254530137856755
UDCPDPS,0.0004237042647291969
AACPS3,0.0004196111768653924
ECOAH4,0.000419289721702362
FMNAT,0.00041753593716755625
TPI,0.00041481600941679355
GLUPRT,0.0004116871134766817
GLUDy,0.0004111071252388216
HCO3E,0.00040447852837198993
HACD4,0.00039843669796828945
GLYCL,0.00039572789235751304
ACOAD5f,0.0003948964863534495
ECOAH5,0.00039391298827872075
HACD5,0.0003934858421451466
ACOAD1fr,0.000391660421570489
ECOAH3,0.00039126251657236173
ACOAD4f,0.0003833992078724177
ACACT4r,0.0003761445020472346
ICDHyr,0.0003607646453374995
FUM,0.0002740686219245344
AKGDH,0.00027129927467776314
HSK,0.00026151107970445714
THRS,0.00024182066910568962
NDPK2,0.00019799192952322663
FTHFLi,8.800413746081494e-05
GLYAT,8.699006872775736e-05
PFL,6.095165737549713e-05
TALA,5.898874321490523e-05
ACKr,5.682137487131351e-05
MALS,4.0231115560425644e-05
ICL,3.867149331015701e-05
GRXR,3.790960291782515e-05
CPGNexs,3.650076968450602e-05
HXAND,3.598474947090587e-05
S2FE2SS,3.5060822987161485e-05
QMO2,3.45105247956435e-05
