,SHAP value
PHYTSpp,0.008178482019051045
PSSA180,0.007846325195685856
DASYN180,0.00769623781603939
PSD180,0.007683795645224971
PLIPA2E180pp,0.007130112097794271
LPLIPAL1E180pp,0.007106178449339071
NTD6pp,0.006990373075535204
FACOAE80,0.006324216495404589
AACPS9,0.006313945510921204
PLIPA2A160pp,0.006296125945218787
LPLIPAL2E180,0.006273746755620006
FA160ACPHi,0.006244425885348284
LPLIPAL2A160,0.006240198263709877
PLIPA1A160pp,0.006230205371223118
LPLIPAL1A160pp,0.006229589305413324
3OAS180,0.006218560023428523
EAR180x,0.006189524058283751
3OAR180,0.006181531783995196
3HAD180,0.006171468989846547
PLIPA1E180pp,0.006133147817011698
FDMO3,0.006124552745359156
ICHORS_copy2,0.006107848893951428
GAPP,0.006089784970138349
APG3PAT160,0.006081008793245734
GLYK,0.00607072560299985
APG3PAT161,0.006042421409793788
ALCD19,0.006034325399603213
ACPPAT160,0.006016194341192018
ACPPAT161,0.00599914385192091
NTD9pp,0.005957165529198876
THRA,0.005928180770008496
PPS,0.005910409153056121
ACALD,0.005891283474803677
SERD_L,0.005877945262675851
GRXR,0.005840722714590846
GTHOr,0.005833793048814515
CTECOAI6,0.005819369248776372
NTPP1,0.005805274262219344
PAPSR2,0.005794249334927729
NADH5,0.005761156201829643
MDH2,0.005747849658125094
SPODM,0.005737315282293172
HXAND,0.005731366881258376
FEENTERR1,0.005728782310619928
FEENTERexs,0.005721151422941972
GAL1PPpp,0.005719801361960485
PUNP5,0.005701224943238773
NTD11,0.0056834810459969
RBK,0.005681126295231435
2DGULRx,0.005662968992273594
XPPT,0.005643992869395474
TRPS2,0.005635366430817791
EAR100y,0.005618327308187346
23PDE2pp,0.005590618824727776
SERASr,0.005590072961003244
QMO2,0.005582187841964166
DHBS,0.005521384828622163
GLUSy,0.005514712196042795
ENTCS,0.005503655556940127
FACOAE140,0.00546960997644478
GLCRD,0.005444539276569323
HPYRRy,0.005379537987679322
OXAMTC,0.005377081507466751
URDGLYCD,0.005353858185104993
XTSNH,0.005344615996670357
23PDE4pp,0.00534266059108
EAR40y,0.005306583032085479
ADPT,0.005297705983718854
RNDR1,0.005253739955211788
TRPS1,0.00522391146164217
NDPK8,0.005223890325170512
ARBTNexs,0.005202300166504739
NTD3pp,0.005151691064389476
NTD11pp,0.005126988578829322
TALA,0.005075792223395522
FE3DCITexs,0.005060535570777895
3NTD4pp,0.005024595851129898
FTHFLi,0.005006743094643928
FDMO2,0.004968715176554932
AMPN,0.004955194493427961
XYLI2,0.004921569981633542
FRD2,0.004870559606040503
AGMH,0.004863460887519201
HEX7,0.004860622848536835
FECRMexs,0.004854095872712097
ASPO6,0.004836521534997364
CBPS,0.00483281082168288
PPM,0.004822507543442831
ALR2,0.004803914528416939
AGM4PApp,0.004800776691872365
AGM4PH,0.004776014586504135
PDX5POi,0.004771858491149353
FESD1s,0.004771787612121282
GALM2pp,0.004744113126720828
DDGLK,0.004730339254721577
GLYCK2,0.004727296460262055
FTHFD,0.004668405181947248
ASCBPL,0.004662867122615842
KG6PDC,0.004652672364809451
X5PL3E,0.004647776206826279
GLGC,0.004627775123934096
RBP4E,0.004616960579347398
CTECOAI8,0.004614609521423283
GLCS1,0.004612350229758073
FESR,0.004610858384658014
GUR1PPpp,0.004583228304551054
NMNAT,0.004582605619066399
GPDDA2,0.004579839945876556
OBTFL,0.004569189410546698
FEROpp,0.004565279063585427
LPLIPAL1A140pp,0.004558606414793883
AM4PCP,0.004547260509029127
DASYN181,0.004534662434947122
GPDDA3,0.004521411214970954
GLCP,0.004521128773786775
GLYCDx,0.004521011854901251
NTP3,0.004503469381154446
ARBTNR1,0.004494592391499989
PSSA181,0.00448859823628164
GLYAT,0.004473404443136576
THRD,0.004472834431559416
NTD2pp,0.00447120686464836
PLIPA2A140pp,0.004470641128567706
AM3PA,0.004467124626856337
PSD181,0.004453127187907269
PLIPA1A141pp,0.004450482517878854
NDPK7,0.00444808142775731
NMNN,0.00443793048670903
NTD10pp,0.004431580090406406
ARBTNR3,0.004402009452521278
RNDR3,0.004397143345728029
CYTDK2,0.004388390076307978
IPDDI,0.004370738954652227
FRUK,0.004369571472077256
PLIPA1E141pp,0.004343875481978302
PLIPA2E141pp,0.004341563962450935
GPDDA1,0.00432903354236028
GLUNpp,0.004319818180755173
LPLIPAL2E141,0.004319625387994406
G3PAT180,0.004312177029565057
LPLIPAL1E141pp,0.004282501951319018
FECRMR1,0.00427713784185297
PPTHpp,0.004264341511292283
LPLIPAL2A141,0.004254241785013357
FMNRx2,0.004239379175249447
PYDXK,0.004235027351998071
23PDE7pp,0.004165180438711324
S2FE2SR,0.004156972041436507
FACOAE181,0.004149189103789053
PLIPA1G180pp,0.004148183728324487
S2FE2ST,0.00414776425353576
S2FE2SS2,0.004145446233932445
LPLIPAL2E181,0.004142917220058266
S4FE4SR,0.004135028569137627
LPLIPAL2ATG181,0.004134685736733307
GPDDA5,0.004134393487980942
LPLIPAL2ATE181,0.004133331447705601
SCYSDS,0.004132827325749864
FECRMR3,0.004132465634216792
LPLIPAL2A180,0.004123938257233499
PLIPA2G181pp,0.004108151339712346
S4FE4ST,0.004103451025743614
ACOAD1f,0.00409786690354595
MNNH,0.004097340426660776
LPLIPAL1G181pp,0.004096951548485639
AMANK,0.004096407335571588
MANAO,0.004096033865973872
CLPNS141pp,0.004088544461215262
GALCTLO,0.004083728373670078
PACCOAL,0.004078915167626029
S2FE2SS,0.004075856547315109
PACCOAE,0.004075782753311811
ACNML,0.004074698651961752
G3PT,0.004071638595689531
AGPAT180,0.004070016714554623
3NTD2pp,0.004065841989375542
PLIPA1G181pp,0.004065089430950316
GUI2,0.004063424577673836
DHACOAH,0.004042660755553944
PLIPA1A180pp,0.004042180614168842
PAPA141,0.004037042148293094
CLPNH141pp,0.004034595483842584
URIK2,0.004027519694511497
HCYSMT,0.004023192731590271
MOX,0.004021600244593491
NADHPO,0.004015859470244153
FA120ACPHi,0.004014429253995521
LPLIPAL1G141pp,0.004014171651027878
PAPA141pp,0.003996087203560135
OPHHXy,0.003995644895280958
PLIPA2G141pp,0.003991816877946672
OXDHCOAT,0.003988753406644159
HCYSMT2,0.003988677335980287
GALS3,0.003982441766116748
EAR141y,0.003981081633073117
PAPA161,0.003978668387735814
R1PK,0.003974355102736239
OXCOAHDH,0.003960932068488372
GSNK,0.003954101939730772
ASNS1,0.003952965676975588
MGSA,0.003950261898085797
HADPCOADH3,0.003921280580242966
ALDD19xr,0.003918592879485181
URIK1,0.003915038197532401
3NTD9pp,0.003902245513545369
PAPA161pp,0.003900743194875321
AMALT1,0.003885157354824503
3OXCOAT,0.003883188814998115
REPHACCOAI,0.003883100877732761
GPDDA4pp,0.00387897625045048
R15BPK,0.003877746629464591
GLYOX3,0.003866247217464598
AMALT4,0.003857720568215248
APH180,0.003856997907239424
FBP,0.003853128574776995
PPDOy,0.003848782018058238
GUAPRT,0.003848130601381641
SELR,0.003847504196357899
MLTP3,0.003845349186015824
APG3PAT180,0.003823456926510386
PPCK,0.003817572065682407
GLYCLTDy,0.003815603856368081
IDOND2,0.003809793297510501
FE3HOXR2,0.003809250822954358
F1PP,0.003797199608781357
FE3HOXR1,0.003793261420272484
LDH_D,0.003780861520885631
AMANAPEr,0.003761818220874158
KAS14,0.003761711651964834
TAGURr,0.003741835664177674
ALTRH,0.003740000214498124
LALDO2x,0.003739134677299113
AGM4PCP,0.003723318887978889
AGM3PApp,0.003716008522449546
DMSOR2,0.003713374889397841
EDA,0.00371289118710771
AGM4PA,0.003703632053465807
FEOXAMR1,0.003699419694399644
HXPRT,0.003685483896237597
PPPGO,0.003684525448663184
EDD,0.003667093057728086
LCARSyi,0.003659037015593269
MLTGY2pp,0.00365116132093085
DHCINDO,0.003647113686839115
LPLIPAL2G120,0.003640138423698301
ADPRDP,0.003635716780259664
PLIPA2G180pp,0.003634808147380619
PLIPA2A120pp,0.003632386434308246
DMSOR1,0.003623026580577937
CLPNS120pp,0.003620975465507432
MLDCP1App,0.00361925254926754
DAGK140,0.003601716584255146
4ABZGLUH,0.003574477660112028
LPLIPAL1A120pp,0.003573670227683852
PLIPA1E140pp,0.003570794826889776
CLPNH120pp,0.003569755400470585
HKNTDH,0.003567347530736723
GPDDA4,0.003564029694037345
AGM4PCPpp,0.003563912631353932
GNP,0.003563303380426034
MDDCP3pp,0.003563039303535143
G3PAT120,0.003558515653421369
NADN,0.003557921223600327
ICHORS_copy1,0.003554573712609451
MDDEP2pp,0.003548939800957126
MDDEP3pp,0.003548422697751118
GPDDA2pp,0.003547833614320472
PFL,0.003547487140915161
AGPAT120,0.003540062781625115
3HCINNMH,0.003537028381440968
ACS,0.003526772120653357
G2PP,0.003526365065685588
PLIPA1G120pp,0.003525574814542044
2AGPEAT140,0.003521090848834037
MCTP1Bpp,0.003514196398017028
MLDEP1pp,0.0035102816959194
LPLIPAL1G180pp,0.003504773696149112
FADRx2,0.003500865719942207
PPK2,0.003485871149581169
BSORy,0.003460916949232931
MLDCP3App,0.003454538493598116
MLTGY3pp,0.003445751277500853
OMMBLHXy,0.003437255909752774
NTD7pp,0.003427797614218658
BSORx,0.003418841007631328
OMMBLHX3,0.003416283708190433
MALS,0.003414591423300179
F6PP,0.003405722492688347
ICL,0.003390749406493032
PPK,0.003380511095201824
LALDO3,0.003376825147659441
ARGDCpp,0.003360552474049291
ASNN,0.003360374475882932
FDMO,0.003329653149266499
DHBD,0.003316745546521453
FE3HOXR3,0.003305989721043387
GPDDA5pp,0.003304812067214797
NODOy,0.003271160485167817
DURIPP,0.003269796266855406
ENTERES,0.003267794736211906
NTPTP2,0.003262236275675525
LPLIPAL2A140,0.003259826518361491
PLIPA1A140pp,0.003234488442168538
ICHORT,0.003220144041337084
DHPTDCs2,0.003212517334724985
CLPNS180pp,0.003210500059216782
AGMT,0.003201563089452071
CLPNH180pp,0.003201449721620652
GALUi,0.003197567485540707
CMPN,0.003189093685094062
TRE6PS,0.003187185007728541
SADH,0.003185708632473192
SGSAD,0.003182902134731912
SOTA,0.00317565723548875
TPI,0.003173382902487357
SGDS,0.003172241778874767
6D6SFK,0.003169709044002334
FMNRx,0.003169380429791869
MTHTHFSs,0.003165025836011291
GMPR,0.003147960943549625
AST,0.003136331471980284
TAUDO,0.003133841258532813
SQVOSI,0.003112461504769688
PYK,0.003105636437106522
DSBCGT,0.003092917703243721
ADK4,0.003090768172715939
3SLAR,0.003086590362874396
FECRMR2,0.003080164541557519
NTP10,0.003076294570864592
PAPA120pp,0.003054142325653699
GLYOX,0.003051768551654825
FLDR2,0.003050276777227867
6D6SPA,0.003050214897830715
GALCTD,0.003024572257127754
PLIPA2A141pp,0.003020524257898481
3HAD141,0.003018420288441397
PAPA120,0.003015642332435646
HEX1,0.00301176285127263
T2DECAI,0.002998372491679816
NDPK5,0.002993436870773431
3OAR161,0.002989308524074095
EAR121x,0.002988235613032138
3HAD121,0.002987329344310999
3HAD161,0.002987050558399263
RNDR4,0.002985132901954923
EAR141x,0.002982218796647495
EAR161x,0.002977159852697638
3OAR141,0.002974764714876165
NTD12pp,0.002969014885299285
G1PPpp,0.002959075947896731
NDPK6,0.00295890301683667
LPLIPAL1A141pp,0.002952033858977449
RNDR2,0.002950434191270882
SFGTHi,0.002950064170929802
LPLIPAL1A180pp,0.002949542253232667
LGTHL,0.002945779697124117
3HAD100,0.002936123598395421
HPYRRx,0.002935569424127631
PAPA181pp,0.002935298616245407
M1PD,0.002933890323266485
3OAR121,0.002931979710816603
TMDPP,0.002931605642010821
ALAALAD,0.0029296876145812
3OAS121,0.002916666340874244
3OAR100,0.002915535116655454
3OAS141,0.002913791038890979
FALGTHLs,0.002911389989257323
NADPPPS,0.002906643493071931
GCALDD,0.002894308185246687
3OAS161,0.002889466773000912
GLYCTO2,0.002885707683618945
MCITL2,0.002866280147958603
AACTOOR,0.002848042677544531
G3PD7,0.002846790836988943
AM4PA,0.002845491674893301
PLIPA2A180pp,0.002845474876710902
FALDH2,0.002829484580867625
3OAS100,0.002822034951465876
FACOAE60,0.002810764064963436
AOBUTDs,0.002795406192975938
PEAMNOpp,0.002768428767656874
NTPP11,0.002768385712309029
23PDE9pp,0.002759724688796348
ADD,0.002730800506396657
EAR121y,0.002728486959765422
GTPHs,0.002706962043880906
GPDDA1pp,0.00268934459701458
PAPA181,0.002682168171537149
SPMS,0.002670928924385618
NTD9,0.002667044325240811
G3PD5,0.002659199771406554
MTAN,0.002655517656939966
TMAOR1,0.002649816564939534
CPL,0.00264952248271249
TMAOR2,0.002647052541981561
DHBSH,0.002642662440963626
ARMEPNS,0.002641104957602528
3HAD40,0.002631654027875742
3HAD120,0.00262085873421176
3HAD60,0.002613218995986011
3OAR60,0.002610108782232917
EAR100x,0.002607479073364608
GLUN,0.002605726689290629
RPNTPH,0.002605668009824363
3OAS160,0.00260498283940661
3OAR80,0.002602041953807007
NTPTP1,0.002599236261763588
3HAD140,0.002596731238296053
