,SHAP value
MTHFC,0.002211625296013156
GARFT,0.002191695470515245
GLYCL,0.002165614198197246
PGI,0.0020885093763191183
TPI,0.0019063241536861415
PGK,0.0018702771224578553
GAPD,0.0018454165453397641
ENO,0.0018388453458743881
PGM,0.001835440539203531
FBA,0.0018232952257602926
IMPD,0.0017916887782029646
PFK,0.001768764239678939
G3PD2,0.0017035625584680375
PAPSR,0.0016745911595942634
ICYSDS,0.001641666347783962
3OAR140,0.0016239393771048903
TRPS3,0.0016112755866147445
PPC,0.0016098734331912927
PGCD,0.001608558448772543
TRDR,0.0015708866400021692
DHORD2,0.0015594343662812423
4HTHRA,0.001557923363510056
PRPPS,0.0015445902038395726
I4FE4ST,0.001519490867492322
4HTHRK,0.001484735425380229
E4PD,0.001479590157148385
ADK1,0.001459720982774622
OHPBAT,0.0014395379699167288
SUCDi,0.001286641877266184
HCO3E,0.001285623552425566
FADRx,0.0012661526994664283
G3PAT161,0.0012073919117080074
PDH,0.0011897166675987455
G3PAT160,0.0011851436131782962
RPI,0.0011313070432145658
PFK_3,0.0009196943055385587
FBA3,0.0008684861731821243
MDH,0.000827672142313382
NDPK3,0.0006448495344801169
F6PA,0.000620799802886109
DHAPT,0.0006000639896950046
GLYCTO2,0.0005991353100217544
NDPK4,0.0005908349787840743
NDPK2,0.0005167686681681849
MALS,0.0005092688102908505
NDPK1,0.0004037195978078789
GNK,0.000278826576934712
ACCOAC,0.0002652481840912941
MCOATA,0.0002649997641380276
NTD11pp,0.0002367372510815772
R15BPK,0.0002290074930788206
R1PK,0.00022437333910326978
TALA,0.00020505361665060242
2DGULRx,0.00014679833863396442
NMNN,0.00012993647831401704
DHORDfum,0.00011436299735405273
AHGDx,-1.600079861602273e-06
ALCD2x,-2.063800786274578e-06
FE3Ri,-4.023609502761227e-06
MNNH,-4.133670200713741e-06
DDGLK,-5.634686186070054e-06
MANAO,-5.990957429121708e-06
PYK3,-6.269872321215089e-06
