,SHAP value
NADS1,0.0006276924490229734
GTPCII2,0.0006259400618498993
GLUPRT,0.0006254852976108142
PRAGSr,0.0006254191303304782
PRFGS,0.0006240197134514701
CDPMEK,0.0006231970110479525
NNATr,0.0006219915078299246
TMPPP,0.0006219625741016512
HPPK2,0.0006216357629389125
NNDPR,0.0006205049034883857
OPHBDC,0.0006195756520825533
DNTPPA,0.0006194894989852132
ALAALAr,0.0006183226311905953
GF6PTA,0.0006179906843082444
ACOTA,0.0006177942162599914
G3PAT161,0.000617700484059516
MCTP1App,0.0006174788987284533
ADCS,0.0006173824285504185
DHPPDA2,0.0006173520013243191
DHNPA2r,0.0006172932262455006
MOAT,0.0006172870765389576
PRAIS,0.0006170661438339492
ASNS2,0.0006163008155441347
MECDPS,0.0006152148100960818
AHCYSNS,0.0006145602346999192
FUM,0.0006141009033387521
ASPO3,0.0006140921428775334
TMPK,0.0006139300405767253
APRAUR,0.0006137499795775934
RHCCE,0.000613569131822021
UDCPDPS,0.0006134218700266782
DNMPPA,0.0006134200664421793
U23GAAT,0.0006129850397503548
AGPR,0.000612877208974576
ADCL,0.000612664602132606
A5PISO,0.0006121862239482348
FMNAT,0.0006114317929115292
SHCHD2,0.0006114256151966729
ICDHyr,0.0006103116040018471
BTS5,0.0006098297659773643
MTHFR2,0.0006095334883911086
GTPCI,0.0006094714036071534
PAPSR,0.0006091183194340173
METS,0.0006087244304189803
ACGS,0.0006079595227134634
PRATPP,0.0006069936765734817
QULNS,0.0006067740653709559
ALAR,0.0006066324575091601
ACGK,0.0006060034307785089
RBFK,0.0006058197474662086
DXPRIi,0.0006043637502873728
ACODA,0.000604264803294796
PPBNGS,0.0006020834241821962
I2FE2SS,0.000601812876447755
ADK1,0.0006016155870985274
GLUDy,0.0006011025157491529
MTHFD,0.0005979459327763259
AKGDH,0.0005962062934272311
GLYCL,0.0005961358795896641
PUNP1,0.0005920671291174477
MTHFC,0.0005881241736929682
E4PD,0.0005873202921946256
3OAR140,0.0005869855703737588
PERD,0.000585776905721854
OHPBAT,0.000585528078170401
PGI,0.000585226234295038
ACOAD1fr,0.0005792211868666038
ECOAH3,0.0005781035965420701
ACOAD3f,0.0005768652845949938
AACPS3,0.0005729290950120625
